Time,CameraA Max
20221215_162650,174
20221215_162650,122
20221215_162650,138
20221215_162650,161
20221215_162650,124
20221215_162650,153
20221215_162650,135
20221215_162650,194
20221215_162650,166
20221215_162650,161
20221215_162650,146
20221215_162650,144
20221215_162650,170
20221215_162650,163
20221215_162650,154
20221215_162651,138
20221215_162651,169
20221215_162651,167
20221215_162651,128
20221215_162651,139
20221215_162651,152
20221215_162651,161
20221215_162651,138
20221215_162651,199
20221215_162651,160
20221215_162651,133
20221215_162651,172
20221215_162651,130
20221215_162651,177
20221215_162651,150
20221215_162651,151
20221215_162651,204
20221215_162651,169
20221215_162652,184
20221215_162652,166
20221215_162652,180
