Time,CameraA Max
20221221_140622,706
20221221_140623,694
20221221_140623,707
20221221_140623,730
20221221_140623,739
20221221_140623,688
20221221_140623,709
20221221_140623,691
20221221_140623,733
20221221_140623,703
20221221_140623,696
20221221_140623,689
20221221_140623,708
20221221_140623,678
20221221_140623,722
20221221_140623,700
20221221_140623,716
20221221_140623,687
20221221_140623,688
20221221_140623,700
20221221_140624,718
20221221_140624,713
20221221_140624,692
20221221_140624,723
20221221_140624,718
20221221_140624,691
20221221_140624,694
20221221_140624,700
20221221_140624,702
20221221_140624,716
20221221_140627,685
20221221_140627,691
20221221_140627,735
20221221_140627,657
20221221_140627,722
20221221_140627,715
20221221_140627,708
20221221_140627,691
20221221_140628,736
20221221_140628,671
20221221_140628,698
20221221_140628,695
20221221_140628,708
20221221_140628,707
20221221_140628,708
20221221_140628,724
20221221_140628,716
20221221_140628,693
20221221_140628,686
20221221_140628,682
20221221_140628,695
20221221_140628,709
20221221_140628,681
20221221_140628,707
20221221_140628,669
20221221_140629,722
20221221_140629,708
20221221_140629,721
20221221_140629,718
20221221_140629,712
20221221_140629,700
20221221_140629,709
20221221_140629,742
20221221_140629,683
20221221_140629,706
20221221_140629,693
20221221_140629,712
20221221_140629,692
20221221_140629,726
20221221_140629,705
20221221_140629,693
20221221_140629,684
20221221_140629,722
20221221_140630,698
20221221_140630,713
20221221_140630,694
20221221_140630,694
20221221_140630,700
20221221_140630,700
20221221_140630,702
20221221_140630,695
20221221_140630,673
20221221_140630,664
20221221_140630,732
20221221_140630,714
20221221_140630,694
20221221_140630,683
20221221_140630,675
20221221_140630,686
20221221_140630,699
20221221_140630,712
20221221_140631,701
20221221_140631,695
20221221_140631,694
20221221_140631,682
20221221_140631,695
20221221_140631,720
20221221_140631,732
20221221_140631,710
20221221_140631,657
20221221_140631,713
20221221_140631,693
20221221_140631,715
20221221_140631,717
20221221_140631,692
20221221_140631,708
20221221_140631,698
20221221_140631,680
20221221_140631,707
20221221_140632,673
20221221_140632,710
20221221_140632,675
20221221_140632,712
20221221_140632,699
20221221_140632,682
20221221_140632,706
20221221_140632,694
20221221_140632,674
20221221_140632,685
20221221_140632,689
20221221_140632,673
20221221_140632,705
20221221_140632,701
20221221_140632,717
20221221_140632,722
20221221_140632,685
20221221_140633,725
20221221_140633,687
20221221_140633,693
20221221_140633,692
20221221_140633,713
20221221_140633,697
20221221_140633,681
20221221_140633,665
20221221_140633,710
20221221_140633,705
20221221_140633,702
20221221_140633,660
20221221_140633,706
20221221_140633,674
20221221_140633,674
20221221_140633,682
20221221_140633,706
20221221_140633,678
20221221_140634,709
20221221_140634,685
20221221_140634,704
20221221_140634,720
20221221_140634,702
20221221_140634,707
20221221_140634,700
20221221_140634,724
20221221_140634,708
20221221_140634,718
20221221_140634,691
20221221_140634,685
20221221_140634,705
20221221_140634,708
20221221_140634,715
20221221_140634,707
20221221_140634,699
20221221_140634,702
20221221_140635,688
20221221_140635,696
20221221_140635,705
20221221_140635,687
20221221_140635,707
20221221_140635,716
20221221_140635,704
20221221_140635,722
20221221_140635,714
20221221_140635,699
20221221_140635,668
20221221_140635,677
20221221_140635,707
20221221_140635,691
20221221_140635,673
20221221_140635,692
20221221_140635,666
20221221_140635,698
20221221_140636,691
20221221_140636,685
20221221_140636,714
20221221_140636,702
20221221_140636,692
20221221_140636,684
20221221_140636,702
20221221_140636,692
20221221_140636,696
20221221_140636,693
20221221_140636,691
20221221_140636,699
20221221_140636,696
20221221_140636,691
20221221_140636,689
20221221_140636,695
20221221_140636,697
20221221_140636,707
20221221_140637,693
20221221_140637,675
20221221_140637,664
20221221_140637,694
20221221_140637,681
20221221_140637,720
20221221_140637,692
20221221_140637,678
20221221_140637,721
20221221_140637,686
20221221_140637,699
20221221_140637,702
20221221_140637,679
20221221_140637,699
20221221_140637,705
20221221_140637,696
20221221_140637,681
20221221_140638,680
20221221_140638,709
20221221_140638,703
20221221_140638,717
20221221_140638,675
20221221_140638,676
20221221_140638,706
20221221_140638,698
20221221_140638,678
20221221_140638,700
20221221_140638,705
20221221_140638,696
20221221_140638,721
20221221_140638,703
20221221_140638,716
20221221_140638,702
20221221_140638,704
20221221_140638,677
20221221_140639,696
20221221_140639,734
20221221_140639,713
20221221_140639,698
20221221_140639,710
20221221_140639,700
20221221_140639,723
20221221_140639,715
20221221_140639,723
20221221_140639,702
20221221_140639,724
20221221_140639,697
20221221_140639,701
20221221_140639,744
20221221_140639,708
20221221_140639,730
20221221_140639,704
20221221_140639,709
20221221_140640,741
20221221_140640,726
20221221_140640,723
20221221_140640,699
20221221_140640,705
20221221_140640,701
20221221_140640,706
