Time,CameraA Max
20221219_131101,2284
20221219_131101,2310
20221219_131101,2328
20221219_131102,2335
20221219_131102,2260
20221219_131102,2271
20221219_131102,2344
20221219_131102,2289
20221219_131102,2342
20221219_131102,2302
20221219_131102,2333
20221219_131102,2274
20221219_131102,2277
20221219_131102,2288
20221219_131102,2340
20221219_131102,2282
20221219_131102,2261
20221219_131102,2298
20221219_131102,2306
20221219_131102,2266
20221219_131102,2308
20221219_131103,2311
20221219_131103,2341
20221219_131103,2295
20221219_131103,2302
20221219_131103,2300
20221219_131103,2317
20221219_131103,2289
20221219_131103,2350
20221219_131103,2337
20221219_131103,2294
20221219_131103,2299
20221219_131103,2312
20221219_131103,2310
20221219_131103,2324
20221219_131103,2303
20221219_131103,2298
20221219_131103,2364
20221219_131103,2303
20221219_131104,2294
20221219_131104,2342
20221219_131104,2301
20221219_131104,2258
20221219_131104,2291
20221219_131104,2315
20221219_131104,2313
20221219_131104,2338
20221219_131104,2332
20221219_131104,2319
20221219_131104,2288
20221219_131104,2345
20221219_131104,2282
20221219_131104,2306
20221219_131104,2330
20221219_131104,2274
20221219_131104,2366
20221219_131104,2311
20221219_131105,2301
20221219_131105,2307
20221219_131105,2320
20221219_131105,2292
20221219_131105,2292
20221219_131105,2281
20221219_131105,2319
20221219_131105,2306
20221219_131105,2319
20221219_131105,2339
20221219_131105,2329
20221219_131105,2331
20221219_131105,2308
20221219_131105,2366
20221219_131105,2294
20221219_131105,2341
20221219_131105,2286
20221219_131105,2329
20221219_131106,2301
20221219_131106,2310
20221219_131106,2303
20221219_131106,2297
20221219_131106,2315
20221219_131106,2277
20221219_131106,2361
20221219_131106,2322
20221219_131106,2312
20221219_131106,2294
20221219_131106,2294
20221219_131106,2312
20221219_131106,2337
20221219_131106,2326
20221219_131106,2257
20221219_131106,2291
20221219_131106,2286
20221219_131107,2373
20221219_131107,2351
20221219_131107,2311
20221219_131107,2295
20221219_131107,2284
20221219_131107,2317
20221219_131107,2297
20221219_131107,2358
20221219_131107,2334
20221219_131107,2312
20221219_131107,2312
20221219_131107,2310
20221219_131107,2303
20221219_131107,2354
20221219_131107,2350
20221219_131107,2343
20221219_131107,2303
20221219_131107,2331
20221219_131108,2329
20221219_131108,2308
20221219_131108,2294
20221219_131108,2303
20221219_131108,2334
20221219_131108,2346
20221219_131108,2331
20221219_131108,2285
20221219_131108,2320
20221219_131108,2303
20221219_131108,2303
20221219_131108,2294
20221219_131108,2327
20221219_131108,2315
20221219_131108,2347
20221219_131108,2311
20221219_131108,2341
20221219_131108,2325
20221219_131109,2342
20221219_131109,2333
20221219_131109,2310
20221219_131109,2263
20221219_131109,2350
20221219_131109,2329
20221219_131109,2369
20221219_131109,2325
20221219_131109,2265
20221219_131109,2309
20221219_131109,2370
20221219_131109,2346
20221219_131109,2319
20221219_131109,2312
20221219_131109,2349
20221219_131109,2302
20221219_131109,2284
20221219_131109,2330
20221219_131110,2299
20221219_131110,2317
20221219_131110,2332
20221219_131110,2273
20221219_131110,2295
20221219_131110,2290
20221219_131110,2303
20221219_131110,2290
20221219_131110,2330
20221219_131110,2322
20221219_131110,2338
20221219_131110,2289
20221219_131110,2324
20221219_131110,2291
20221219_131110,2304
20221219_131110,2335
20221219_131110,2328
20221219_131111,2301
20221219_131111,2365
20221219_131111,2355
20221219_131111,2290
20221219_131111,2322
20221219_131111,2299
20221219_131111,2312
20221219_131111,2343
20221219_131111,2320
20221219_131111,2318
20221219_131111,2329
20221219_131111,2292
20221219_131111,2333
20221219_131111,2305
20221219_131111,2338
20221219_131111,2325
20221219_131111,2360
20221219_131111,2327
20221219_131112,2318
20221219_131112,2367
20221219_131112,2331
20221219_131112,2307
