Time,CameraA Max
20221221_134006,1163
20221221_134006,1193
20221221_134006,1212
20221221_134006,1228
20221221_134006,1229
20221221_134006,1206
20221221_134006,1240
20221221_134006,1201
20221221_134006,1183
20221221_134006,1209
20221221_134006,1197
20221221_134007,1190
20221221_134007,1182
20221221_134007,1187
20221221_134007,1202
20221221_134007,1181
20221221_134007,1159
20221221_134007,1167
20221221_134007,1191
20221221_134007,1204
20221221_134007,1221
20221221_134007,1205
20221221_134007,1211
20221221_134007,1212
20221221_134007,1218
20221221_134007,1220
20221221_134007,1213
20221221_134007,1166
20221221_134007,1188
20221221_134008,1195
20221221_134008,1204
20221221_134008,1170
20221221_134008,1197
20221221_134008,1176
20221221_134008,1211
20221221_134008,1245
20221221_134008,1207
20221221_134008,1181
20221221_134008,1221
20221221_134008,1207
20221221_134008,1177
20221221_134008,1240
20221221_134008,1216
20221221_134008,1202
20221221_134008,1250
20221221_134008,1227
20221221_134008,1234
20221221_134009,1216
20221221_134009,1192
20221221_134009,1222
20221221_134009,1247
20221221_134009,1201
20221221_134009,1207
20221221_134009,1172
20221221_134009,1167
20221221_134009,1175
20221221_134009,1179
20221221_134009,1204
20221221_134009,1201
20221221_134009,1228
20221221_134009,1213
20221221_134009,1206
20221221_134009,1196
20221221_134009,1189
20221221_134009,1172
20221221_134010,1235
20221221_134010,1199
20221221_134010,1232
20221221_134010,1171
20221221_134010,1210
20221221_134010,1168
20221221_134010,1197
20221221_134010,1203
20221221_134010,1196
20221221_134010,1189
20221221_134010,1160
20221221_134010,1222
20221221_134010,1212
20221221_134010,1228
20221221_134010,1220
20221221_134010,1223
20221221_134010,1206
20221221_134010,1204
20221221_134011,1233
20221221_134011,1254
20221221_134011,1249
20221221_134011,1256
20221221_134011,1254
20221221_134011,1245
20221221_134011,1226
20221221_134011,1217
20221221_134011,1206
20221221_134011,1192
20221221_134011,1211
20221221_134011,1173
20221221_134011,1182
20221221_134011,1205
20221221_134011,1176
20221221_134011,1180
20221221_134011,1176
20221221_134012,1218
20221221_134012,1214
20221221_134012,1215
20221221_134012,1233
20221221_134012,1249
20221221_134012,1208
20221221_134012,1192
20221221_134012,1179
20221221_134012,1215
20221221_134012,1212
20221221_134012,1207
20221221_134012,1194
20221221_134012,1199
20221221_134012,1213
20221221_134012,1208
20221221_134012,1222
20221221_134012,1192
20221221_134012,1207
20221221_134013,1173
20221221_134013,1241
20221221_134013,1215
20221221_134013,1237
20221221_134013,1238
20221221_134013,1220
20221221_134013,1194
