Time,CameraA Max
20221220_183857,331
20221220_183857,329
20221220_183857,359
20221220_183857,348
20221220_183857,333
20221220_183857,343
20221220_183857,351
20221220_183857,336
20221220_183857,339
20221220_183857,347
20221220_183857,352
20221220_183857,337
20221220_183857,332
20221220_183857,359
20221220_183857,332
20221220_183857,316
20221220_183858,322
20221220_183858,343
20221220_183858,356
20221220_183858,341
20221220_183858,343
20221220_183858,349
20221220_183858,326
20221220_183858,337
20221220_183858,336
20221220_183858,331
20221220_183858,351
20221220_183858,339
20221220_183858,323
20221220_183858,323
20221220_183858,344
20221220_183858,341
20221220_183858,327
20221220_183858,334
20221220_183859,332
20221220_183859,333
20221220_183859,363
20221220_183859,338
20221220_183859,329
20221220_183859,347
20221220_183859,338
20221220_183859,351
20221220_183859,335
20221220_183859,349
20221220_183859,350
20221220_183859,342
20221220_183859,341
20221220_183859,330
20221220_183859,328
20221220_183859,343
20221220_183859,349
20221220_183900,361
20221220_183900,336
20221220_183900,343
20221220_183900,341
20221220_183900,334
20221220_183900,353
20221220_183900,335
20221220_183900,341
20221220_183900,349
20221220_183900,330
20221220_183900,344
20221220_183900,357
20221220_183900,340
20221220_183900,319
20221220_183900,331
20221220_183900,349
20221220_183900,343
20221220_183900,348
20221220_183901,336
20221220_183901,328
20221220_183901,346
20221220_183901,349
20221220_183901,341
20221220_183901,354
20221220_183901,366
20221220_183901,341
20221220_183901,359
20221220_183901,347
20221220_183901,354
20221220_183901,337
20221220_183901,366
20221220_183901,344
20221220_183901,344
20221220_183901,350
20221220_183901,330
20221220_183901,339
20221220_183902,348
20221220_183902,349
20221220_183902,369
20221220_183902,342
20221220_183902,351
20221220_183902,344
20221220_183902,339
20221220_183902,354
20221220_183902,334
20221220_183902,333
20221220_183902,359
20221220_183902,344
20221220_183902,351
20221220_183902,335
20221220_183902,344
20221220_183902,348
20221220_183902,360
20221220_183902,355
20221220_183903,319
20221220_183903,341
