Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
,,317,513,,1014,1416,,,,,,,,
,,315,471,,1081,1412,,,,,,,,
,,308,502,,1064,1403,,,,,,,,
,,320,503,,1058,1454,,,,,,,,
,,311,509,,1059,1441,,,,,,,,
,,327,530,,1069,1428,,,,,,,,
,,320,527,,1068,1448,,,,,,,,
,,314,,,1066,1385,,,,,,,,
,,330,,,1030,1374,,,,,,,,
,,309,,,1081,1424,,,,,,,,
,,322,,,1072,1376,,,,,,,,
,,322,,,1023,1364,,,,,,,,
,,316,,,1082,1399,,,,,,,,
,,321,,,1078,1372,,,,,,,,
,,348,,,1086,1377,,,,,,,,
,,316,,,1080,1358,,,,,,,,
,,323,,,1087,1358,,,,,,,,
,,323,,,1079,1408,,,,,,,,
,,319,,,1050,1378,,,,,,,,
,,318,,,1054,1372,,,,,,,,
,,318,,,1057,1368,,,,,,,,
,,330,,,1073,1360,,,,,,,,
,,309,,,1074,,,,,,,,,
,,313,,,1070,,,,,,,,,
,,315,,,1042,,,,,,,,,
,,311,,,1067,,,,,,,,,
,,320,,,1052,,,,,,,,,
,,313,,,1030,,,,,,,,,
,,319,,,1057,,,,,,,,,
,,,,,1081,,,,,,,,,
,,,,,1035,,,,,,,,,
,,,,,1069,,,,,,,,,
,,,,,1052,,,,,,,,,
,,,,,1080,,,,,,,,,
,,,,,1070,,,,,,,,,
,,,,,1029,,,,,,,,,
,,,,,1073,,,,,,,,,
,,,,,1070,,,,,,,,,
