Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
20221220_180413,151,312,484,689,1069,1384,,,,,,,,
20221220_180413,150,315,499,658,1061,1469,,,150.6741573,319.0365854,501.9577465,687.9193548,1052.924855,1407.808917
20221220_180413,151,326,507,682,1047,1382,,,6.886705376,10.58352131,13.58549145,18.2403095,22.66695463,28.7072165
20221220_180413,141,317,515,667,1069,1415,,,0.045705949,0.033173378,0.02706501,0.026515186,0.021527609,0.020391415
20221220_180413,141,317,527,678,1069,1408,,,,,,,,
20221220_180413,139,313,500,681,1047,1391,,,,,,,,
20221220_180413,144,322,517,707,1039,1389,,,,,,,,
20221220_180413,138,307,494,688,1050,1377,,,,,,,,
20221220_180413,139,319,499,649,1064,1389,,,,,,,,
20221220_180413,159,314,506,653,1053,1417,,,,,,,,
20221220_180413,147,303,512,645,1059,1395,,,,,,,,
20221220_180413,150,308,497,691,1037,1376,,,,,,,,
20221220_180413,153,305,491,675,1052,1400,,,,,,,,
20221220_180413,149,313,485,694,1038,1396,,,,,,,,
20221220_180413,159,299,495,713,1054,1388,,,,,,,,
20221220_180413,139,309,506,703,1043,1383,,,,,,,,
20221220_180413,145,330,484,722,1031,1387,,,,,,,,
20221220_180413,151,305,484,708,1035,1441,,,,,,,,
20221220_180413,151,338,476,695,1062,1455,,,,,,,,
20221220_180414,161,313,481,709,1048,1406,,,,,,,,
20221220_180414,147,301,517,695,1054,1357,,,,,,,,
20221220_180414,146,323,497,695,1077,1398,,,,,,,,
20221220_180414,158,314,527,691,1071,1349,,,,,,,,
20221220_180414,153,314,489,701,1063,1450,,,,,,,,
20221220_180414,140,306,476,715,1078,1389,,,,,,,,
20221220_180414,150,311,505,669,1059,1366,,,,,,,,
20221220_180414,154,315,499,699,1073,1398,,,,,,,,
20221220_180414,151,308,507,682,1111,1366,,,,,,,,
20221220_180414,150,302,513,700,1093,1366,,,,,,,,
20221220_180414,147,324,519,689,1068,1377,,,,,,,,
20221220_180414,144,317,517,688,1055,1364,,,,,,,,
20221220_180414,155,313,526,682,1079,1417,,,,,,,,
20221220_180414,159,313,505,701,1103,1407,,,,,,,,
20221220_180414,160,321,491,685,1091,1430,,,,,,,,
20221220_180414,143,295,513,688,1087,1436,,,,,,,,
20221220_180414,152,310,511,691,1080,1425,,,,,,,,
20221220_180414,149,330,486,705,1088,1405,,,,,,,,
20221220_180415,153,312,511,691,1100,1408,,,,,,,,
20221220_180415,153,302,527,676,1038,1412,,,,,,,,
20221220_180415,144,301,506,686,1047,1388,,,,,,,,
20221220_180415,153,293,503,714,1062,1397,,,,,,,,
20221220_180415,149,295,513,679,1066,1389,,,,,,,,
20221220_180415,153,294,517,700,1058,1380,,,,,,,,
20221220_180415,140,314,505,676,1038,1398,,,,,,,,
20221220_180415,156,310,493,706,1058,1405,,,,,,,,
20221220_180415,150,309,488,664,1050,1385,,,,,,,,
20221220_180415,145,318,504,691,1028,1380,,,,,,,,
20221220_180415,141,323,514,707,1067,1417,,,,,,,,
20221220_180415,147,321,509,685,1041,1427,,,,,,,,
20221220_180415,140,331,483,705,998,1416,,,,,,,,
20221220_180415,139,327,520,680,1035,1380,,,,,,,,
20221220_180415,139,333,521,683,1009,1409,,,,,,,,
20221220_180415,153,314,495,669,1024,1413,,,,,,,,
20221220_180415,155,311,501,656,1006,1385,,,,,,,,
20221220_180415,149,296,506,644,1050,1414,,,,,,,,
20221220_180416,145,310,511,665,1039,1423,,,,,,,,
20221220_180416,159,320,516,689,1025,1432,,,,,,,,
20221220_180416,144,323,493,680,1039,1420,,,,,,,,
20221220_180416,164,326,501,682,1040,1466,,,,,,,,
20221220_180416,152,324,478,723,1066,1424,,,,,,,,
20221220_180416,166,326,494,708,1055,1443,,,,,,,,
20221220_180416,149,333,489,718,1055,1427,,,,,,,,
20221220_180416,139,331,502,710,1054,1473,,,,,,,,
20221220_180416,155,312,510,700,1050,1478,,,,,,,,
20221220_180416,156,318,509,696,1028,1446,,,,,,,,
20221220_180416,154,309,484,689,1020,1447,,,,,,,,
20221220_180416,145,329,491,691,1047,1468,,,,,,,,
20221220_180416,158,327,488,700,989,1429,,,,,,,,
20221220_180416,155,316,497,667,1031,1426,,,,,,,,
20221220_180416,150,321,499,677,1037,1410,,,,,,,,
20221220_180416,151,309,480,699,1000,1406,,,,,,,,
20221220_180416,151,311,488,684,1017,1394,,,,,,,,
20221220_180417,153,311,499,651,1070,1426,,,,,,,,
20221220_180417,158,313,499,673,1037,1417,,,,,,,,
20221220_180417,160,332,519,686,1067,1390,,,,,,,,
20221220_180417,152,332,514,692,1003,1377,,,,,,,,
20221220_180417,155,319,498,667,1007,1375,,,,,,,,
20221220_180417,153,328,507,681,1058,1365,,,,,,,,
20221220_180417,158,333,501,675,1050,1360,,,,,,,,
20221220_180417,156,322,496,696,1077,1352,,,,,,,,
20221220_180417,157,327,503,701,1051,1421,,,,,,,,
20221220_180417,160,348,505,710,1062,1435,,,,,,,,
20221220_180417,159,319,490,698,1078,1393,,,,,,,,
20221220_180417,150,322,502,685,1047,1413,,,,,,,,
20221220_180417,164,342,483,693,1074,1403,,,,,,,,
20221220_180417,139,335,505,661,1071,1415,,,,,,,,
20221220_180417,163,333,506,678,1080,1420,,,,,,,,
20221220_180417,151,320,500,678,1033,1397,,,,,,,,
20221220_180417,154,321,521,679,1039,1389,,,,,,,,
,,328,535,697,1047,1408,,,,,,,,
,,323,525,677,1072,1352,,,,,,,,
,,323,517,682,1045,1405,,,,,,,,
,,313,488,691,1042,1423,,,,,,,,
,,319,500,664,1030,1367,,,,,,,,
,,315,489,675,1085,1415,,,,,,,,
,,308,513,677,1060,1392,,,,,,,,
,,306,495,678,1052,1416,,,,,,,,
,,321,506,691,1031,1393,,,,,,,,
,,333,500,702,1047,1392,,,,,,,,
,,339,496,668,1038,1421,,,,,,,,
,,334,503,692,1062,1428,,,,,,,,
,,306,513,712,1015,1417,,,,,,,,
,,332,513,661,1045,1451,,,,,,,,
,,335,546,679,1068,1471,,,,,,,,
,,332,523,693,1028,1454,,,,,,,,
,,320,499,679,1030,1451,,,,,,,,
,,323,482,659,1071,1428,,,,,,,,
,,319,485,695,1093,1434,,,,,,,,
,,320,494,683,1065,1457,,,,,,,,
,,308,514,687,1079,1391,,,,,,,,
,,315,509,689,1047,1427,,,,,,,,
,,306,500,724,1083,1426,,,,,,,,
,,323,486,724,1046,1408,,,,,,,,
,,316,513,735,1053,1436,,,,,,,,
,,303,495,702,1031,1435,,,,,,,,
,,319,496,715,1064,1457,,,,,,,,
,,328,502,668,1015,1435,,,,,,,,
,,330,492,687,1033,1435,,,,,,,,
,,333,499,704,1054,1430,,,,,,,,
,,336,515,712,1046,1425,,,,,,,,
,,323,505,649,1039,1407,,,,,,,,
,,332,475,661,1039,1426,,,,,,,,
,,322,495,707,1043,1379,,,,,,,,
,,320,494,706,1033,1399,,,,,,,,
,,322,507,,1061,1392,,,,,,,,
,,334,472,,1050,1407,,,,,,,,
,,342,503,,1035,1448,,,,,,,,
,,330,485,,1035,1406,,,,,,,,
,,335,499,,1050,1403,,,,,,,,
,,321,507,,1066,1390,,,,,,,,
,,326,485,,999,1395,,,,,,,,
,,326,492,,1023,1451,,,,,,,,
,,323,497,,1048,1444,,,,,,,,
,,329,502,,1000,1409,,,,,,,,
,,316,511,,1068,1404,,,,,,,,
