Time,CameraA Max
20221219_131025,1757
20221219_131025,1750
20221219_131025,1775
20221219_131025,1709
20221219_131025,1733
20221219_131025,1700
20221219_131025,1750
20221219_131025,1703
20221219_131025,1757
20221219_131025,1781
20221219_131025,1732
20221219_131025,1737
20221219_131025,1766
20221219_131025,1750
20221219_131026,1741
20221219_131026,1763
20221219_131026,1705
20221219_131026,1726
20221219_131026,1753
20221219_131026,1757
20221219_131026,1707
20221219_131026,1766
20221219_131026,1796
20221219_131026,1736
20221219_131026,1743
20221219_131026,1710
20221219_131026,1769
20221219_131026,1729
20221219_131026,1739
20221219_131026,1740
20221219_131026,1759
20221219_131027,1758
20221219_131027,1746
20221219_131027,1737
20221219_131027,1710
20221219_131027,1728
20221219_131027,1718
20221219_131027,1749
20221219_131027,1719
20221219_131027,1771
20221219_131027,1695
20221219_131027,1709
20221219_131027,1741
20221219_131027,1759
20221219_131027,1746
20221219_131027,1741
20221219_131027,1725
20221219_131027,1740
20221219_131027,1759
20221219_131028,1771
20221219_131028,1703
20221219_131028,1708
20221219_131028,1724
20221219_131028,1730
20221219_131028,1738
20221219_131028,1737
20221219_131028,1773
20221219_131028,1716
20221219_131028,1742
20221219_131028,1736
20221219_131028,1720
20221219_131028,1742
20221219_131028,1715
20221219_131028,1719
20221219_131028,1758
20221219_131028,1734
20221219_131028,1726
20221219_131029,1732
20221219_131029,1717
20221219_131029,1740
20221219_131029,1699
20221219_131029,1728
20221219_131029,1749
20221219_131029,1678
20221219_131029,1743
20221219_131029,1708
20221219_131029,1756
20221219_131029,1736
20221219_131029,1720
20221219_131029,1718
20221219_131029,1728
20221219_131029,1716
20221219_131029,1736
20221219_131029,1721
20221219_131029,1709
20221219_131030,1738
20221219_131030,1724
20221219_131030,1724
20221219_131030,1734
20221219_131030,1789
20221219_131030,1714
20221219_131030,1717
20221219_131030,1700
20221219_131030,1690
20221219_131030,1728
20221219_131030,1720
20221219_131030,1703
20221219_131030,1737
20221219_131030,1739
20221219_131030,1753
20221219_131030,1744
20221219_131030,1753
20221219_131030,1710
20221219_131031,1700
20221219_131031,1743
20221219_131031,1717
20221219_131031,1714
20221219_131031,1748
20221219_131031,1694
20221219_131031,1749
20221219_131031,1728
20221219_131031,1719
20221219_131031,1744
20221219_131031,1773
20221219_131031,1756
20221219_131031,1745
20221219_131031,1759
20221219_131031,1698
20221219_131031,1734
20221219_131031,1732
20221219_131032,1722
20221219_131032,1720
20221219_131032,1721
20221219_131032,1724
20221219_131032,1714
20221219_131032,1753
20221219_131032,1737
20221219_131032,1711
20221219_131032,1724
20221219_131032,1742
20221219_131032,1751
20221219_131032,1715
20221219_131032,1754
20221219_131032,1734
20221219_131032,1735
20221219_131032,1745
20221219_131032,1723
20221219_131032,1732
20221219_131033,1713
20221219_131033,1760
20221219_131033,1708
20221219_131033,1744
20221219_131033,1721
20221219_131033,1726
20221219_131033,1697
20221219_131033,1729
20221219_131033,1746
20221219_131033,1735
20221219_131033,1768
20221219_131033,1730
20221219_131033,1762
20221219_131033,1750
20221219_131033,1781
20221219_131033,1690
20221219_131033,1783
20221219_131033,1754
20221219_131034,1763
20221219_131034,1705
20221219_131034,1751
20221219_131034,1738
20221219_131034,1708
20221219_131034,1754
20221219_131034,1750
20221219_131034,1748
20221219_131034,1800
20221219_131034,1713
20221219_131034,1735
20221219_131034,1753
20221219_131034,1722
20221219_131034,1712
20221219_131034,1789
20221219_131034,1782
20221219_131034,1741
20221219_131034,1759
20221219_131035,1755
20221219_131035,1737
20221219_131035,1695
20221219_131035,1824
20221219_131035,1748
20221219_131035,1753
20221219_131035,1740
20221219_131035,1741
20221219_131035,1716
20221219_131035,1734
20221219_131035,1746
20221219_131035,1749
20221219_131035,1758
20221219_131035,1704
20221219_131035,1697
20221219_131035,1703
20221219_131035,1733
20221219_131036,1692
20221219_131036,1775
20221219_131036,1734
20221219_131036,1748
20221219_131036,1690
20221219_131036,1733
20221219_131036,1745
20221219_131036,1714
20221219_131036,1741
20221219_131036,1705
20221219_131036,1758
20221219_131036,1719
20221219_131036,1736
20221219_131036,1739
20221219_131036,1717
20221219_131036,1723
20221219_131036,1717
20221219_131036,1712
20221219_131037,1730
20221219_131037,1723
20221219_131037,1768
20221219_131037,1758
20221219_131037,1744
20221219_131037,1731
20221219_131037,1750
20221219_131037,1765
20221219_131037,1719
20221219_131037,1772
20221219_131037,1731
20221219_131037,1772
20221219_131037,1721
20221219_131037,1710
20221219_131037,1743
20221219_131037,1698
20221219_131037,1718
