Time,CameraA Max
20221221_133853,289
20221221_133853,294
20221221_133853,268
20221221_133853,293
20221221_133853,283
20221221_133853,275
20221221_133853,294
20221221_133853,291
20221221_133853,281
20221221_133853,315
20221221_133853,288
20221221_133853,302
20221221_133854,279
20221221_133854,273
20221221_133854,283
20221221_133854,285
20221221_133854,279
20221221_133854,280
20221221_133854,288
20221221_133854,287
20221221_133854,287
20221221_133854,286
20221221_133854,276
20221221_133854,286
20221221_133854,291
20221221_133854,290
20221221_133854,273
20221221_133854,290
20221221_133854,268
20221221_133855,276
20221221_133855,282
20221221_133855,285
20221221_133855,298
20221221_133855,280
20221221_133855,302
20221221_133855,288
20221221_133855,312
20221221_133855,294
20221221_133855,310
20221221_133855,286
20221221_133855,265
20221221_133855,289
20221221_133855,301
20221221_133855,300
20221221_133855,294
20221221_133855,294
20221221_133855,293
20221221_133856,273
20221221_133856,307
20221221_133856,287
20221221_133856,274
20221221_133856,296
20221221_133856,293
20221221_133856,280
20221221_133856,278
20221221_133856,276
20221221_133856,288
20221221_133856,301
20221221_133856,290
20221221_133856,283
20221221_133856,287
20221221_133856,291
20221221_133856,283
20221221_133856,260
20221221_133856,259
20221221_133857,305
20221221_133857,283
20221221_133857,278
20221221_133857,297
20221221_133857,302
20221221_133857,290
20221221_133857,285
20221221_133857,294
20221221_133857,286
20221221_133857,282
20221221_133857,285
20221221_133857,271
20221221_133857,276
20221221_133857,280
20221221_133857,286
20221221_133857,283
20221221_133857,288
20221221_133857,280
20221221_133858,294
20221221_133858,283
20221221_133858,291
20221221_133858,289
20221221_133858,286
20221221_133858,286
20221221_133858,279
20221221_133858,296
20221221_133858,296
20221221_133858,288
20221221_133858,287
20221221_133858,290
20221221_133858,283
20221221_133858,266
20221221_133858,281
20221221_133858,307
20221221_133858,299
20221221_133859,285
20221221_133859,287
20221221_133859,291
