Time,CameraA Max
20221221_140818,614
20221221_140818,614
20221221_140818,604
20221221_140818,613
20221221_140818,622
20221221_140818,612
20221221_140818,647
20221221_140818,639
20221221_140818,631
20221221_140818,622
20221221_140818,616
20221221_140818,597
20221221_140818,598
20221221_140818,623
20221221_140818,596
20221221_140818,632
20221221_140818,606
20221221_140818,603
20221221_140819,627
20221221_140819,626
20221221_140819,616
20221221_140819,603
20221221_140819,592
20221221_140819,613
20221221_140819,605
20221221_140819,616
20221221_140819,595
20221221_140819,599
20221221_140819,603
20221221_140819,604
20221221_140819,596
20221221_140819,639
20221221_140819,638
20221221_140819,617
20221221_140819,634
20221221_140819,638
20221221_140820,610
20221221_140820,626
20221221_140820,613
20221221_140820,621
20221221_140820,578
20221221_140820,627
20221221_140820,602
20221221_140820,631
20221221_140820,633
20221221_140820,598
20221221_140820,578
20221221_140820,601
20221221_140820,595
20221221_140820,599
20221221_140820,625
20221221_140820,600
20221221_140820,588
20221221_140820,610
20221221_140821,626
20221221_140821,590
20221221_140821,587
20221221_140821,584
20221221_140821,598
20221221_140821,606
20221221_140821,574
20221221_140821,586
20221221_140821,628
20221221_140821,592
20221221_140821,595
20221221_140821,603
20221221_140821,573
20221221_140821,580
20221221_140821,574
20221221_140821,622
20221221_140821,605
20221221_140821,586
20221221_140822,567
20221221_140822,603
20221221_140822,585
20221221_140822,579
20221221_140822,599
20221221_140822,578
20221221_140822,585
20221221_140822,567
20221221_140822,584
20221221_140822,606
20221221_140822,591
20221221_140822,595
20221221_140822,585
20221221_140822,611
20221221_140822,580
20221221_140822,596
20221221_140822,627
20221221_140823,599
20221221_140823,610
20221221_140823,630
20221221_140823,607
20221221_140823,621
20221221_140823,592
20221221_140823,595
20221221_140823,602
20221221_140823,613
20221221_140823,600
20221221_140823,628
20221221_140823,612
20221221_140823,593
20221221_140823,570
20221221_140823,588
20221221_140823,606
20221221_140823,603
20221221_140823,611
20221221_140824,600
20221221_140824,584
20221221_140824,619
20221221_140824,624
20221221_140824,592
20221221_140824,606
20221221_140824,604
20221221_140824,595
20221221_140824,600
20221221_140824,603
20221221_140824,585
20221221_140824,607
20221221_140824,575
20221221_140824,592
20221221_140824,625
20221221_140824,636
20221221_140824,610
20221221_140824,602
20221221_140825,607
20221221_140825,619
20221221_140825,614
20221221_140825,611
20221221_140825,635
20221221_140825,624
20221221_140825,619
20221221_140825,614
20221221_140825,632
20221221_140825,603
20221221_140825,592
20221221_140825,601
20221221_140825,614
20221221_140825,627
20221221_140825,619
20221221_140825,600
20221221_140825,594
20221221_140825,592
20221221_140826,601
20221221_140826,608
20221221_140826,601
20221221_140826,606
20221221_140826,565
20221221_140826,605
20221221_140826,604
20221221_140826,586
20221221_140826,616
20221221_140826,596
20221221_140826,618
20221221_140826,601
20221221_140826,576
20221221_140826,602
20221221_140826,610
20221221_140826,615
20221221_140826,573
20221221_140827,592
20221221_140827,590
20221221_140827,585
20221221_140827,577
20221221_140827,596
20221221_140827,592
20221221_140827,580
20221221_140827,582
20221221_140827,619
20221221_140827,604
20221221_140827,618
20221221_140827,595
20221221_140827,596
20221221_140827,605
20221221_140827,569
20221221_140827,583
20221221_140827,587
20221221_140827,594
20221221_140828,558
20221221_140828,564
20221221_140828,578
20221221_140828,591
20221221_140828,595
20221221_140828,628
20221221_140828,580
20221221_140828,586
20221221_140828,584
20221221_140828,612
20221221_140828,610
20221221_140828,596
20221221_140828,583
20221221_140828,584
20221221_140828,597
20221221_140828,592
20221221_140828,581
20221221_140828,586
20221221_140829,604
20221221_140829,586
20221221_140829,602
20221221_140829,593
20221221_140829,590
20221221_140829,579
20221221_140829,613
20221221_140829,612
20221221_140829,601
