Time,CameraA Max
20221216_170532,63
20221216_170532,58
20221216_170532,63
20221216_170532,126
20221216_170532,119
20221216_170532,247
20221216_170532,974
20221216_170532,1951
20221216_170533,1960
20221216_170533,1955
20221216_170533,2007
20221216_170533,1960
20221216_170533,2003
20221216_170533,1982
20221216_170533,1941
20221216_170534,1967
20221216_170534,1993
20221216_170534,1958
20221216_170534,1970
20221216_170534,1981
20221216_170534,1983
20221216_170535,1995
20221216_170535,2008
20221216_170535,2029
20221216_170535,2000
20221216_170535,1954
20221216_170535,1953
20221216_170536,1972
20221216_170536,1946
20221216_170536,1956
20221216_170536,1945
20221216_170536,1994
20221216_170536,1976
20221216_170537,1982
20221216_170537,1967
20221216_170537,1977
20221216_170537,1999
20221216_170537,2008
20221216_170537,1979
20221216_170537,1969
20221216_170538,1943
20221216_170538,1996
20221216_170538,2026
20221216_170538,1978
20221216_170538,1984
20221216_170538,2010
20221216_170539,1960
20221216_170539,1982
20221216_170539,1968
20221216_170539,1964
20221216_170539,1993
20221216_170539,1990
20221216_170540,1912
20221216_170540,1934
20221216_170540,1988
20221216_170540,1938
20221216_170540,2006
20221216_170540,1948
20221216_170541,1967
20221216_170541,2001
20221216_170541,2030
20221216_170541,1967
20221216_170541,1962
20221216_170541,1976
20221216_170541,1985
20221216_170542,1946
20221216_170542,1961
20221216_170542,1949
20221216_170542,1944
20221216_170542,1975
20221216_170542,1984
20221216_170543,1944
20221216_170543,1957
20221216_170543,1933
20221216_170543,1976
20221216_170543,1941
20221216_170543,1934
20221216_170544,1963
20221216_170544,1933
20221216_170544,1935
20221216_170544,1978
20221216_170544,1939
20221216_170544,1956
20221216_170545,2004
20221216_170545,1976
20221216_170547,1959
20221216_170547,1909
20221216_170547,1931
20221216_170547,1924
20221216_170547,1964
20221216_170547,1946
20221216_170548,1940
20221216_170548,1959
20221216_170548,1972
20221216_170548,1952
20221216_170548,2017
20221216_170548,1926
20221216_170549,1933
20221216_170549,1956
20221216_170549,1916
20221216_170549,1961
20221216_170549,1948
20221216_170549,1940
20221216_170549,1920
20221216_170550,1947
20221216_170550,1919
20221216_170550,1960
20221216_170550,1922
20221216_170550,1944
20221216_170550,1934
20221216_170551,1926
20221216_170551,1931
20221216_170551,1966
20221216_170551,1973
20221216_170551,1944
20221216_170551,1928
20221216_170552,1987
20221216_170552,1907
20221216_170552,1929
20221216_170552,1926
20221216_170552,1956
20221216_170552,1937
20221216_170553,1933
20221216_170553,1982
20221216_170553,1905
20221216_170553,1917
20221216_170553,1956
20221216_170553,1967
20221216_170553,1928
20221216_170554,1894
20221216_170554,1990
20221216_170554,1958
20221216_170554,1932
20221216_170554,1977
20221216_170554,1925
20221216_170555,1962
20221216_170555,1938
20221216_170555,1923
20221216_170555,1923
20221216_170555,1891
20221216_170555,1903
20221216_170556,1903
20221216_170556,1962
20221216_170556,1904
20221216_170556,1948
20221216_170556,1944
20221216_170556,1922
20221216_170557,1957
20221216_170557,1926
20221216_170557,1899
20221216_170557,1916
20221216_170557,1992
20221216_170557,1963
20221216_170557,1924
20221216_170558,1949
20221216_170558,1921
20221216_170558,1951
20221216_170558,1949
20221216_170558,1942
20221216_170558,1935
20221216_170559,1918
20221216_170559,1906
20221216_170559,1958
20221216_170559,1954
20221216_170559,1884
20221216_170559,1928
20221216_170600,1957
20221216_170600,1944
20221216_170600,1924
20221216_170600,1927
20221216_170600,1922
20221216_170600,1944
20221216_170601,1903
20221216_170601,1918
20221216_170601,1969
20221216_170601,1911
20221216_170601,1925
20221216_170601,1927
20221216_170601,1928
20221216_170602,1890
20221216_170602,1943
20221216_170602,1903
20221216_170602,1934
20221216_170602,1917
20221216_170602,1946
20221216_170603,1907
20221216_170603,1929
20221216_170603,1881
20221216_170603,1925
20221216_170603,1932
20221216_170603,1919
20221216_170604,1923
20221216_170604,1919
20221216_170604,1940
20221216_170604,1904
20221216_170604,1936
20221216_170604,1913
20221216_170605,1970
20221216_170605,1943
20221216_170605,1898
20221216_170605,1957
20221216_170605,1912
20221216_170605,1927
20221216_170606,1909
20221216_170606,1923
20221216_170606,1905
20221216_170606,1899
20221216_170606,1907
20221216_170606,1941
20221216_170606,1919
20221216_170607,1915
20221216_170607,1915
20221216_170607,1904
20221216_170607,1936
20221216_170607,1944
20221216_170607,1960
20221216_170608,1934
20221216_170608,1966
20221216_170608,1929
20221216_170608,1920
20221216_170608,1912
20221216_170608,1925
20221216_170609,1952
20221216_170609,1920
20221216_170609,1973
20221216_170609,1918
20221216_170609,1947
20221216_170609,1944
20221216_170610,1911
20221216_170610,1903
20221216_170610,1923
20221216_170610,1905
20221216_170610,1888
20221216_170610,1963
20221216_170610,1926
20221216_170611,1940
20221216_170611,1927
20221216_170611,1905
20221216_170611,1917
20221216_170611,1919
20221216_170611,1914
20221216_170612,1932
20221216_170612,1929
20221216_170612,1886
20221216_170612,1908
20221216_170612,1893
20221216_170612,1946
20221216_170613,1928
20221216_170613,1958
20221216_170613,1915
20221216_170613,1880
20221216_170613,1933
20221216_170613,1924
20221216_170614,1915
20221216_170614,1917
20221216_170614,1902
20221216_170614,1891
20221216_170614,1882
20221216_170614,1934
20221216_170614,1943
20221216_170615,1913
20221216_170615,1912
20221216_170615,1943
20221216_170615,1905
20221216_170615,1874
20221216_170615,1894
20221216_170616,1942
20221216_170616,1934
20221216_170616,1940
20221216_170616,1960
20221216_170616,1947
20221216_170616,1916
20221216_170617,1876
20221216_170617,1940
20221216_170617,1891
20221216_170617,1929
20221216_170617,1914
20221216_170617,1939
20221216_170618,1887
20221216_170618,1902
20221216_170618,1927
20221216_170618,1920
20221216_170618,1936
20221216_170618,1886
20221216_170618,1921
20221216_170619,1890
20221216_170619,1907
20221216_170619,1888
20221216_170619,1904
20221216_170619,1942
20221216_170619,1925
20221216_170620,1902
20221216_170620,1940
20221216_170620,1896
20221216_170620,1943
20221216_170620,1968
20221216_170620,1946
20221216_170621,1935
20221216_170621,1935
20221216_170621,1920
20221216_170621,1911
20221216_170621,1983
20221216_170621,1907
20221216_170622,1912
20221216_170622,1892
20221216_170622,1961
20221216_170622,1884
20221216_170622,1895
20221216_170622,1905
20221216_170622,1942
20221216_170623,1907
20221216_170623,1931
20221216_170623,1935
20221216_170623,1931
20221216_170623,1929
20221216_170623,1909
20221216_170624,1926
20221216_170624,1945
20221216_170624,1893
20221216_170624,1944
20221216_170624,1908
20221216_170624,1915
20221216_170625,1969
20221216_170625,1924
20221216_170625,1909
20221216_170625,1913
20221216_170625,1901
20221216_170625,1876
20221216_170626,1955
20221216_170626,1944
20221216_170626,1939
20221216_170626,1920
20221216_170626,1943
20221216_170626,1938
