Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
20221220_174725,37,75,126,139,211,280,,,,,,,,
20221220_174725,39,83,124,143,221,279,,,37.68543689,81.34797297,125.5226481,144.7163121,210.8275862,289.5987261
20221220_174725,41,85,113,153,222,288,,,3.677950066,4.773925927,6.756401468,6.79424782,8.522268547,9.194382254
20221220_174725,30,78,131,131,220,286,,,0.097596057,0.058685247,0.053826155,0.046948735,0.040422929,0.031748697
20221220_174725,33,79,133,144,217,292,,,,,,,,
20221220_174726,32,74,134,144,208,287,,,,,,,,
20221220_174726,36,83,127,147,199,281,,,,,,,,
20221220_174726,35,78,126,146,214,290,,,,,,,,
20221220_174726,32,76,133,140,216,276,,,,,,,,
20221220_174726,42,75,126,155,215,285,,,,,,,,
20221220_174726,38,84,132,141,220,301,,,,,,,,
20221220_174726,30,77,114,147,205,305,,,,,,,,
20221220_174726,37,77,120,149,199,279,,,,,,,,
20221220_174726,37,76,132,152,210,282,,,,,,,,
20221220_174726,43,75,125,145,211,272,,,,,,,,
20221220_174726,32,76,119,154,216,286,,,,,,,,
20221220_174726,41,88,136,138,226,285,,,,,,,,
20221220_174726,39,83,123,134,216,293,,,,,,,,
20221220_174726,34,82,125,130,215,285,,,,,,,,
20221220_174726,41,80,132,140,193,278,,,,,,,,
20221220_174726,36,82,119,136,200,292,,,,,,,,
20221220_174726,38,79,122,141,221,281,,,,,,,,
20221220_174726,32,83,127,130,208,295,,,,,,,,
20221220_174727,32,79,115,147,225,286,,,,,,,,
20221220_174727,34,88,113,146,211,273,,,,,,,,
20221220_174727,39,80,125,147,224,302,,,,,,,,
20221220_174727,38,77,128,149,217,297,,,,,,,,
20221220_174727,36,76,131,151,212,281,,,,,,,,
20221220_174727,42,83,117,145,206,289,,,,,,,,
20221220_174727,37,77,127,150,201,294,,,,,,,,
20221220_174727,38,80,132,144,192,301,,,,,,,,
20221220_174727,33,88,134,152,208,279,,,,,,,,
20221220_174727,41,85,122,147,200,292,,,,,,,,
20221220_174727,39,74,135,145,219,287,,,,,,,,
20221220_174727,35,77,125,148,199,281,,,,,,,,
20221220_174727,31,71,112,152,221,301,,,,,,,,
20221220_174727,43,82,122,141,210,283,,,,,,,,
20221220_174727,42,82,128,147,208,274,,,,,,,,
20221220_174727,33,74,125,155,201,300,,,,,,,,
20221220_174727,35,78,124,157,206,297,,,,,,,,
20221220_174727,41,74,133,146,193,274,,,,,,,,
20221220_174728,36,87,110,134,219,294,,,,,,,,
20221220_174728,35,79,123,150,216,283,,,,,,,,
20221220_174728,29,82,136,151,216,294,,,,,,,,
20221220_174728,42,73,124,145,213,286,,,,,,,,
20221220_174728,41,72,127,141,229,282,,,,,,,,
20221220_174728,35,84,108,154,219,283,,,,,,,,
20221220_174728,36,77,120,139,211,290,,,,,,,,
20221220_174728,38,83,114,157,213,289,,,,,,,,
20221220_174728,44,80,114,151,209,278,,,,,,,,
20221220_174728,36,80,115,145,198,289,,,,,,,,
20221220_174728,41,87,125,148,206,287,,,,,,,,
20221220_174728,37,77,125,153,219,303,,,,,,,,
20221220_174728,37,88,128,148,220,302,,,,,,,,
20221220_174728,34,84,127,152,209,299,,,,,,,,
20221220_174728,44,75,124,138,207,297,,,,,,,,
20221220_174728,41,78,114,150,218,286,,,,,,,,
20221220_174728,41,79,129,143,211,312,,,,,,,,
20221220_174729,38,87,117,156,208,296,,,,,,,,
20221220_174729,35,83,119,164,205,293,,,,,,,,
20221220_174729,35,90,131,150,212,281,,,,,,,,
20221220_174729,34,83,125,140,216,291,,,,,,,,
20221220_174729,35,83,137,143,215,290,,,,,,,,
20221220_174729,36,77,124,144,217,277,,,,,,,,
20221220_174729,35,78,113,143,214,290,,,,,,,,
20221220_174729,34,82,128,147,225,271,,,,,,,,
20221220_174729,41,83,125,145,213,291,,,,,,,,
20221220_174729,38,88,126,152,199,291,,,,,,,,
20221220_174729,41,77,129,148,210,287,,,,,,,,
20221220_174729,44,78,122,151,216,286,,,,,,,,
20221220_174729,37,88,126,143,214,291,,,,,,,,
20221220_174729,33,83,124,145,216,292,,,,,,,,
20221220_174729,41,79,135,154,191,297,,,,,,,,
20221220_174729,38,85,122,132,207,306,,,,,,,,
20221220_174729,39,74,126,145,216,278,,,,,,,,
20221220_174729,36,86,116,135,211,289,,,,,,,,
20221220_174730,38,80,119,149,213,298,,,,,,,,
20221220_174730,36,67,129,146,217,310,,,,,,,,
20221220_174730,37,77,114,135,207,286,,,,,,,,
20221220_174730,35,91,128,152,209,288,,,,,,,,
20221220_174730,37,76,117,148,212,288,,,,,,,,
20221220_174730,38,78,124,150,210,290,,,,,,,,
20221220_174730,37,82,132,141,232,271,,,,,,,,
20221220_174730,33,77,135,149,225,299,,,,,,,,
20221220_174730,42,79,124,135,219,289,,,,,,,,
20221220_174730,41,78,129,133,215,306,,,,,,,,
20221220_174730,31,79,123,141,209,288,,,,,,,,
20221220_174730,35,90,126,147,221,277,,,,,,,,
20221220_174730,43,86,128,153,219,283,,,,,,,,
20221220_174730,43,85,125,139,211,287,,,,,,,,
20221220_174730,41,88,116,145,199,275,,,,,,,,
20221220_174730,37,80,143,139,216,289,,,,,,,,
20221220_174730,39,75,136,155,200,300,,,,,,,,
20221220_174730,34,85,130,147,193,283,,,,,,,,
20221220_174731,37,76,129,149,207,296,,,,,,,,
20221220_174731,34,76,123,144,216,295,,,,,,,,
20221220_174731,42,79,126,131,194,291,,,,,,,,
20221220_174731,35,82,128,143,215,305,,,,,,,,
20221220_174731,36,82,127,152,206,302,,,,,,,,
20221220_174731,41,84,130,145,209,274,,,,,,,,
20221220_174731,38,85,128,144,212,294,,,,,,,,
20221220_174731,34,73,136,145,213,314,,,,,,,,
20221220_174731,37,85,136,150,218,293,,,,,,,,
20221220_174731,39,87,125,157,216,297,,,,,,,,
20221220_174731,42,76,125,147,209,285,,,,,,,,
20221220_174731,33,77,120,146,210,280,,,,,,,,
20221220_174731,38,80,137,143,200,296,,,,,,,,
20221220_174731,41,80,113,147,221,288,,,,,,,,
20221220_174731,32,73,122,139,216,303,,,,,,,,
20221220_174731,39,84,133,146,234,285,,,,,,,,
20221220_174731,43,79,133,146,218,286,,,,,,,,
20221220_174731,36,71,134,153,201,279,,,,,,,,
20221220_174732,34,87,137,137,204,278,,,,,,,,
20221220_174732,36,83,124,138,200,291,,,,,,,,
20221220_174732,41,72,117,132,207,274,,,,,,,,
20221220_174732,36,86,118,135,214,303,,,,,,,,
20221220_174732,38,76,131,132,201,292,,,,,,,,
20221220_174732,42,80,117,135,214,309,,,,,,,,
20221220_174732,36,82,126,147,194,277,,,,,,,,
20221220_174732,39,83,119,141,213,290,,,,,,,,
20221220_174732,43,75,137,153,204,298,,,,,,,,
20221220_174732,41,80,129,139,214,290,,,,,,,,
20221220_174732,36,77,128,151,215,291,,,,,,,,
20221220_174732,33,79,124,143,209,306,,,,,,,,
20221220_174732,36,82,135,139,206,295,,,,,,,,
20221220_174732,39,77,115,147,215,283,,,,,,,,
20221220_174732,36,82,128,139,207,272,,,,,,,,
20221220_174732,38,82,124,141,237,269,,,,,,,,
20221220_174732,37,82,131,136,217,290,,,,,,,,
20221220_174732,37,82,118,150,209,290,,,,,,,,
20221220_174733,42,89,129,147,210,290,,,,,,,,
20221220_174733,36,86,115,144,207,300,,,,,,,,
20221220_174733,36,79,128,145,221,290,,,,,,,,
20221220_174733,37,86,126,140,208,288,,,,,,,,
20221220_174733,30,75,130,127,207,295,,,,,,,,
20221220_174733,36,83,127,150,215,277,,,,,,,,
20221220_174733,37,82,128,146,197,292,,,,,,,,
20221220_174733,36,78,122,132,198,300,,,,,,,,
20221220_174733,34,79,122,147,204,295,,,,,,,,
20221220_174733,43,84,123,134,216,301,,,,,,,,
20221220_174733,47,79,123,143,209,285,,,,,,,,
20221220_174733,35,77,132,,195,301,,,,,,,,
20221220_174733,38,77,130,,215,301,,,,,,,,
20221220_174733,36,79,127,,202,300,,,,,,,,
20221220_174733,33,85,136,,210,293,,,,,,,,
20221220_174733,34,84,123,,213,285,,,,,,,,
20221220_174733,37,80,116,,202,277,,,,,,,,
20221220_174734,37,85,127,,211,291,,,,,,,,
20221220_174734,36,76,126,,199,283,,,,,,,,
20221220_174734,37,92,124,,195,288,,,,,,,,
20221220_174734,41,84,113,,210,283,,,,,,,,
20221220_174734,37,78,116,,208,291,,,,,,,,
20221220_174734,32,85,112,,209,296,,,,,,,,
20221220_174734,36,80,110,,212,291,,,,,,,,
20221220_174734,33,78,129,,209,298,,,,,,,,
20221220_174734,37,86,130,,204,291,,,,,,,,
20221220_174734,34,83,133,,207,297,,,,,,,,
20221220_174734,34,83,118,,209,,,,,,,,,
20221220_174734,33,93,129,,202,,,,,,,,,
20221220_174734,35,86,135,,219,,,,,,,,,
20221220_174734,30,86,126,,211,,,,,,,,,
20221220_174734,42,80,127,,222,,,,,,,,,
20221220_174734,38,79,130,,191,,,,,,,,,
20221220_174734,41,80,138,,209,,,,,,,,,
20221220_174734,35,78,133,,197,,,,,,,,,
20221220_174735,43,78,135,,219,,,,,,,,,
20221220_174735,37,82,127,,213,,,,,,,,,
20221220_174735,36,70,118,,215,,,,,,,,,
20221220_174735,30,82,119,,227,,,,,,,,,
20221220_174735,36,80,127,,213,,,,,,,,,
20221220_174735,37,77,116,,206,,,,,,,,,
20221220_174735,41,87,123,,218,,,,,,,,,
20221220_174735,45,78,119,,208,,,,,,,,,
20221220_174735,45,83,130,,216,,,,,,,,,
20221220_174735,36,83,130,,,,,,,,,,,
20221220_174735,29,79,134,,,,,,,,,,,
20221220_174735,44,84,112,,,,,,,,,,,
20221220_174735,38,89,125,,,,,,,,,,,
20221220_174735,38,79,126,,,,,,,,,,,
20221220_174735,35,87,131,,,,,,,,,,,
20221220_174735,36,79,132,,,,,,,,,,,
20221220_174735,41,85,124,,,,,,,,,,,
20221220_174735,38,74,126,,,,,,,,,,,
20221220_174736,39,85,125,,,,,,,,,,,
20221220_174736,34,84,128,,,,,,,,,,,
