Time,CameraA Max
20221219_111725,1
20221219_111725,0
20221219_111725,1
20221219_111725,0
20221219_111726,1
20221219_111726,0
20221219_111726,0
20221219_111726,3
20221219_111726,3
20221219_111726,0
20221219_111726,1
20221219_111726,0
20221219_111726,1
20221219_111726,1
20221219_111726,2
20221219_111726,1
20221219_111726,1
20221219_111726,1
20221219_111726,1
20221219_111726,1
20221219_111726,1
20221219_111726,0
20221219_111727,1
20221219_111727,1
20221219_111727,1
20221219_111727,1
20221219_111727,1
20221219_111727,2
20221219_111727,2
20221219_111727,0
20221219_111727,1
20221219_111727,2
20221219_111727,0
20221219_111727,2
20221219_111727,1
20221219_111727,2
20221219_111727,1
20221219_111727,1
20221219_111727,1
20221219_111727,2
20221219_111728,0
20221219_111728,0
20221219_111728,1
20221219_111728,2
20221219_111728,0
20221219_111728,1
20221219_111728,1
20221219_111728,1
20221219_111728,1
20221219_111728,0
20221219_111728,1
20221219_111728,0
20221219_111728,2
20221219_111728,2
20221219_111728,2
20221219_111728,1
20221219_111728,1
20221219_111729,0
20221219_111729,3
20221219_111729,2
20221219_111729,1
20221219_111729,0
20221219_111729,0
20221219_111729,1
20221219_111729,2
20221219_111729,2
20221219_111729,0
20221219_111729,1
20221219_111729,1
20221219_111729,2
20221219_111729,1
20221219_111729,2
20221219_111729,1
20221219_111729,1
20221219_111729,1
20221219_111730,1
20221219_111730,0
20221219_111730,0
20221219_111730,3
20221219_111730,2
20221219_111730,2
20221219_111730,2
20221219_111730,2
20221219_111730,3
20221219_111730,2
20221219_111730,0
20221219_111730,2
20221219_111730,3
20221219_111730,1
20221219_111730,1
20221219_111730,1
20221219_111730,2
20221219_111730,1
20221219_111731,2
20221219_111731,2
20221219_111731,0
20221219_111731,3
20221219_111731,0
20221219_111731,0
20221219_111731,1
20221219_111731,1
20221219_111731,1
20221219_111731,0
20221219_111731,2
20221219_111731,2
20221219_111731,0
20221219_111731,1
20221219_111731,2
20221219_111731,0
20221219_111731,0
20221219_111731,3
20221219_111732,1
20221219_111732,1
20221219_111732,2
20221219_111732,0
20221219_111732,3
20221219_111732,1
20221219_111732,0
20221219_111732,2
20221219_111732,0
20221219_111732,0
20221219_111732,0
20221219_111732,0
20221219_111732,2
20221219_111732,1
20221219_111732,1
20221219_111732,1
20221219_111732,2
20221219_111733,2
20221219_111733,1
20221219_111733,2
20221219_111733,1
20221219_111733,2
20221219_111733,0
20221219_111733,1
20221219_111733,1
20221219_111733,2
20221219_111733,1
20221219_111733,0
20221219_111733,0
20221219_111733,0
20221219_111733,0
20221219_111733,1
20221219_111733,1
20221219_111733,1
20221219_111733,2
20221219_111734,2
20221219_111734,3
20221219_111734,2
20221219_111734,1
20221219_111734,1
20221219_111734,0
20221219_111734,1
20221219_111734,0
20221219_111734,1
20221219_111734,1
20221219_111734,1
20221219_111734,0
20221219_111734,1
20221219_111734,2
20221219_111734,1
20221219_111734,1
20221219_111734,0
20221219_111734,2
20221219_111735,2
20221219_111735,1
20221219_111735,2
20221219_111735,2
20221219_111735,0
20221219_111735,1
20221219_111735,2
20221219_111735,0
20221219_111735,0
20221219_111735,1
20221219_111735,2
20221219_111735,1
20221219_111735,1
20221219_111735,3
20221219_111735,1
20221219_111735,1
20221219_111735,1
20221219_111735,2
20221219_111736,1
20221219_111736,1
20221219_111736,0
20221219_111736,2
20221219_111736,1
20221219_111736,0
20221219_111736,2
20221219_111736,2
20221219_111736,1
20221219_111736,1
20221219_111736,1
20221219_111736,2
20221219_111736,2
20221219_111736,2
20221219_111736,1
20221219_111736,0
20221219_111736,1
20221219_111736,1
20221219_111737,0
20221219_111737,3
20221219_111737,1
20221219_111737,2
20221219_111737,0
20221219_111737,1
20221219_111737,2
20221219_111737,3
20221219_111737,0
20221219_111737,2
20221219_111737,2
20221219_111737,0
20221219_111737,0
20221219_111737,3
20221219_111737,3
20221219_111737,1
20221219_111737,2
20221219_111738,1
20221219_111738,1
20221219_111738,2
20221219_111738,2
20221219_111738,1
20221219_111738,0
20221219_111738,2
20221219_111738,0
20221219_111738,1
20221219_111738,1
20221219_111738,2
20221219_111738,0
20221219_111738,1
20221219_111738,1
20221219_111738,1
20221219_111738,0
20221219_111738,2
20221219_111738,1
20221219_111739,3
20221219_111739,1
20221219_111739,0
20221219_111739,2
20221219_111739,1
20221219_111739,1
20221219_111739,0
20221219_111739,1
20221219_111739,1
20221219_111739,1
20221219_111739,3
20221219_111739,2
20221219_111739,1
20221219_111739,1
20221219_111739,1
20221219_111739,1
20221219_111739,2
20221219_111739,1
20221219_111740,2
20221219_111740,2
20221219_111740,2
20221219_111740,2
20221219_111740,0
20221219_111740,2
20221219_111740,1
20221219_111740,1
20221219_111740,2
20221219_111740,1
20221219_111740,1
20221219_111740,0
