Time,CameraA Max
20221219_130927,1153
20221219_130927,1121
20221219_130927,1153
20221219_130927,1136
20221219_130927,1125
20221219_130927,1106
20221219_130927,1156
20221219_130927,1163
20221219_130927,1130
20221219_130927,1115
20221219_130927,1141
20221219_130927,1145
20221219_130927,1129
20221219_130927,1139
20221219_130927,1149
20221219_130928,1164
20221219_130928,1142
20221219_130928,1141
20221219_130928,1139
20221219_130928,1129
20221219_130928,1148
20221219_130928,1150
20221219_130928,1145
20221219_130928,1124
20221219_130928,1152
20221219_130928,1116
20221219_130928,1131
20221219_130928,1120
20221219_130928,1129
20221219_130928,1164
20221219_130928,1152
20221219_130928,1122
20221219_130928,1157
20221219_130929,1142
20221219_130929,1115
20221219_130929,1165
20221219_130929,1128
20221219_130929,1145
20221219_130929,1155
20221219_130929,1147
20221219_130929,1122
20221219_130929,1134
20221219_130929,1141
20221219_130929,1148
20221219_130929,1144
20221219_130929,1160
20221219_130929,1153
20221219_130929,1136
20221219_130929,1141
20221219_130929,1132
20221219_130929,1148
20221219_130930,1147
20221219_130930,1120
20221219_130930,1130
20221219_130930,1172
20221219_130930,1116
20221219_130930,1133
20221219_130930,1130
20221219_130930,1121
20221219_130930,1103
20221219_130930,1112
20221219_130930,1132
20221219_130930,1154
20221219_130930,1126
20221219_130930,1114
20221219_130930,1153
20221219_130930,1132
20221219_130930,1127
20221219_130930,1151
20221219_130931,1131
20221219_130931,1146
20221219_130931,1139
20221219_130931,1146
20221219_130931,1131
20221219_130931,1159
20221219_130931,1159
20221219_130931,1134
20221219_130931,1107
20221219_130931,1131
20221219_130931,1130
20221219_130931,1144
20221219_130931,1142
20221219_130931,1134
20221219_130931,1142
20221219_130931,1123
20221219_130931,1149
20221219_130931,1165
20221219_130932,1123
20221219_130932,1123
20221219_130932,1132
20221219_130932,1105
20221219_130932,1168
20221219_130932,1147
20221219_130932,1140
20221219_130932,1122
20221219_130932,1099
20221219_130932,1115
20221219_130932,1164
20221219_130932,1132
20221219_130932,1141
20221219_130932,1139
20221219_130932,1155
20221219_130932,1123
20221219_130932,1135
20221219_130933,1163
20221219_130933,1142
20221219_130933,1145
20221219_130933,1122
20221219_130933,1143
20221219_130933,1185
20221219_130933,1122
20221219_130933,1141
20221219_130933,1132
20221219_130933,1141
20221219_130933,1146
20221219_130933,1168
20221219_130933,1109
20221219_130933,1150
20221219_130933,1133
20221219_130933,1136
20221219_130933,1136
20221219_130933,1155
20221219_130934,1187
20221219_130934,1143
20221219_130934,1116
20221219_130934,1148
20221219_130934,1128
20221219_130934,1127
20221219_130934,1121
20221219_130934,1157
20221219_130934,1139
20221219_130934,1170
20221219_130934,1134
20221219_130934,1122
20221219_130934,1133
20221219_130934,1153
20221219_130934,1130
20221219_130934,1149
20221219_130934,1156
20221219_130934,1156
20221219_130935,1125
20221219_130935,1146
20221219_130935,1143
20221219_130935,1121
20221219_130935,1121
20221219_130935,1143
20221219_130935,1141
20221219_130935,1121
20221219_130935,1116
20221219_130935,1145
20221219_130935,1138
20221219_130935,1139
20221219_130935,1135
20221219_130935,1147
20221219_130935,1126
20221219_130935,1152
20221219_130935,1131
20221219_130935,1139
20221219_130936,1134
20221219_130936,1177
20221219_130936,1131
20221219_130936,1164
20221219_130936,1174
20221219_130936,1134
20221219_130936,1171
20221219_130936,1139
20221219_130936,1143
20221219_130936,1159
20221219_130936,1136
