Time,CameraA Max
20221219_131219,3405
20221219_131219,3350
20221219_131219,3306
20221219_131219,3387
20221219_131219,3365
20221219_131220,3396
20221219_131220,3366
20221219_131220,3377
20221219_131220,3380
20221219_131220,3378
20221219_131220,3447
20221219_131220,3405
20221219_131220,3406
20221219_131220,3362
20221219_131220,3406
20221219_131220,3422
20221219_131220,3416
20221219_131220,3354
20221219_131220,3362
20221219_131220,3361
20221219_131220,3425
20221219_131220,3386
20221219_131220,3418
20221219_131221,3369
20221219_131221,3403
20221219_131221,3318
20221219_131221,3390
20221219_131221,3363
20221219_131221,3330
20221219_131221,3378
20221219_131221,3380
20221219_131221,3335
20221219_131221,3428
20221219_131221,3368
20221219_131221,3399
20221219_131221,3317
20221219_131221,3385
20221219_131221,3379
20221219_131221,3372
20221219_131221,3383
20221219_131222,3392
20221219_131222,3412
20221219_131222,3430
20221219_131222,3398
20221219_131222,3443
20221219_131222,3356
20221219_131222,3389
20221219_131222,3418
20221219_131222,3309
20221219_131222,3407
20221219_131222,3347
20221219_131222,3384
20221219_131222,3375
20221219_131222,3406
20221219_131222,3385
20221219_131222,3408
20221219_131222,3358
20221219_131222,3391
20221219_131223,3377
20221219_131223,3411
20221219_131223,3398
20221219_131223,3374
20221219_131223,3395
20221219_131223,3354
20221219_131223,3371
20221219_131223,3372
20221219_131223,3369
20221219_131223,3389
20221219_131223,3371
20221219_131223,3398
20221219_131223,3351
20221219_131223,3401
20221219_131223,3398
20221219_131223,3324
20221219_131223,3355
20221219_131223,3367
20221219_131224,3325
20221219_131224,3325
20221219_131224,3384
20221219_131224,3326
20221219_131224,3448
20221219_131224,3383
20221219_131224,3363
20221219_131224,3395
20221219_131224,3420
20221219_131224,3367
20221219_131224,3354
20221219_131224,3376
20221219_131224,3379
20221219_131224,3351
20221219_131224,3334
20221219_131224,3372
20221219_131224,3366
20221219_131224,3422
20221219_131225,3382
20221219_131225,3403
20221219_131225,3422
20221219_131225,3367
20221219_131225,3396
20221219_131225,3359
20221219_131225,3353
20221219_131225,3368
20221219_131225,3339
20221219_131225,3335
20221219_131225,3397
20221219_131225,3371
20221219_131225,3431
20221219_131225,3429
20221219_131225,3411
20221219_131225,3387
20221219_131225,3412
20221219_131226,3339
20221219_131226,3426
20221219_131226,3382
20221219_131226,3422
20221219_131226,3356
20221219_131226,3345
20221219_131226,3366
20221219_131226,3376
20221219_131226,3447
20221219_131226,3356
20221219_131226,3358
20221219_131226,3385
20221219_131226,3346
20221219_131226,3370
20221219_131226,3391
20221219_131226,3330
20221219_131226,3356
20221219_131226,3391
20221219_131227,3435
20221219_131227,3418
20221219_131227,3363
20221219_131227,3363
20221219_131227,3408
20221219_131227,3386
20221219_131227,3377
20221219_131227,3341
20221219_131227,3356
20221219_131227,3342
20221219_131227,3378
20221219_131227,3340
20221219_131227,3349
20221219_131227,3364
20221219_131227,3349
20221219_131227,3457
20221219_131227,3396
20221219_131227,3366
20221219_131228,3362
20221219_131228,3395
20221219_131228,3396
20221219_131228,3370
20221219_131228,3408
20221219_131228,3403
20221219_131228,3380
20221219_131228,3360
20221219_131228,3353
20221219_131228,3380
20221219_131228,3380
20221219_131228,3402
20221219_131228,3364
20221219_131228,3368
20221219_131228,3389
20221219_131228,3349
20221219_131228,3356
20221219_131228,3335
20221219_131229,3428
20221219_131229,3375
20221219_131229,3404
20221219_131229,3306
20221219_131229,3415
20221219_131229,3416
20221219_131229,3362
20221219_131229,3370
20221219_131229,3363
20221219_131229,3354
20221219_131229,3432
20221219_131229,3368
20221219_131229,3418
20221219_131229,3333
20221219_131229,3379
