Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
,,,428,545,,1222,,,,,,,,
,,,432,,,1192,,,,,,,,
,,,415,,,1207,,,,,,,,
,,,408,,,1173,,,,,,,,
,,,424,,,1241,,,,,,,,
,,,433,,,1215,,,,,,,,
,,,423,,,1237,,,,,,,,
,,,416,,,1238,,,,,,,,
,,,425,,,1220,,,,,,,,
,,,425,,,1194,,,,,,,,
,,,431,,,,,,,,,,,
