Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,
20221220_181514,543,1128,,2239,3471,,,,,,,
20221220_181514,563,1098,,2246,3426,,,,,,,
20221220_181514,558,1154,,2294,3415,,,,,,,
20221220_181514,570,1157,,2294,3389,,,,,,,
20221220_181514,540,1139,,2276,3386,,,,,,,
20221220_181514,562,1191,,2297,3365,,,,,,,
20221220_181514,545,1223,,2317,3371,,,,,,,
20221220_181514,572,1162,,2266,3365,,,,,,,
20221220_181515,562,1192,,2302,3384,,,,,,,
20221220_181515,574,1165,,2282,3420,,,,,,,
20221220_181515,563,1179,,2298,3368,,,,,,,
20221220_181515,576,1156,,2295,3329,,,,,,,
20221220_181515,584,1165,,2307,3314,,,,,,,
20221220_181515,571,1140,,2266,3359,,,,,,,
20221220_181515,559,1180,,2315,3458,,,,,,,
20221220_181515,564,1136,,2319,3506,,,,,,,
20221220_181515,566,1131,,2313,3476,,,,,,,
20221220_181515,555,1126,,2334,3469,,,,,,,
20221220_181515,543,1152,,2351,3461,,,,,,,
20221220_181515,578,1123,,,,,,,,,,
20221220_181515,574,1160,,,,,,,,,,
20221220_181515,547,1126,,,,,,,,,,
20221220_181515,551,1143,,,,,,,,,,
20221220_181515,538,1167,,,,,,,,,,
20221220_181515,547,1142,,,,,,,,,,
20221220_181516,561,1141,,,,,,,,,,
20221220_181516,554,1153,,,,,,,,,,
20221220_181516,569,1138,,,,,,,,,,
20221220_181516,596,1172,,,,,,,,,,
20221220_181516,556,1133,,,,,,,,,,
20221220_181516,578,1156,,,,,,,,,,
20221220_181516,590,1132,,,,,,,,,,
20221220_181516,550,1143,,,,,,,,,,
20221220_181516,531,1157,,,,,,,,,,
20221220_181516,563,1126,,,,,,,,,,
20221220_181516,572,1168,,,,,,,,,,
20221220_181516,541,1139,,,,,,,,,,
20221220_181516,536,1148,,,,,,,,,,
20221220_181516,555,1113,,,,,,,,,,
20221220_181516,550,1119,,,,,,,,,,
20221220_181516,554,1129,,,,,,,,,,
20221220_181516,551,1143,,,,,,,,,,
20221220_181516,562,1121,,,,,,,,,,
20221220_181517,557,1147,,,,,,,,,,
20221220_181517,555,1171,,,,,,,,,,
20221220_181517,592,1153,,,,,,,,,,
20221220_181517,567,1163,,,,,,,,,,
20221220_181517,574,1103,,,,,,,,,,
20221220_181517,564,1122,,,,,,,,,,
20221220_181517,575,1145,,,,,,,,,,
20221220_181517,590,1128,,,,,,,,,,
20221220_181517,559,1124,,,,,,,,,,
20221220_181517,595,1134,,,,,,,,,,
20221220_181517,571,,,,,,,,,,,
20221220_181517,560,,,,,,,,,,,
20221220_181517,562,,,,,,,,,,,
20221220_181517,565,,,,,,,,,,,
20221220_181517,553,,,,,,,,,,,
20221220_181517,587,,,,,,,,,,,
20221220_181517,590,,,,,,,,,,,
20221220_181517,551,,,,,,,,,,,
20221220_181518,551,,,,,,,,,,,
20221220_181518,582,,,,,,,,,,,
20221220_181518,564,,,,,,,,,,,
20221220_181518,586,,,,,,,,,,,
20221220_181518,572,,,,,,,,,,,
20221220_181518,600,,,,,,,,,,,
20221220_181518,561,,,,,,,,,,,
20221220_181518,564,,,,,,,,,,,
20221220_181518,569,,,,,,,,,,,
20221220_181518,581,,,,,,,,,,,
20221220_181518,581,,,,,,,,,,,
20221220_181518,576,,,,,,,,,,,
20221220_181518,551,,,,,,,,,,,
20221220_181518,572,,,,,,,,,,,
20221220_181518,574,,,,,,,,,,,
20221220_181518,555,,,,,,,,,,,
20221220_181518,574,,,,,,,,,,,
20221220_181518,613,,,,,,,,,,,
20221220_181519,631,,,,,,,,,,,
20221220_181519,624,,,,,,,,,,,
20221220_181519,603,,,,,,,,,,,
20221220_181519,586,,,,,,,,,,,
