Time,CameraA Max
20221219_111817,4
20221219_111817,3
20221219_111817,2
20221219_111817,5
20221219_111817,3
20221219_111817,7
20221219_111817,5
20221219_111817,4
20221219_111817,6
20221219_111817,5
20221219_111818,5
20221219_111818,8
20221219_111818,4
20221219_111818,5
20221219_111818,4
20221219_111818,3
20221219_111818,5
20221219_111818,5
20221219_111818,6
20221219_111818,3
20221219_111818,3
20221219_111818,5
20221219_111818,4
20221219_111818,3
20221219_111818,3
20221219_111818,5
20221219_111818,5
20221219_111819,4
20221219_111819,2
20221219_111819,4
20221219_111819,5
20221219_111819,5
20221219_111819,5
20221219_111819,5
20221219_111819,6
20221219_111819,3
20221219_111819,3
20221219_111819,5
20221219_111819,5
20221219_111819,5
20221219_111819,7
20221219_111819,6
20221219_111819,4
20221219_111819,4
20221219_111819,2
20221219_111820,3
20221219_111820,6
20221219_111820,5
20221219_111820,4
20221219_111820,4
20221219_111820,9
20221219_111820,5
20221219_111820,7
20221219_111820,6
20221219_111820,7
20221219_111820,5
20221219_111820,5
20221219_111820,6
20221219_111820,5
20221219_111820,4
20221219_111820,5
20221219_111820,4
20221219_111820,4
20221219_111821,5
20221219_111821,6
20221219_111821,6
20221219_111821,6
20221219_111821,3
20221219_111821,2
20221219_111821,3
20221219_111821,5
20221219_111821,4
20221219_111821,4
20221219_111821,4
20221219_111821,5
20221219_111821,3
20221219_111821,4
20221219_111821,5
20221219_111821,6
20221219_111821,9
20221219_111821,5
20221219_111822,4
20221219_111822,2
20221219_111822,7
20221219_111822,2
20221219_111822,5
20221219_111822,3
20221219_111822,6
20221219_111822,6
20221219_111822,4
20221219_111822,3
20221219_111822,3
20221219_111822,7
20221219_111822,2
20221219_111822,4
20221219_111822,5
20221219_111822,2
20221219_111822,5
20221219_111823,4
20221219_111823,5
20221219_111823,5
20221219_111823,6
20221219_111823,4
20221219_111823,4
20221219_111823,4
20221219_111823,4
20221219_111823,3
20221219_111823,5
20221219_111823,4
20221219_111823,5
20221219_111823,5
20221219_111823,4
20221219_111823,5
20221219_111823,6
20221219_111823,2
20221219_111823,5
20221219_111824,3
20221219_111824,6
20221219_111824,5
20221219_111824,5
20221219_111824,4
20221219_111824,4
20221219_111824,7
20221219_111824,4
20221219_111824,6
20221219_111824,6
20221219_111824,5
20221219_111824,4
20221219_111824,4
20221219_111824,3
20221219_111824,5
20221219_111824,4
20221219_111824,3
20221219_111824,5
20221219_111825,6
20221219_111825,4
20221219_111825,6
20221219_111825,6
20221219_111825,5
20221219_111825,6
20221219_111825,6
20221219_111825,5
20221219_111825,3
20221219_111825,4
20221219_111825,5
20221219_111825,4
20221219_111825,3
20221219_111825,6
20221219_111825,4
20221219_111825,4
20221219_111825,3
20221219_111825,6
20221219_111826,5
20221219_111826,2
20221219_111826,3
20221219_111826,3
20221219_111826,3
20221219_111826,3
20221219_111826,5
20221219_111826,6
20221219_111826,4
20221219_111826,4
20221219_111826,5
20221219_111826,4
20221219_111826,6
20221219_111826,3
20221219_111826,7
20221219_111826,5
20221219_111826,4
20221219_111827,2
20221219_111827,1
20221219_111827,2
20221219_111827,7
20221219_111827,3
20221219_111827,4
20221219_111827,5
20221219_111827,4
20221219_111827,3
20221219_111827,4
20221219_111827,5
20221219_111827,5
20221219_111827,5
20221219_111827,3
20221219_111827,3
20221219_111827,6
20221219_111827,6
20221219_111827,4
20221219_111828,3
20221219_111828,4
20221219_111828,5
20221219_111828,6
20221219_111828,7
20221219_111828,5
20221219_111828,3
20221219_111828,4
20221219_111828,6
20221219_111828,4
20221219_111828,3
20221219_111828,6
20221219_111828,7
20221219_111828,5
20221219_111828,5
20221219_111828,6
20221219_111828,5
20221219_111828,5
20221219_111829,4
20221219_111829,4
20221219_111829,6
20221219_111829,4
20221219_111829,6
20221219_111829,4
20221219_111829,6
20221219_111829,4
20221219_111829,7
20221219_111829,4
20221219_111829,3
20221219_111829,3
20221219_111829,6
20221219_111829,4
20221219_111829,5
20221219_111829,3
20221219_111829,4
20221219_111829,3
20221219_111830,4
20221219_111830,3
20221219_111830,4
20221219_111830,7
20221219_111830,4
20221219_111830,3
20221219_111830,4
20221219_111830,5
20221219_111830,2
20221219_111830,7
