Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
20221220_183728,38,83,122,146,242,331,,,,,,,,
20221220_183728,44,76,112,155,233,329,,,39.08888889,75.7962963,114.0413223,156.4018692,244.25,342.1682243
20221220_183728,44,79,109,149,247,359,,,3.42829897,4.940315286,5.473263338,6.463044164,9.41897197,10.89875013
20221220_183728,41,84,116,156,239,348,,,0.087705204,0.065178848,0.047993685,0.041323318,0.038562833,0.031852023
20221220_183728,42,79,126,157,228,333,,,,,,,,
20221220_183728,37,79,119,152,249,343,,,,,,,,
20221220_183728,34,80,122,151,249,351,,,,,,,,
20221220_183728,41,72,117,160,248,336,,,,,,,,
20221220_183728,46,73,107,152,241,339,,,,,,,,
20221220_183729,35,86,114,150,262,347,,,,,,,,
20221220_183729,39,82,100,144,251,352,,,,,,,,
20221220_183729,34,77,104,147,242,337,,,,,,,,
20221220_183729,38,82,111,157,231,332,,,,,,,,
20221220_183729,45,77,117,157,236,359,,,,,,,,
20221220_183729,37,74,122,158,236,332,,,,,,,,
20221220_183729,39,70,110,160,233,316,,,,,,,,
20221220_183729,37,70,115,157,239,322,,,,,,,,
20221220_183729,34,74,110,151,238,343,,,,,,,,
20221220_183729,43,72,112,151,248,356,,,,,,,,
20221220_183729,42,74,110,173,235,341,,,,,,,,
20221220_183729,41,84,118,158,255,343,,,,,,,,
20221220_183729,36,71,114,158,244,349,,,,,,,,
20221220_183729,43,76,112,156,247,326,,,,,,,,
20221220_183729,38,78,120,159,253,337,,,,,,,,
20221220_183729,41,76,120,170,252,336,,,,,,,,
20221220_183729,38,74,113,156,240,331,,,,,,,,
20221220_183729,39,84,108,153,254,351,,,,,,,,
20221220_183730,47,84,110,157,254,339,,,,,,,,
20221220_183730,43,71,105,155,236,323,,,,,,,,
20221220_183730,41,80,119,149,255,323,,,,,,,,
20221220_183730,37,70,114,147,230,344,,,,,,,,
20221220_183730,36,85,108,163,239,341,,,,,,,,
20221220_183730,36,77,114,158,246,327,,,,,,,,
20221220_183730,36,80,107,160,246,334,,,,,,,,
20221220_183730,34,70,98,147,242,332,,,,,,,,
20221220_183730,41,76,106,145,233,333,,,,,,,,
20221220_183730,38,85,109,164,249,363,,,,,,,,
20221220_183730,39,80,110,157,257,338,,,,,,,,
20221220_183730,35,79,115,165,233,329,,,,,,,,
20221220_183730,46,84,113,153,231,347,,,,,,,,
20221220_183730,44,76,117,156,249,338,,,,,,,,
20221220_183730,38,74,117,153,235,351,,,,,,,,
20221220_183730,35,73,115,150,249,335,,,,,,,,
20221220_183730,37,73,110,158,252,349,,,,,,,,
20221220_183730,33,74,117,161,240,350,,,,,,,,
20221220_183731,39,76,111,168,250,342,,,,,,,,
20221220_183731,37,77,116,145,228,341,,,,,,,,
20221220_183731,41,74,113,154,250,330,,,,,,,,
20221220_183731,44,76,119,147,248,328,,,,,,,,
20221220_183731,44,74,111,151,245,343,,,,,,,,
20221220_183731,42,70,116,149,231,349,,,,,,,,
20221220_183731,35,74,111,160,246,361,,,,,,,,
20221220_183731,38,71,115,169,244,336,,,,,,,,
20221220_183731,38,77,114,164,255,343,,,,,,,,
20221220_183731,45,70,123,161,241,341,,,,,,,,
20221220_183731,39,86,113,156,249,334,,,,,,,,
20221220_183731,39,67,112,156,231,353,,,,,,,,
20221220_183731,41,71,114,154,238,335,,,,,,,,
20221220_183731,45,78,115,157,265,341,,,,,,,,
20221220_183731,39,75,115,149,244,349,,,,,,,,
20221220_183731,41,68,112,159,263,330,,,,,,,,
20221220_183731,35,78,122,155,229,344,,,,,,,,
20221220_183732,44,78,114,159,231,357,,,,,,,,
20221220_183732,39,77,116,155,242,340,,,,,,,,
20221220_183732,36,83,120,165,263,319,,,,,,,,
20221220_183732,41,72,114,164,263,331,,,,,,,,
20221220_183732,42,76,102,154,241,349,,,,,,,,
20221220_183732,43,72,114,138,222,343,,,,,,,,
20221220_183732,41,83,120,145,248,348,,,,,,,,
20221220_183732,38,74,113,154,249,336,,,,,,,,
20221220_183732,39,76,114,158,248,328,,,,,,,,
20221220_183732,38,77,113,157,251,346,,,,,,,,
20221220_183732,34,77,105,155,240,349,,,,,,,,
20221220_183732,39,73,114,166,244,341,,,,,,,,
20221220_183732,41,66,115,161,250,354,,,,,,,,
20221220_183732,37,72,116,166,246,366,,,,,,,,
20221220_183732,41,75,120,153,246,341,,,,,,,,
20221220_183732,41,79,120,158,263,359,,,,,,,,
20221220_183732,41,76,116,153,236,347,,,,,,,,
20221220_183732,39,71,105,155,248,354,,,,,,,,
20221220_183733,38,71,116,165,258,337,,,,,,,,
20221220_183733,38,69,112,161,253,366,,,,,,,,
20221220_183733,37,77,109,151,235,344,,,,,,,,
20221220_183733,42,76,112,163,253,344,,,,,,,,
20221220_183733,41,69,114,153,234,350,,,,,,,,
20221220_183733,44,83,117,159,237,330,,,,,,,,
20221220_183733,39,75,122,161,245,339,,,,,,,,
20221220_183733,39,82,112,154,237,348,,,,,,,,
20221220_183733,42,79,120,157,252,349,,,,,,,,
20221220_183733,41,79,118,158,237,369,,,,,,,,
20221220_183733,39,78,110,165,236,342,,,,,,,,
20221220_183733,42,75,117,154,258,351,,,,,,,,
20221220_183733,38,70,115,151,,344,,,,,,,,
20221220_183733,33,76,117,171,,339,,,,,,,,
20221220_183733,31,76,124,161,,354,,,,,,,,
20221220_183733,44,73,117,150,,334,,,,,,,,
20221220_183733,35,83,114,151,,333,,,,,,,,
20221220_183733,39,78,115,147,,359,,,,,,,,
20221220_183734,42,69,120,158,,344,,,,,,,,
20221220_183734,42,74,116,158,,351,,,,,,,,
20221220_183734,36,79,116,158,,335,,,,,,,,
20221220_183734,44,69,110,149,,344,,,,,,,,
20221220_183734,32,79,118,167,,348,,,,,,,,
20221220_183734,44,58,116,161,,360,,,,,,,,
20221220_183734,36,73,129,163,,355,,,,,,,,
20221220_183734,38,69,116,165,,319,,,,,,,,
20221220_183734,46,74,116,163,,341,,,,,,,,
20221220_183734,35,77,123,,,,,,,,,,,
