Time,CameraA Max
20221220_184952,1262
20221220_184952,1266
20221220_184952,1265
20221220_184952,1260
20221220_184952,1314
20221220_184952,1303
20221220_184952,1321
20221220_184952,1297
20221220_184952,1292
20221220_184952,1292
20221220_184952,1336
20221220_184952,1318
20221220_184952,1315
20221220_184952,1289
20221220_184952,1317
20221220_184952,1324
20221220_184952,1339
20221220_184952,1318
20221220_184953,1328
20221220_184953,1309
20221220_184953,1295
20221220_184953,1289
20221220_184953,1338
20221220_184953,1316
20221220_184953,1354
20221220_184953,1313
20221220_184953,1318
20221220_184953,1312
20221220_184953,1325
20221220_184953,1273
20221220_184953,1331
20221220_184953,1326
20221220_184953,1288
20221220_184953,1313
20221220_184953,1290
20221220_184953,1306
20221220_184954,1307
20221220_184954,1312
20221220_184954,1319
20221220_184954,1285
20221220_184954,1278
20221220_184954,1291
20221220_184954,1269
20221220_184954,1326
20221220_184954,1319
20221220_184954,1298
20221220_184954,1293
20221220_184954,1277
20221220_184954,1319
20221220_184954,1294
20221220_184954,1289
20221220_184954,1296
20221220_184954,1303
20221220_184955,1299
20221220_184955,1244
20221220_184955,1313
20221220_184955,1283
20221220_184955,1278
20221220_184955,1291
20221220_184955,1316
20221220_184955,1290
20221220_184955,1286
20221220_184955,1329
20221220_184955,1298
20221220_184955,1322
20221220_184955,1331
20221220_184955,1290
20221220_184955,1312
20221220_184955,1334
20221220_184955,1339
20221220_184955,1293
20221220_184956,1321
20221220_184956,1298
20221220_184956,1270
20221220_184956,1295
20221220_184956,1333
20221220_184956,1324
20221220_184956,1340
20221220_184956,1330
20221220_184956,1290
20221220_184956,1318
20221220_184956,1310
20221220_184956,1297
20221220_184956,1294
20221220_184956,1316
20221220_184956,1340
20221220_184956,1344
20221220_184956,1327
20221220_184956,1293
20221220_184957,1276
20221220_184957,1262
20221220_184957,1296
20221220_184957,1290
20221220_184957,1301
20221220_184957,1283
20221220_184957,1268
20221220_184957,1290
20221220_184957,1265
20221220_184957,1315
20221220_184957,1290
20221220_184957,1285
20221220_184957,1303
20221220_184957,1306
20221220_184957,1293
20221220_184957,1290
20221220_184957,1297
20221220_184957,1299
20221220_184958,1329
20221220_184958,1303
20221220_184958,1294
20221220_184958,1294
20221220_184958,1344
20221220_184958,1307
