Time,CameraA Max
20221219_111356,0
20221219_111356,0
20221219_111356,1
20221219_111356,0
20221219_111356,0
20221219_111356,0
20221219_111357,2
20221219_111357,1
20221219_111357,0
20221219_111357,0
20221219_111357,0
20221219_111357,1
20221219_111357,0
20221219_111357,1
20221219_111357,2
20221219_111357,1
20221219_111357,1
20221219_111357,2
20221219_111357,0
20221219_111357,1
20221219_111357,2
20221219_111357,1
20221219_111357,1
20221219_111357,0
20221219_111358,0
20221219_111358,0
20221219_111358,1
20221219_111358,0
20221219_111358,0
20221219_111358,0
20221219_111358,1
20221219_111358,0
20221219_111358,2
20221219_111358,0
20221219_111358,1
20221219_111358,0
20221219_111358,0
20221219_111358,0
20221219_111358,0
20221219_111358,2
20221219_111358,0
20221219_111358,1
20221219_111359,0
20221219_111359,0
20221219_111359,1
20221219_111359,1
20221219_111359,0
20221219_111359,1
20221219_111359,0
20221219_111359,1
20221219_111359,0
20221219_111359,1
20221219_111359,0
20221219_111359,0
20221219_111359,0
20221219_111359,0
20221219_111359,0
20221219_111359,0
20221219_111359,0
20221219_111359,1
20221219_111400,0
20221219_111400,1
20221219_111400,0
20221219_111400,2
20221219_111400,1
20221219_111400,1
20221219_111400,0
20221219_111400,1
20221219_111400,2
20221219_111400,2
20221219_111400,2
20221219_111400,1
20221219_111400,0
20221219_111400,1
20221219_111400,3
20221219_111400,1
20221219_111400,0
20221219_111400,1
20221219_111401,0
20221219_111401,1
20221219_111401,0
20221219_111401,0
20221219_111401,1
20221219_111401,0
20221219_111401,2
20221219_111401,0
20221219_111401,1
20221219_111401,1
20221219_111401,1
20221219_111401,0
20221219_111401,0
20221219_111401,0
20221219_111401,2
20221219_111401,0
20221219_111401,0
20221219_111402,0
20221219_111402,1
20221219_111402,0
20221219_111402,0
20221219_111402,2
20221219_111402,0
20221219_111402,2
20221219_111402,1
20221219_111402,0
20221219_111402,0
20221219_111402,0
20221219_111402,0
20221219_111402,2
20221219_111402,1
20221219_111402,1
20221219_111402,2
20221219_111402,1
20221219_111402,1
20221219_111403,1
20221219_111403,1
20221219_111403,1
20221219_111403,0
20221219_111403,0
20221219_111403,0
20221219_111403,1
20221219_111403,1
20221219_111403,0
20221219_111403,0
20221219_111403,2
20221219_111403,0
20221219_111403,1
20221219_111403,0
20221219_111403,1
20221219_111403,0
20221219_111403,0
20221219_111403,0
20221219_111404,0
20221219_111404,0
20221219_111404,1
20221219_111404,1
20221219_111404,1
20221219_111404,1
20221219_111404,0
20221219_111404,0
20221219_111404,1
20221219_111404,1
20221219_111404,0
20221219_111404,1
20221219_111404,1
20221219_111404,1
20221219_111404,1
20221219_111404,0
20221219_111404,2
20221219_111404,1
20221219_111405,1
20221219_111405,1
20221219_111405,0
20221219_111405,1
20221219_111405,1
20221219_111405,0
20221219_111405,0
20221219_111405,0
20221219_111405,0
20221219_111405,1
20221219_111405,0
20221219_111405,0
20221219_111405,2
20221219_111405,1
20221219_111405,1
20221219_111405,1
20221219_111405,0
20221219_111406,0
20221219_111406,0
20221219_111406,2
20221219_111406,1
20221219_111406,0
20221219_111406,0
20221219_111406,1
20221219_111406,2
20221219_111406,0
20221219_111406,1
20221219_111406,0
20221219_111406,1
20221219_111406,0
20221219_111406,1
20221219_111406,1
20221219_111406,1
20221219_111406,2
20221219_111406,0
20221219_111407,1
20221219_111407,1
20221219_111407,0
20221219_111407,0
20221219_111407,0
20221219_111407,0
20221219_111407,1
20221219_111407,0
20221219_111407,1
20221219_111407,0
20221219_111407,0
20221219_111407,0
20221219_111407,1
20221219_111407,1
20221219_111407,1
20221219_111407,0
20221219_111407,0
20221219_111407,1
20221219_111408,0
20221219_111408,0
20221219_111408,0
20221219_111408,0
20221219_111408,0
20221219_111408,0
20221219_111408,0
20221219_111408,2
20221219_111408,0
20221219_111408,0
20221219_111408,1
20221219_111408,0
20221219_111408,1
20221219_111408,1
20221219_111408,0
20221219_111408,1
20221219_111408,1
20221219_111408,3
20221219_111409,2
20221219_111409,0
20221219_111409,1
20221219_111409,1
20221219_111409,1
20221219_111409,2
20221219_111409,1
20221219_111409,0
20221219_111409,0
20221219_111409,0
20221219_111409,0
20221219_111409,1
20221219_111409,1
20221219_111409,1
20221219_111409,0
20221219_111409,0
20221219_111409,1
20221219_111410,0
20221219_111410,0
20221219_111410,0
20221219_111410,0
20221219_111410,1
20221219_111410,1
20221219_111410,1
20221219_111410,0
20221219_111410,1
20221219_111410,0
20221219_111410,0
20221219_111410,0
20221219_111410,0
20221219_111410,0
20221219_111410,1
20221219_111410,0
20221219_111410,0
20221219_111410,0
20221219_111411,0
20221219_111411,0
20221219_111411,0
20221219_111411,0
20221219_111411,1
20221219_111411,1
20221219_111411,0
20221219_111411,0
20221219_111411,0
20221219_111411,0
20221219_111411,2
20221219_111411,0
20221219_111411,1
20221219_111411,0
20221219_111411,0
20221219_111411,0
20221219_111411,1
20221219_111411,1
20221219_111412,1
20221219_111412,2
20221219_111412,0
20221219_111412,0
20221219_111412,2
20221219_111412,1
20221219_111412,0
20221219_111412,1
20221219_111412,0
20221219_111412,1
20221219_111412,0
20221219_111412,0
20221219_111412,1
20221219_111412,0
20221219_111412,1
20221219_111412,1
20221219_111412,1
20221219_111412,2
20221219_111413,0
20221219_111413,0
20221219_111413,0
20221219_111413,0
