Time,CameraA Max
20221216_170429,7
20221216_170429,0
20221216_170429,13
20221216_170429,3
20221216_170429,5
20221216_170430,6
20221216_170430,2
20221216_170430,16
20221216_170430,14
20221216_170430,10
20221216_170430,0
20221216_170430,0
20221216_170430,0
20221216_170430,0
20221216_170430,5
20221216_170430,0
20221216_170430,0
20221216_170430,12
20221216_170430,6
20221216_170430,2
20221216_170430,0
20221216_170430,3
20221216_170430,1
20221216_170431,0
20221216_170431,4
20221216_170431,10
20221216_170431,17
20221216_170431,7
20221216_170431,15
20221216_170431,1
20221216_170431,6
20221216_170431,7
20221216_170431,2
20221216_170431,3
20221216_170431,0
20221216_170431,15
20221216_170431,15
20221216_170431,15
20221216_170431,14
20221216_170431,14
20221216_170432,8
20221216_170432,8
20221216_170432,13
20221216_170432,9
20221216_170432,13
20221216_170432,12
20221216_170432,12
20221216_170432,9
20221216_170432,8
20221216_170432,5
20221216_170432,0
20221216_170432,0
20221216_170432,1
20221216_170432,2
20221216_170432,3
20221216_170432,9
20221216_170432,11
20221216_170432,7
20221216_170433,8
20221216_170433,16
20221216_170433,0
20221216_170433,0
20221216_170433,14
20221216_170433,0
20221216_170433,6
20221216_170433,7
20221216_170433,0
20221216_170433,2
20221216_170433,5
20221216_170433,10
20221216_170433,13
20221216_170433,11
20221216_170433,4
20221216_170433,3
20221216_170433,10
20221216_170433,11
20221216_170434,16
20221216_170434,3
20221216_170434,0
20221216_170434,10
20221216_170434,1
20221216_170434,7
20221216_170434,5
20221216_170434,0
20221216_170434,0
20221216_170434,4
20221216_170434,12
20221216_170434,1
20221216_170434,12
20221216_170434,0
20221216_170434,11
20221216_170434,18
20221216_170434,3
20221216_170434,1
20221216_170435,1
20221216_170435,14
20221216_170435,0
20221216_170435,2
20221216_170435,1
20221216_170435,10
20221216_170435,10
20221216_170435,14
20221216_170435,10
20221216_170435,0
20221216_170435,0
20221216_170435,5
20221216_170435,11
20221216_170435,17
20221216_170435,2
20221216_170435,0
20221216_170435,0
20221216_170436,3
20221216_170436,0
20221216_170436,4
20221216_170436,7
20221216_170436,11
20221216_170436,16
20221216_170436,4
20221216_170436,4
20221216_170436,7
20221216_170436,4
20221216_170436,0
20221216_170436,0
20221216_170436,0
20221216_170436,0
20221216_170436,0
20221216_170436,9
20221216_170436,0
20221216_170436,0
20221216_170437,0
20221216_170437,0
20221216_170437,12
20221216_170437,21
20221216_170437,19
20221216_170437,34
20221216_170437,77
20221216_170437,67
20221216_170437,65
20221216_170437,54
20221216_170437,43
20221216_170437,11
20221216_170438,4
20221216_170438,7
20221216_170438,0
20221216_170438,2
20221216_170438,7
20221216_170438,0
20221216_170438,0
20221216_170438,0
20221216_170438,9
20221216_170438,4
20221216_170438,7
20221216_170438,8
20221216_170438,2
20221216_170438,0
20221216_170438,10
20221216_170438,5
20221216_170438,9
20221216_170438,1
20221216_170439,5
20221216_170439,0
20221216_170439,0
20221216_170439,0
20221216_170439,2
20221216_170439,6
20221216_170439,1
20221216_170439,0
20221216_170439,2
20221216_170439,2
20221216_170439,0
20221216_170439,0
20221216_170439,0
20221216_170439,3
20221216_170439,24
20221216_170439,74
20221216_170439,71
20221216_170439,6
20221216_170440,0
20221216_170440,0
20221216_170440,5
20221216_170440,2
20221216_170440,4
20221216_170440,0
20221216_170440,22
20221216_170440,6
20221216_170440,12
20221216_170440,15
20221216_170440,0
20221216_170440,2
20221216_170440,5
20221216_170440,5
20221216_170440,15
20221216_170440,381
20221216_170440,33
20221216_170441,37
20221216_170441,65
20221216_170441,38
20221216_170441,3
20221216_170441,2
20221216_170441,0
20221216_170441,0
20221216_170441,9
20221216_170441,0
20221216_170441,8
20221216_170441,0
20221216_170441,3
20221216_170441,0
20221216_170441,5
20221216_170441,2
20221216_170441,0
20221216_170441,0
20221216_170441,8
20221216_170442,0
20221216_170442,10
20221216_170442,0
20221216_170442,0
20221216_170442,0
20221216_170442,0
20221216_170442,0
20221216_170442,7
20221216_170442,0
20221216_170442,11
20221216_170442,0
20221216_170442,0
20221216_170442,6
20221216_170442,0
20221216_170442,0
20221216_170442,8
20221216_170442,1
20221216_170442,0
20221216_170443,0
20221216_170443,0
20221216_170443,2
20221216_170443,0
20221216_170443,0
20221216_170443,0
20221216_170443,0
20221216_170443,2
20221216_170443,0
20221216_170443,0
20221216_170443,0
20221216_170443,0
20221216_170443,5
20221216_170443,4
20221216_170443,33
20221216_170444,86
20221216_170444,112
20221216_170444,87
20221216_170444,65
20221216_170444,6
20221216_170444,18
20221216_170444,3
20221216_170444,0
20221216_170444,0
20221216_170444,4
20221216_170444,7
20221216_170444,0
20221216_170444,0
20221216_170444,3
20221216_170444,0
20221216_170444,0
20221216_170444,0
20221216_170445,0
20221216_170445,0
20221216_170445,1
20221216_170445,0
20221216_170445,12
20221216_170445,10
20221216_170445,0
20221216_170445,2
20221216_170445,0
20221216_170445,0
20221216_170445,5
20221216_170445,0
20221216_170445,0
20221216_170445,0
20221216_170445,0
20221216_170445,0
20221216_170445,1
20221216_170445,18
20221216_170446,4
20221216_170446,5
20221216_170446,5
20221216_170446,0
20221216_170446,5
20221216_170446,4
20221216_170446,11
20221216_170446,0
20221216_170446,6
20221216_170446,27
20221216_170446,9
20221216_170446,3
20221216_170446,4
20221216_170446,13
20221216_170446,0
20221216_170446,4
20221216_170446,6
20221216_170446,10
20221216_170447,12
20221216_170447,5
20221216_170447,4
20221216_170447,1
20221216_170447,16
20221216_170447,3
20221216_170447,935
20221216_170447,827
20221216_170447,924
20221216_170447,979
20221216_170448,887
20221216_170448,199
20221216_170448,45
