Time,CameraA Max
20221221_140518,173
20221221_140518,173
20221221_140518,163
20221221_140518,169
20221221_140518,178
20221221_140519,160
20221221_140519,188
20221221_140519,172
20221221_140519,170
20221221_140519,166
20221221_140519,184
20221221_140519,168
20221221_140519,179
20221221_140519,176
20221221_140519,189
20221221_140519,186
20221221_140519,179
20221221_140519,179
20221221_140519,178
20221221_140520,178
20221221_140520,161
20221221_140520,154
20221221_140520,187
20221221_140520,180
20221221_140520,185
20221221_140520,181
20221221_140520,184
20221221_140520,186
20221221_140520,177
20221221_140520,176
20221221_140520,181
20221221_140520,174
20221221_140520,184
20221221_140520,186
20221221_140520,178
20221221_140520,180
