Time,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,CameraA Max,,,,,,,,
20221220_184819,160,316,477,654,966,1262,,,168.8223684,329.4695652,488.5892857,638.4466667,961.3402778,1303.495575
20221220_184819,164,329,510,640,952,1266,,,7.000569488,10.35452417,14.18383395,14.56830091,18.13128625,21.70340818
20221220_184819,161,348,502,638,981,1265,,,0.041467073,0.031427862,0.029030178,0.022818352,0.018860425,0.016650159
20221220_184819,169,332,493,644,983,1260,,,,,,,,
20221220_184819,169,321,500,627,978,1314,,,,,,,,
20221220_184819,170,333,485,618,972,1303,,,,,,,,
20221220_184819,158,330,494,642,948,1321,,,,,,,,
20221220_184819,185,355,497,628,971,1297,,,,,,,,
20221220_184819,169,339,490,653,952,1292,,,,,,,,
20221220_184819,169,316,478,647,959,1292,,,,,,,,
20221220_184819,166,326,482,652,939,1336,,,,,,,,
20221220_184819,172,331,515,653,949,1318,,,,,,,,
20221220_184819,164,334,466,660,966,1315,,,,,,,,
20221220_184819,161,348,511,634,970,1289,,,,,,,,
20221220_184819,170,333,520,634,969,1317,,,,,,,,
20221220_184819,158,326,491,624,965,1324,,,,,,,,
20221220_184820,167,335,486,660,968,1339,,,,,,,,
20221220_184820,159,334,484,642,957,1318,,,,,,,,
20221220_184820,158,328,496,653,969,1328,,,,,,,,
20221220_184820,179,339,504,641,959,1309,,,,,,,,
20221220_184820,169,346,501,631,936,1295,,,,,,,,
20221220_184820,159,336,507,639,965,1289,,,,,,,,
20221220_184820,170,330,501,657,932,1338,,,,,,,,
20221220_184820,176,339,485,668,943,1316,,,,,,,,
20221220_184820,157,346,496,628,963,1354,,,,,,,,
20221220_184820,174,317,469,612,947,1313,,,,,,,,
20221220_184820,160,316,481,630,925,1318,,,,,,,,
20221220_184820,164,318,466,647,965,1312,,,,,,,,
20221220_184820,174,312,486,626,944,1325,,,,,,,,
20221220_184820,170,323,484,645,933,1273,,,,,,,,
20221220_184820,175,316,509,639,943,1331,,,,,,,,
20221220_184820,166,320,466,622,989,1326,,,,,,,,
20221220_184820,164,334,493,646,951,1288,,,,,,,,
20221220_184821,165,329,494,646,941,1313,,,,,,,,
20221220_184821,177,326,498,645,991,1290,,,,,,,,
20221220_184821,166,337,517,644,963,1306,,,,,,,,
20221220_184821,164,335,500,660,999,1307,,,,,,,,
20221220_184821,175,329,498,656,953,1312,,,,,,,,
20221220_184821,166,328,498,658,964,1319,,,,,,,,
20221220_184821,170,314,491,639,988,1285,,,,,,,,
20221220_184821,164,323,472,653,1005,1278,,,,,,,,
20221220_184821,185,318,491,635,968,1291,,,,,,,,
20221220_184821,172,347,478,626,998,1269,,,,,,,,
20221220_184821,164,321,479,610,936,1326,,,,,,,,
20221220_184821,173,344,498,602,978,1319,,,,,,,,
20221220_184821,169,326,486,654,959,1298,,,,,,,,
20221220_184821,163,330,492,640,963,1293,,,,,,,,
20221220_184821,165,329,492,646,956,1277,,,,,,,,
20221220_184821,160,339,494,632,928,1319,,,,,,,,
20221220_184821,165,348,517,624,977,1294,,,,,,,,
20221220_184821,158,330,500,632,967,1289,,,,,,,,
20221220_184822,178,343,488,637,929,1296,,,,,,,,
20221220_184822,174,329,510,656,957,1303,,,,,,,,
20221220_184822,179,331,488,646,959,1299,,,,,,,,
20221220_184822,180,318,504,644,979,1244,,,,,,,,
20221220_184822,165,331,509,646,923,1313,,,,,,,,
20221220_184822,164,334,468,682,941,1283,,,,,,,,
20221220_184822,165,337,509,628,947,1278,,,,,,,,
20221220_184822,173,334,492,665,972,1291,,,,,,,,
20221220_184822,171,332,513,636,1003,1316,,,,,,,,
20221220_184822,175,308,462,659,986,1290,,,,,,,,
20221220_184822,175,336,482,649,963,1286,,,,,,,,
20221220_184822,157,320,514,666,970,1329,,,,,,,,
20221220_184822,168,340,482,625,979,1298,,,,,,,,
20221220_184822,166,329,499,645,1003,1322,,,,,,,,
20221220_184822,172,341,490,647,969,1331,,,,,,,,
20221220_184822,175,331,504,639,930,1290,,,,,,,,
20221220_184822,171,337,477,644,932,1312,,,,,,,,
20221220_184822,171,322,473,640,976,1334,,,,,,,,
20221220_184823,164,305,499,652,970,1339,,,,,,,,
20221220_184823,174,333,478,644,941,1293,,,,,,,,
20221220_184823,179,346,471,646,950,1321,,,,,,,,
20221220_184823,172,326,474,638,959,1298,,,,,,,,
20221220_184823,172,326,480,647,951,1270,,,,,,,,
20221220_184823,164,309,471,637,980,1295,,,,,,,,
20221220_184823,157,311,484,638,976,1333,,,,,,,,
20221220_184823,160,338,482,603,980,1324,,,,,,,,
20221220_184823,172,347,470,630,951,1340,,,,,,,,
20221220_184823,159,320,485,634,943,1330,,,,,,,,
20221220_184823,178,323,501,610,939,1290,,,,,,,,
20221220_184823,176,337,492,636,949,1318,,,,,,,,
20221220_184823,161,340,485,642,937,1310,,,,,,,,
20221220_184823,161,335,461,636,951,1297,,,,,,,,
20221220_184823,174,329,483,626,954,1294,,,,,,,,
20221220_184823,160,330,493,648,967,1316,,,,,,,,
20221220_184823,164,329,471,628,933,1340,,,,,,,,
20221220_184823,174,322,498,630,978,1344,,,,,,,,
20221220_184824,175,348,461,663,926,1327,,,,,,,,
20221220_184824,173,333,474,642,960,1293,,,,,,,,
20221220_184824,171,317,468,625,930,1276,,,,,,,,
20221220_184824,177,326,492,645,941,1262,,,,,,,,
20221220_184824,177,326,466,634,952,1296,,,,,,,,
20221220_184824,183,352,510,637,951,1290,,,,,,,,
20221220_184824,160,331,486,669,963,1301,,,,,,,,
20221220_184824,167,327,493,649,970,1283,,,,,,,,
20221220_184824,176,328,490,623,988,1268,,,,,,,,
20221220_184824,167,324,481,624,957,1290,,,,,,,,
20221220_184824,171,327,483,654,976,1265,,,,,,,,
20221220_184824,163,328,498,615,970,1315,,,,,,,,
20221220_184824,161,335,464,635,974,1290,,,,,,,,
