Time,CameraA Max
20221220_181550,1726
20221220_181550,1694
20221220_181550,1730
20221220_181550,1754
20221220_181550,1700
20221220_181550,1744
20221220_181550,1737
20221220_181550,1756
20221220_181551,1763
20221220_181551,1757
20221220_181551,1733
20221220_181551,1737
20221220_181551,1768
20221220_181551,1739
20221220_181551,1710
20221220_181551,1728
20221220_181551,1742
20221220_181551,1746
20221220_181551,1709
20221220_181551,1748
20221220_181551,1753
20221220_181551,1720
20221220_181551,1739
20221220_181551,1714
20221220_181551,1676
20221220_181552,1745
20221220_181552,1728
20221220_181552,1735
20221220_181552,1691
20221220_181552,1703
20221220_181552,1716
20221220_181552,1732
20221220_181552,1684
20221220_181552,1757
20221220_181552,1738
20221220_181552,1735
20221220_181552,1688
20221220_181552,1717
20221220_181552,1713
20221220_181552,1687
20221220_181552,1722
20221220_181552,1693
20221220_181552,1736
20221220_181553,1717
20221220_181553,1720
20221220_181553,1708
20221220_181553,1731
20221220_181553,1643
20221220_181553,1689
20221220_181553,1691
20221220_181553,1716
20221220_181553,1723
20221220_181553,1692
20221220_181553,1708
20221220_181553,1674
20221220_181553,1714
20221220_181553,1680
20221220_181553,1740
20221220_181553,1714
20221220_181553,1712
20221220_181553,1735
20221220_181554,1673
20221220_181554,1722
20221220_181554,1700
20221220_181554,1715
20221220_181554,1698
20221220_181554,1704
20221220_181554,1709
20221220_181554,1705
20221220_181554,1731
20221220_181554,1721
20221220_181554,1720
20221220_181554,1785
20221220_181554,1732
20221220_181554,1740
20221220_181554,1670
20221220_181554,1711
20221220_181554,1717
20221220_181554,1707
20221220_181555,1688
20221220_181555,1721
20221220_181555,1772
20221220_181555,1678
20221220_181555,1671
20221220_181555,1726
20221220_181555,1744
20221220_181555,1737
20221220_181555,1769
20221220_181555,1759
20221220_181555,1741
20221220_181555,1716
20221220_181555,1683
