Time,CameraA Max
20221221_133114,246
20221221_133114,263
20221221_133114,274
20221221_133114,271
20221221_133114,272
20221221_133114,273
20221221_133114,267
20221221_133114,254
20221221_133115,269
20221221_133115,257
20221221_133115,263
20221221_133115,280
20221221_133115,280
20221221_133115,271
20221221_133115,253
20221221_133115,269
20221221_133115,252
20221221_133115,237
20221221_133115,257
20221221_133115,241
20221221_133115,258
20221221_133115,276
20221221_133115,256
20221221_133115,277
20221221_133115,270
20221221_133115,256
20221221_133116,266
20221221_133116,256
20221221_133116,247
20221221_133116,271
20221221_133116,267
20221221_133116,220
20221221_133116,240
20221221_133116,265
20221221_133116,267
20221221_133116,259
20221221_133116,241
20221221_133116,251
20221221_133116,276
20221221_133116,268
20221221_133116,279
20221221_133116,271
20221221_133116,268
20221221_133116,265
20221221_133117,275
20221221_133117,275
20221221_133117,258
20221221_133117,273
20221221_133117,257
20221221_133117,272
20221221_133117,277
20221221_133117,254
20221221_133117,265
20221221_133117,271
20221221_133117,255
20221221_133117,246
20221221_133117,252
20221221_133117,240
20221221_133117,257
20221221_133117,255
20221221_133117,249
20221221_133118,265
20221221_133118,256
20221221_133118,274
20221221_133118,272
20221221_133118,263
20221221_133118,277
20221221_133118,286
20221221_133118,272
20221221_133118,275
20221221_133118,260
20221221_133118,282
20221221_133118,256
20221221_133118,275
20221221_133118,279
20221221_133118,263
20221221_133118,258
20221221_133118,263
20221221_133118,254
20221221_133119,267
20221221_133119,269
20221221_133119,268
20221221_133119,267
20221221_133119,263
20221221_133119,280
20221221_133119,253
20221221_133119,255
20221221_133119,273
20221221_133119,274
20221221_133119,266
20221221_133119,260
20221221_133119,270
20221221_133119,274
20221221_133119,285
20221221_133119,277
20221221_133119,267
20221221_133119,282
20221221_133120,294
20221221_133120,273
20221221_133120,267
20221221_133120,270
20221221_133120,266
20221221_133120,293
20221221_133120,273
20221221_133120,271
20221221_133120,276
20221221_133120,287
20221221_133120,283
20221221_133120,270
20221221_133120,258
20221221_133120,283
20221221_133120,281
20221221_133120,271
20221221_133120,275
20221221_133120,259
20221221_133121,260
20221221_133121,250
20221221_133121,267
20221221_133121,274
20221221_133121,270
20221221_133121,275
20221221_133121,278
20221221_133121,265
20221221_133121,259
20221221_133121,277
20221221_133121,258
20221221_133121,283
20221221_133121,265
20221221_133121,267
20221221_133121,273
20221221_133121,262
20221221_133121,255
20221221_133122,276
20221221_133122,273
20221221_133122,266
