Time,CameraA Max
20221220_181624,3394
20221220_181624,3350
20221220_181624,3364
20221220_181624,3471
20221220_181624,3391
20221220_181624,3402
20221220_181624,3427
20221220_181624,3414
20221220_181624,3424
20221220_181624,3409
20221220_181624,3464
20221220_181624,3377
20221220_181625,3388
20221220_181625,3412
20221220_181625,3378
20221220_181625,3381
20221220_181625,3341
20221220_181625,3418
20221220_181625,3397
20221220_181625,3362
20221220_181625,3344
20221220_181625,3324
20221220_181625,3346
20221220_181625,3333
20221220_181625,3392
20221220_181625,3380
20221220_181625,3331
20221220_181625,3333
20221220_181625,3396
20221220_181625,3366
20221220_181626,3363
20221220_181626,3349
20221220_181626,3394
20221220_181626,3341
20221220_181626,3376
20221220_181626,3418
20221220_181626,3311
20221220_181626,3356
20221220_181626,3358
20221220_181626,3404
20221220_181626,3397
20221220_181626,3395
20221220_181626,3440
20221220_181626,3407
20221220_181626,3426
20221220_181626,3403
20221220_181626,3376
20221220_181626,3371
20221220_181627,3404
20221220_181627,3433
20221220_181627,3457
20221220_181627,3412
20221220_181627,3486
20221220_181627,3388
20221220_181627,3362
20221220_181627,3359
20221220_181627,3402
20221220_181627,3447
20221220_181627,3411
20221220_181627,3394
20221220_181627,3403
20221220_181627,3422
20221220_181627,3400
20221220_181627,3334
20221220_181627,3355
20221220_181627,3341
20221220_181628,3327
20221220_181628,3442
20221220_181628,3391
20221220_181628,3455
20221220_181628,3359
20221220_181628,3404
20221220_181628,3431
20221220_181628,3372
20221220_181628,3458
20221220_181628,3404
20221220_181628,3324
20221220_181628,3366
20221220_181628,3308
20221220_181628,3427
20221220_181628,3357
20221220_181628,3425
20221220_181628,3338
20221220_181629,3321
20221220_181629,3364
20221220_181629,3354
20221220_181629,3342
20221220_181629,3375
20221220_181629,3376
20221220_181629,3361
20221220_181629,3415
20221220_181629,3368
20221220_181629,3306
20221220_181629,3327
20221220_181629,3368
20221220_181629,3339
20221220_181629,3372
20221220_181629,3274
20221220_181629,3349
20221220_181629,3389
20221220_181629,3371
20221220_181630,3339
20221220_181630,3405
20221220_181630,3302
20221220_181630,3342
20221220_181630,3311
20221220_181630,3388
20221220_181630,3317
20221220_181630,3359
20221220_181630,3334
20221220_181630,3405
20221220_181630,3471
20221220_181630,3426
20221220_181630,3415
20221220_181630,3389
20221220_181630,3386
20221220_181630,3365
20221220_181630,3371
20221220_181630,3365
20221220_181631,3384
20221220_181631,3420
20221220_181631,3368
20221220_181631,3329
20221220_181631,3314
20221220_181631,3359
20221220_181631,3458
20221220_181631,3506
20221220_181631,3476
20221220_181631,3469
20221220_181631,3461
