Time,CameraA Max,,,,,
20221221_134125,793,,,MEAN,STD,RSD
20221221_134125,795,,1,768.76,21.72003683,0.028253339
20221221_134125,784,,2,768.2,21.81047844,0.028391667
20221221_134125,779,,3,767.98,21.64776798,0.028187932
20221221_134125,782,,4,767.85,21.58954807,0.028116882
20221221_134125,787,,5,767.58,21.61751067,0.028163202
20221221_134125,775,,6,767.41,21.56975764,0.028107215
20221221_134125,780,,7,767.03,21.5558729,0.028103038
20221221_134125,801,,8,767.05,21.56426852,0.02811325
20221221_134125,761,,9,767.08,21.58454367,0.028138582
20221221_134125,768,,10,767.32,22.09295331,0.02879236
20221221_134125,759,,11,767.7,22.30889663,0.029059394
20221221_134125,768,,12,767.72,22.31006477,0.029060158
20221221_134125,736,,13,767.77,22.29592299,0.029039847
20221221_134125,743,,14,767.59,22.36659441,0.029138726
20221221_134125,758,,15,767.71,22.22715375,0.028952539
20221221_134125,750,,16,767.89,22.09753174,0.028776949
20221221_134125,739,,17,768.12,22.11324389,0.028788788
20221221_134125,747,,18,768.43,22.07391394,0.028725992
20221221_134126,767,,19,768.67,21.88032417,0.028465173
20221221_134126,794,,20,769.04,21.82294224,0.028376862
20221221_134126,793,,21,769.27,21.92220174,0.028497409
20221221_134126,802,,22,769.09,21.79059894,0.028332964
20221221_134126,752,,23,769.26,22.04385894,0.028655928
20221221_134126,758,,24,769.37,22.23549578,0.028900913
20221221_134126,765,,25,769.63,22.18228204,0.028822008
20221221_134126,754,,26,769.98,22.2728625,0.028926547
20221221_134126,762,,27,770.12,22.28523994,0.02893736
20221221_134126,778,,28,770.35,22.23582286,0.028864572
20221221_134126,781,,29,770.54,22.24492679,0.028869269
20221221_134126,747,,30,770.39,22.24468839,0.028874581
20221221_134126,779,,31,770.31,22.22051786,0.028846202
20221221_134126,814,,32,770.97,22.49958698,0.029183479
20221221_134126,779,,33,770.97,22.49958698,0.029183479
20221221_134126,777,,34,770.13,22.44483923,0.029144221
20221221_134126,761,,35,770.09,22.43243278,0.029129625
20221221_134126,783,,36,769.69,22.66341109,0.029444856
20221221_134127,747,,37,769.67,22.67203813,0.02945683
20221221_134127,750,,38,769.65,22.66103985,0.029443305
20221221_134127,743,,39,769.64,22.67135424,0.029457089
20221221_134127,742,,40,769.83,22.58454598,0.029337056
20221221_134127,776,,41,769.78,22.64998495,0.029423972
20221221_134127,745,,42,770.02,22.47916207,0.029192959
20221221_134127,777,,43,769.95,22.47124987,0.029185337
20221221_134127,800,,44,769.86,22.58989673,0.029342863
20221221_134127,756,,45,769.76,22.58010208,0.029333951
20221221_134127,783,,46,769.62,22.43364176,0.029148985
20221221_134127,771,,47,769.46,22.58828694,0.029356025
20221221_134127,781,,48,769.25,22.55873367,0.029325621
20221221_134127,769,,49,769.03,22.64859128,0.029450855
20221221_134127,771,,50,768.67,22.74232249,0.029586588
20221221_134127,759,,51,768.61,22.74935675,0.029598049
20221221_134127,770,,52,768.54,22.7526977,0.029605092
20221221_134127,778,,53,768.85,22.83244856,0.029696883
20221221_134128,770,,54,768.92,22.84673573,0.02971276
20221221_134128,746,,55,768.76,22.8385285,0.029708269
20221221_134128,776,,56,768.39,23.11626084,0.030084021
20221221_134128,768,,57,768.64,23.00659545,0.029931562
20221221_134128,776,,58,768.61,22.99885592,0.02992266
20221221_134128,785,,59,768.93,23.2119157,0.030187294
20221221_134128,815,,60,768.92,23.20905431,0.030183965
20221221_134128,801,,61,769.46,24.19425593,0.031443163
20221221_134128,841,,62,768.91,23.76998149,0.030913867
20221221_134128,791,,63,768.59,23.54797167,0.030637885
20221221_134128,807,,64,767.78,22.39705067,0.029171183
20221221_134128,799,,65,767.39,22.32808396,0.029096136
20221221_134128,755,,66,767.32,22.21332751,0.028949236
20221221_134128,756,,67,767.02,21.98253669,0.028659666
20221221_134128,764,,68,767.16,21.94976818,0.028611721
20221221_134128,748,,69,767.15,21.95513101,0.028619085
20221221_134128,744,,70,767.03,22.00525878,0.028688915
20221221_134128,773,,71,766.98,22.05456044,0.028755066
20221221_134129,739,,72,767.11,21.95583032,0.028621489
20221221_134129,757,,73,767.08,21.94974977,0.028614681
20221221_134129,789,,74,767.16,21.86077156,0.028495713
20221221_134129,766,,75,767.25,21.83703415,0.028461433
20221221_134129,757,,76,767.34,21.94585624,0.028599912
20221221_134129,754,,77,767.41,21.95270168,0.028606223
20221221_134129,756,,78,767.64,21.96301758,0.028611091
20221221_134129,759,,79,767.56,22.02767772,0.028698314
20221221_134129,724,,80,767.71,21.99921716,0.028655634
20221221_134129,749,,81,767.83,21.98394961,0.028631272
20221221_134129,727,,82,768.49,21.64287505,0.028162858
20221221_134129,729,,83,768.99,21.76527445,0.028303716
20221221_134129,741,,84,769.55,21.39119757,0.027797021
20221221_134129,722,,85,770.16,21.09081853,0.027384983
20221221_134129,759,,86,770.53,20.89775736,0.027121277
20221221_134129,779,,87,771.15,20.35610995,0.026397082
20221221_134129,807,,88,771.73,20.82726215,0.026987758
20221221_134129,767,,89,772.08,21.24065094,0.027510946
20221221_134130,773,,90,771.97,21.08590175,0.027314406
20221221_134130,775,,91,772.38,21.38477699,0.02768686
20221221_134130,797,,92,772.65,21.56239478,0.027907066
20221221_134130,774,,93,772.75,21.59656492,0.027947674
20221221_134130,787,,94,772.37,21.49966173,0.027835962
20221221_134130,768,,95,772.48,21.53619457,0.027879291
20221221_134130,778,,96,772.47,21.5296155,0.027871135
20221221_134130,770,,97,772.11,21.90285946,0.028367538
20221221_134130,757,,98,771.88,21.96106748,0.028451401
20221221_134130,732,,99,771.73,22.02517155,0.028539997
20221221_134130,737,,100,771.61,22.13863345,0.028691481
20221221_134130,773,,101,771.77,21.90606899,0.028384193
20221221_134130,771,,102,772.18,21.63068341,0.028012489
20221221_134130,752,,103,771.81,21.93088086,0.02841487
20221221_134130,765,,104,771.66,21.98770088,0.028494027
20221221_134130,749,,105,771.84,21.89862779,0.028371978
20221221_134130,777,,106,771.64,22.05251766,0.028578764
20221221_134130,783,,107,771.67,22.02342876,0.028539957
20221221_134131,825,,108,771.34,22.18936864,0.028767299
20221221_134131,799,,109,771.13,22.17727247,0.028759447
20221221_134131,770,,110,770.91,21.7423364,0.028203469
20221221_134131,764,,111,771.08,22.0287599,0.028568709
20221221_134131,750,,112,771.35,22.18033299,0.028755212
20221221_134131,748,,113,771.64,22.27265389,0.028864048
20221221_134131,761,,114,772.2,22.42653551,0.029042393
20221221_134131,781,,115,772.34,22.31737105,0.028895786
20221221_134131,781,,116,772.47,22.28849184,0.028853537
20221221_134131,763,,117,772.41,22.27336816,0.028836199
20221221_134131,784,,118,772.19,22.29630354,0.028874116
20221221_134131,790,,119,772.32,22.28007218,0.028848239
20221221_134131,776,,120,772.11,22.26783475,0.028840236
20221221_134131,810,,121,771.78,22.24454535,0.028822392
20221221_134131,813,,122,771.87,22.27997017,0.028864926
20221221_134131,778,,123,771.51,21.94598281,0.028445494
20221221_134131,793,,124,771.12,21.54407275,0.027938677
20221221_134132,779,,125,771.2,21.58469342,0.027988451
20221221_134132,777,,126,771.03,21.477945,0.027856173
20221221_134132,781,,127,770.89,21.47109638,0.027852348
20221221_134132,763,,128,770.95,21.49671105,0.027883405
20221221_134132,773,,129,770.72,21.51113407,0.02791044
20221221_134132,813,,130,770.69,21.52409737,0.027928347
20221221_134132,779,,131,770.56,21.54924827,0.027965698
20221221_134132,730,,132,770.01,21.15335778,0.027471536
20221221_134132,775,,133,769.74,21.20968904,0.027554355
20221221_134132,737,,134,769.94,20.92353563,0.02717554
20221221_134132,759,,135,769.9,20.91758721,0.027169226
20221221_134132,781,,136,770.07,20.7156092,0.026900943
20221221_134132,746,,137,770.22,20.68893229,0.026861069
20221221_134132,769,,138,769.86,20.81230211,0.027033879
20221221_134132,738,,139,770.04,20.68128515,0.026857417
20221221_134132,766,,140,770.58,21.34809149,0.027703926
20221221_134132,769,,141,771.04,21.13349584,0.027409078
20221221_134132,736,,142,771.12,21.12936584,0.027400879
20221221_134133,767,,143,771.08,21.1372045,0.027412466
20221221_134133,786,,144,771.46,20.83965722,0.02701327
20221221_134133,740,,145,771.58,20.84826374,0.027020223
20221221_134133,762,,146,771.66,20.9193835,0.027109586
20221221_134133,749,,147,771.78,20.76982076,0.026911582
20221221_134133,745,,148,771.92,20.75040708,0.026881551
20221221_134133,763,,149,772.28,20.66083984,0.026753043
20221221_134133,764,,150,772.51,20.4813268,0.026512701
20221221_134133,790,,151,772.65,20.46350533,0.026484832
20221221_134133,777,,152,772.42,20.68971344,0.026785574
20221221_134133,762,,153,772.16,20.62984011,0.026717054
20221221_134133,733,,154,772.19,20.63912877,0.026728045
20221221_134133,771,,155,772.56,20.78573715,0.026905013
20221221_134133,773,,156,773.53,21.18053948,0.027381665
20221221_134133,800,,157,773.77,21.28728695,0.02751113
20221221_134133,775,,158,773.97,21.37375668,0.027615743
20221221_134133,839,,159,773.83,21.24701048,0.027456949
20221221_134133,760,,160,773.97,21.30085359,0.027521549
20221221_134134,769,,161,773.62,20.4937931,0.026490775
20221221_134134,760,,162,773.98,20.56818176,0.026574565
20221221_134134,752,,163,774.16,20.6028928,0.026613223
20221221_134134,800,,164,774.37,20.56409296,0.026555901
20221221_134134,769,,165,774.68,20.45684297,0.02640683
20221221_134134,769,,166,774.56,20.34168731,0.026262249
20221221_134134,755,,167,774.56,20.34168731,0.026262249
20221221_134134,752,,168,774.39,20.45931908,0.026419916
20221221_134134,743,,169,774.77,20.44843478,0.02639291
20221221_134134,757,,170,774.89,20.34842709,0.026259762
20221221_134134,770,,171,775.2,20.09221167,0.025918746
20221221_134134,747,,172,775.63,20.15879135,0.025990216
20221221_134134,766,,173,775.89,20.25289355,0.02610279
20221221_134134,798,,174,776.56,20.39524603,0.02626358
20221221_134134,773,,175,776.6,20.37824152,0.026240332
20221221_134134,780,,176,776.64,20.42454455,0.0262986
20221221_134134,746,,177,777.04,20.74175996,0.026693298
20221221_134134,771,,178,777.07,20.74825294,0.026700623
20221221_134135,771,,179,777.44,20.5172113,0.026390733
20221221_134135,790,,180,777.68,20.58138808,0.026465112
20221221_134135,799,,181,777.71,20.5737378,0.026454254
20221221_134135,783,,182,777.39,20.62943616,0.026536791
20221221_134135,790,,183,777.16,20.51396174,0.02639606
20221221_134135,778,,184,777.44,20.78379322,0.02673363
20221221_134135,784,,185,777.73,21.1597364,0.027207047
20221221_134135,817,,186,778.43,22.2961042,0.028642401
20221221_134135,814,,187,778.66,22.4720792,0.028859938
20221221_134135,796,,188,778.66,22.4720792,0.028859938
20221221_134135,808,,189,778.17,22.22659023,0.028562641
20221221_134135,800,,190,778.17,22.22659023,0.028562641
20221221_134135,785,,191,777.63,22.15038363,0.028484477
20221221_134135,759,,192,777.48,22.04791843,0.028358181
20221221_134135,785,,193,777.24,22.09580608,0.02842855
20221221_134135,786,,194,777.52,22.03967039,0.028346114
20221221_134135,732,,195,777.51,22.03646885,0.028342361
20221221_134136,755,,196,777.7,22.19177207,0.028535132
20221221_134136,755,,197,777.99,21.77409034,0.027987622
20221221_134136,745,,198,778.52,21.85372862,0.028070863
20221221_134136,748,,199,778.87,21.7532791,0.027929281
20221221_134136,778,,200,779.62,21.86634331,0.028047438
20221221_134136,736,,201,780.1,21.69136122,0.027805873
20221221_134136,756,,202,780.25,21.72852475,0.027848157
20221221_134136,770,,203,780.65,21.26902001,0.02724527
20221221_134136,745,,204,781.07,21.19188667,0.027131866
20221221_134136,752,,205,781.18,21.1623737,0.027090266
20221221_134136,744,,206,781.17,21.17987181,0.027113012
20221221_134136,762,,207,781.29,21.04650694,0.02693815
20221221_134136,803,,208,781.35,20.94744506,0.026809298
20221221_134136,816,,209,781.2,21.14022448,0.027061219
20221221_134136,797,,210,780.62,21.3308616,0.027325538
20221221_134136,793,,211,780.02,21.16886412,0.027138874
20221221_134136,806,,212,779.93,21.11500735,0.027072952
20221221_134136,762,,213,779.74,21.081669,0.027036793
20221221_134137,774,,214,779.91,21.3622413,0.027390649
20221221_134137,775,,215,780.26,21.35255763,0.027365952
20221221_134137,759,,216,780.47,21.39359623,0.02741117
20221221_134137,776,,217,780.74,21.49400668,0.0275303
20221221_134137,763,,218,780.93,21.38358428,0.027382204
20221221_134137,757,,219,781.14,21.43772753,0.027444155
20221221_134137,785,,220,781.35,21.36095513,0.027338523
20221221_134137,774,,221,781.66,21.22853997,0.027158278
20221221_134137,774,,222,781.82,21.3140917,0.027262147
20221221_134137,786,,223,781.96,21.30818594,0.027249713
20221221_134137,776,,224,782,21.29684379,0.027233816
20221221_134137,765,,225,782.21,21.43974173,0.027409189
20221221_134137,783,,226,782.23,21.43482251,0.027402199
20221221_134137,758,,227,782.28,21.40002832,0.02735597
20221221_134137,760,,228,782.12,21.45433487,0.027431001
20221221_134137,760,,229,782.3,21.32504574,0.027259422
20221221_134137,758,,230,782.72,21.29498447,0.027206389
20221221_134137,752,,231,782.79,21.23095463,0.027122159
20221221_134138,750,,232,783.21,21.15087457,0.027005368
20221221_134138,771,,233,783.79,21.08151328,0.02689689
20221221_134138,754,,234,784.1,20.8057393,0.026534548
20221221_134138,774,,235,784.2,20.76613405,0.026480661
20221221_134138,745,,236,784.76,20.69847015,0.026375542
20221221_134138,764,,237,784.65,20.78527791,0.026489872
20221221_134138,823,,238,785.29,20.5358986,0.02615072
20221221_134138,784,,239,785.56,20.43037944,0.026007408
20221221_134138,774,,240,785.37,20.16530424,0.025676184
20221221_134138,765,,241,785.66,20.35305551,0.025905679
20221221_134138,774,,242,786.01,20.45122061,0.026019034
20221221_134138,779,,243,785.97,20.49659001,0.026078082
20221221_134138,794,,244,786.3,20.56745492,0.026157262
20221221_134138,752,,245,786.24,20.59769527,0.02619772
20221221_134138,776,,246,786.23,20.59413224,0.026193521
20221221_134138,785,,247,786.62,20.30662926,0.025815043
20221221_134138,768,,248,786.53,20.37400552,0.02590366
20221221_134138,777,,249,786.63,20.39095412,0.025921913
20221221_134139,741,,250,786.33,20.88257453,0.026557011
20221221_134139,764,,251,786.36,20.87118743,0.026541517
20221221_134139,780,,252,786.94,20.39846498,0.025921246
20221221_134139,799,,253,787.36,20.35370068,0.025850565
20221221_134139,830,,254,787.37,20.35029347,0.025845909
20221221_134139,795,,255,787.11,20.36628974,0.025874769
20221221_134139,793,,256,786.69,19.9006091,0.025296634
20221221_134139,786,,257,786.59,19.88354733,0.025278159
20221221_134139,789,,258,786.54,19.87354975,0.025267055
20221221_134139,804,,259,786.69,19.92597158,0.025328874
20221221_134139,796,,260,786.27,20.31561821,0.025837967
20221221_134139,787,,261,785.94,20.29271651,0.025819676
20221221_134139,781,,262,785.76,20.28241015,0.025812475
20221221_134139,783,,263,785.73,20.28277619,0.025813926
20221221_134139,788,,264,785.7,20.29205945,0.025826727
20221221_134139,769,,265,785.3,20.73522353,0.026404207
20221221_134139,752,,266,784.97,20.95326931,0.026693083
20221221_134139,793,,267,785.28,20.94392706,0.026670649
20221221_134140,764,,268,786.23,21.56449336,0.027427716
20221221_134140,774,,269,786.03,21.59379587,0.027471974
20221221_134140,800,,270,786.27,21.47954394,0.02731828
20221221_134140,796,,271,786.72,21.69023427,0.027570463
20221221_134140,814,,272,786.69,21.67374943,0.027550559
20221221_134140,770,,273,786.5,21.67459063,0.027558284
20221221_134140,802,,274,786.29,21.50653882,0.027351917
20221221_134140,813,,275,786.64,21.52354595,0.027361367
20221221_134140,783,,276,786.64,21.52354595,0.027361367
20221221_134140,783,,277,786.92,22.04571925,0.028015198
20221221_134140,795,,278,787.33,22.35121627,0.028388625
20221221_134140,774,,279,787.85,22.84881139,0.029001474
20221221_134140,758,,280,787.87,22.85600732,0.029009871
20221221_134140,776,,281,788.38,23.11096639,0.029314501
20221221_134140,811,,282,788.66,22.90790521,0.029046617
20221221_134140,819,,283,788.68,22.89761136,0.029032829
20221221_134140,848,,284,788.43,22.78766945,0.028902591
20221221_134141,807,,285,788.02,22.6001609,0.028679679
20221221_134141,817,,286,787.32,21.7932804,0.027680334
20221221_134141,765,,287,786.99,21.74205765,0.027626854
20221221_134141,796,,288,786.52,21.59427534,0.027455469
20221221_134141,754,,289,786.87,21.52548642,0.027355836
20221221_134141,785,,290,786.84,21.51472129,0.027343197
20221221_134141,761,,291,787.48,21.47983786,0.027276677
20221221_134141,787,,292,787.84,21.73798054,0.027591872
20221221_134141,784,,293,788.12,21.56843934,0.027366948
20221221_134141,805,,294,788.29,21.62644051,0.027434625
20221221_134141,761,,295,788.48,21.67178494,0.027485523
20221221_134141,808,,296,788.2,21.63704269,0.027451209
20221221_134141,790,,297,788.35,21.49812066,0.027269767
20221221_134141,820,,298,787.94,21.5105424,0.027299721
20221221_134141,796,,299,787.75,21.5759757,0.027389369
20221221_134141,793,,300,787.35,21.34155855,0.027105555
20221221_134141,776,,301,787.42,21.38165928,0.027154072
20221221_134141,798,,302,787.25,21.4044152,0.027188841
20221221_134142,781,,303,787.46,21.39594033,0.027170828
20221221_134142,744,,304,787.62,21.53492817,0.027341774
20221221_134142,764,,305,787.6,21.54206597,0.027351531
20221221_134142,750,,306,788.09,21.09291374,0.0267646
20221221_134142,747,,307,787.98,21.24792563,0.026965057
20221221_134142,745,,308,788.14,21.01803939,0.026667901
20221221_134142,756,,309,788.5,20.61062784,0.026139033
20221221_134142,788,,310,788.87,20.14876741,0.025541303
20221221_134142,774,,311,789.12,19.8902443,0.025205602
20221221_134142,823,,312,789.17,19.8936846,0.025208364
20221221_134142,797,,313,789.3,19.8359433,0.025131057
20221221_134142,795,,314,788.89,19.55406646,0.02478681
20221221_134142,802,,315,788.94,19.58138675,0.024819868
20221221_134142,778,,316,788.95,19.58476784,0.024823839
20221221_134142,797,,317,788.87,19.5472259,0.024778767
20221221_134142,784,,318,788.67,19.76071759,0.025055749
20221221_134142,788,,319,788.7,19.77576315,0.025073872
20221221_134142,801,,320,788.64,19.79925516,0.025105568
20221221_134143,788,,321,788.57,19.81390951,0.02512638
20221221_134143,778,,322,788.19,19.93712085,0.025294816
20221221_134143,807,,323,787.86,20.21151787,0.025653692
20221221_134143,778,,324,787.95,20.18719216,0.02561989
20221221_134143,770,,325,787.83,20.1083203,0.025523679
20221221_134143,767,,326,787.83,20.1083203,0.025523679
20221221_134143,776,,327,787.75,20.19569661,0.02563719
20221221_134143,802,,328,787.89,20.09869336,0.025509517
20221221_134143,767,,329,788.14,20.1047861,0.025509156
20221221_134143,800,,330,788,20.05598226,0.025451754
20221221_134143,810,,331,788.3,19.96284427,0.025323918
20221221_134143,781,,332,788.3,19.96284427,0.025323918
20221221_134143,781,,333,787.8,20.03985927,0.02543775
20221221_134143,810,,334,788.17,20.25347208,0.025696832
20221221_134143,763,,335,788.22,20.24176101,0.025680344
20221221_134143,809,,336,788.08,20.13774786,0.025552923
20221221_134143,791,,337,788.42,19.99655526,0.025362821
20221221_134143,804,,338,788.6,20.26291831,0.025694799
20221221_134144,813,,339,788.9,20.51926909,0.026009975
20221221_134144,809,,340,789.06,20.69978773,0.026233477
20221221_134144,761,,341,788.8,20.55885859,0.026063462
20221221_134144,807,,342,788.81,20.56902398,0.026076018
20221221_134144,773,,343,789.26,20.44634269,0.025905713
20221221_134144,793,,344,788.85,20.49802898,0.025984698
20221221_134144,791,,345,789.05,20.43930409,0.025903687
20221221_134144,767,,346,788.96,20.44155008,0.025909489
20221221_134144,795,,347,788.78,20.50256451,0.025992754
20221221_134144,738,,348,789.27,20.56222633,0.026052208
20221221_134144,780,,349,788.99,20.67375001,0.026202804
20221221_134144,799,,350,789.26,20.17129674,0.025557227
20221221_134144,806,,351,789.11,20.2962379,0.025720417
20221221_134144,781,,352,788.73,20.46423586,0.025945806
20221221_134144,773,,353,788.37,20.47400668,0.025970048
20221221_134144,788,,354,788.31,20.50459175,0.026010823
20221221_134144,785,,355,788.2,20.61675302,0.026156753
20221221_134145,788,,356,787.85,20.91511222,0.026547074
20221221_134145,801,,357,787.77,20.94140695,0.026583149
20221221_134145,747,,358,787.51,21.09932978,0.026792459
20221221_134145,771,,359,787.25,21.09161114,0.026791504
20221221_134145,778,,360,787.58,20.71020829,0.026296006
20221221_134145,784,,361,787.8,20.64906386,0.026211048
20221221_134145,778,,362,787.93,20.62765379,0.026179551
20221221_134145,743,,363,787.74,20.75135142,0.026342894
20221221_134145,755,,364,787.73,20.75633285,0.026349552
20221221_134145,800,,365,788.29,20.28747686,0.025736058
20221221_134145,847,,366,788.74,20.03916368,0.025406552
20221221_134145,773,,367,788.57,20.0147698,0.025381095
20221221_134145,788,,368,788.09,19.15650323,0.024307507
20221221_134145,819,,369,788.05,19.19247275,0.024354385
20221221_134145,797,,370,788.12,19.20504984,0.02436818
20221221_134145,777,,371,787.83,18.95132255,0.024055091
20221221_134145,793,,372,787.82,18.94669823,0.024049527
20221221_134145,805,,373,788.03,18.94193947,0.024037079
20221221_134146,802,,374,787.9,18.95209271,0.024053932
20221221_134146,841,,375,787.53,18.97603752,0.024095638
20221221_134146,824,,376,787.19,19.01870159,0.024160243
20221221_134146,835,,377,786.72,18.24030391,0.023185255
20221221_134146,797,,378,786.03,18.12050293,0.023053195
20221221_134146,825,,379,785.22,17.71524482,0.022560868
20221221_134146,786,,380,785.15,17.68202591,0.02252057
20221221_134146,778,,381,784.58,17.29902198,0.022048767
20221221_134146,786,,382,784.38,17.39777067,0.022180283
20221221_134146,778,,383,784.44,17.38588769,0.022163438
20221221_134146,778,,384,784.58,17.45480745,0.022247327
20221221_134146,774,,385,784.56,17.46356669,0.022259058
20221221_134146,770,,386,784.37,17.6381445,0.022487021
20221221_134146,800,,387,784.45,17.60875299,0.02244726
20221221_134146,793,,388,784.23,17.92569117,0.022857696
20221221_134146,818,,389,783.84,18.00320959,0.022967965
20221221_134146,821,,390,783.4,18.31210893,0.023375171
20221221_134146,789,,391,782.97,17.99352016,0.022981111
20221221_134147,804,,392,782.52,17.59102159,0.022479964
20221221_134147,803,,393,782.52,17.59102159,0.022479964
20221221_134147,777,,394,782.51,17.57896758,0.022464847
20221221_134147,776,,395,782.02,17.68465636,0.022614072
20221221_134147,767,,396,782.31,17.83861151,0.022802484
20221221_134147,771,,397,782.34,17.83041324,0.022791131
20221221_134147,780,,398,782.53,17.76641651,0.022703815
20221221_134147,803,,399,782.6,17.73429025,0.022660734
20221221_134147,776,,400,782.54,17.75331524,0.022686783
20221221_134147,797,,401,782.17,17.70810178,0.02263971
20221221_134147,814,,402,782.11,17.73935589,0.022681408
20221221_134147,779,,403,782.13,17.75743122,0.022703938
20221221_134147,793,,404,781.83,17.4645702,0.022338066
20221221_134147,753,,405,781.69,17.54342088,0.022442939
20221221_134147,766,,406,781.46,17.54441406,0.022450815
20221221_134147,783,,407,781.68,17.32043809,0.022157965
20221221_134147,782,,408,781.92,17.26716976,0.022083039
20221221_134147,781,,409,782,17.29074021,0.022110921
20221221_134148,793,,410,781.88,17.33233097,0.022167508
20221221_134148,787,,411,781.84,17.33899674,0.022177168
20221221_134148,782,,412,781.72,17.30246669,0.022133842
20221221_134148,802,,413,782.03,17.67178599,0.022597325
20221221_134148,796,,414,782.03,17.67178599,0.022597325
20221221_134148,794,,415,782.06,17.70853814,0.022643452
20221221_134148,758,,416,781.97,17.65977853,0.022583703
20221221_134148,800,,417,782.04,17.72170956,0.022660874
20221221_134148,778,,418,782.49,17.67638098,0.022589913
20221221_134148,781,,419,782.51,17.69751167,0.022616339
20221221_134148,763,,420,782.77,17.82113998,0.022766764
20221221_134148,755,,421,782.48,18.08424729,0.02311145
20221221_134148,787,,422,782.66,17.97766291,0.022969952
20221221_134148,795,,423,782.99,17.76643925,0.022690506
20221221_134148,778,,424,783.01,17.77212379,0.022697186
20221221_134148,762,,425,782.96,17.74506333,0.022664074
20221221_134148,781,,426,783.07,17.74809991,0.022664768
20221221_134149,801,,427,783.34,17.62930297,0.022505302
20221221_134149,788,,428,783.43,17.64020603,0.022516633
20221221_134149,797,,429,783.19,17.56183592,0.022423468
20221221_134149,800,,430,783.56,18.04725559,0.023032385
20221221_134149,760,,431,783.79,18.36404865,0.023429807
20221221_134149,818,,432,784.07,18.82146582,0.024004828
20221221_134149,786,,433,784.55,18.81347841,0.023979961
20221221_134149,796,,434,784.32,18.53900066,0.023637037
20221221_134149,797,,435,784.49,18.6322708,0.023750807
20221221_134149,827,,436,784.46,18.61595927,0.023730922
20221221_134149,821,,437,784.5,18.64744682,0.023769849
20221221_134149,820,,438,783.83,18.30551885,0.02335394
20221221_134149,787,,439,783.36,17.94127345,0.022902974
20221221_134149,810,,440,782.96,17.55793872,0.022425078
20221221_134149,806,,441,782.87,17.56008732,0.0224304
20221221_134149,766,,442,782.52,17.3615621,0.022186733
20221221_134149,793,,443,782.3,17.19965938,0.021986015
20221221_134149,784,,444,782.53,17.13314173,0.021894549
20221221_134150,773,,445,782.46,17.10420824,0.021859531
20221221_134150,816,,446,782.41,17.10696887,0.021864456
20221221_134150,767,,447,782.37,17.13384918,0.021899931
20221221_134150,765,,448,781.8,16.95090951,0.0216819
20221221_134150,765,,449,781.73,17.02692757,0.021781085
20221221_134150,761,,450,782.06,17.01919297,0.021762004
20221221_134150,770,,451,781.91,17.23579491,0.022043195
20221221_134150,775,,452,781.94,17.20160904,0.02199863
20221221_134150,762,,453,781.89,17.24388048,0.0220541
20221221_134150,753,,454,781.85,17.26465122,0.022081795
20221221_134150,777,,455,781.8,17.32983648,0.022166585
20221221_134150,762,,456,781.98,17.11988625,0.021892998
20221221_134150,775,,457,781.99,17.11723982,0.021889333
20221221_134150,780,,458,782.22,17.00004753,0.021733077
20221221_134150,793,,459,782.05,17.15724955,0.021938814
20221221_134150,791,,460,781.98,17.17996249,0.021969823
20221221_134150,765,,461,781.86,17.14408341,0.021927306
20221221_134150,777,,462,781.89,17.16285336,0.02195047
20221221_134151,799,,463,781.84,17.21974436,0.02202464
20221221_134151,800,,464,781.86,17.21522699,0.022018299
20221221_134151,783,,465,781.68,17.12808551,0.021911889
20221221_134151,799,,466,781.32,17.11746701,0.021908395
20221221_134151,769,,467,781.54,17.27988262,0.022110043
20221221_134151,795,,468,781.37,17.18976381,0.021999519
20221221_134151,790,,469,781.51,17.14495243,0.021938238
20221221_134151,796,,470,781.47,17.11780631,0.021904624
20221221_134151,798,,471,781.24,17.15651068,0.021960615
20221221_134151,780,,472,781.09,17.09160997,0.021881742
20221221_134151,768,,473,781.17,17.18999885,0.022005452
20221221_134151,768,,474,781.44,17.38240141,0.022244064
20221221_134151,794,,475,781.74,17.40696482,0.022266949
20221221_134151,755,,476,782.21,17.6648341,0.022583237
20221221_134151,754,,477,782.17,17.64238182,0.022555687
20221221_134151,790,,478,782.52,17.44398249,0.02229206
20221221_134151,768,,479,782.69,17.24493484,0.022032906
20221221_134151,766,,480,782.59,17.23110589,0.02201805
20221221_134152,784,,481,782.71,17.17014969,0.021936796
20221221_134152,800,,482,783.06,17.18280795,0.021943156
20221221_134152,776,,483,782.96,17.20636481,0.021976046
20221221_134152,759,,484,782.62,17.20217275,0.021980237
20221221_134152,782,,485,782.71,17.19072747,0.021963087
20221221_134152,748,,486,782.82,17.07226471,0.021808672
20221221_134152,761,,487,782.66,17.1548032,0.021918589
20221221_134152,749,,488,783.04,16.79641616,0.021450266
20221221_134152,775,,489,783.03,16.80996277,0.02146784
20221221_134152,776,,490,783.61,16.62351687,0.021214018
20221221_134152,789,,491,783.61,16.62351687,0.021214018
20221221_134152,803,,492,783.7,16.60625415,0.021189555
20221221_134152,754,,493,783.6,16.60412508,0.021189542
20221221_134152,806,,494,783.1,16.76606722,0.021409867
20221221_134152,779,,495,783.49,16.53431999,0.021103422
20221221_134152,786,,496,783.1,16.45778192,0.021016195
20221221_134152,778,,497,783.35,16.584266,0.021170953
20221221_134153,774,,498,783.33,16.58224376,0.021168912
