Time,CameraA Max,,,
20221221_141105,712,,,
20221221_141105,679,,,
20221221_141105,673,,,
20221221_141105,705,,,
20221221_141105,674,,,
20221221_141105,686,,,
20221221_141105,673,,,
20221221_141105,657,,,
20221221_141105,680,,,
20221221_141105,669,,,
20221221_141105,673,,,
20221221_141106,676,,,
20221221_141106,658,,,
20221221_141106,685,,,
20221221_141106,657,,,
20221221_141106,665,,,
20221221_141106,671,,,
20221221_141106,661,,,
20221221_141106,679,,,
20221221_141106,655,,,
20221221_141106,645,,,
20221221_141106,698,,,
20221221_141106,672,,,
20221221_141106,684,,,
20221221_141106,671,,,
20221221_141106,652,,,
20221221_141106,666,,,
20221221_141106,661,,,
20221221_141106,656,,,
20221221_141107,647,,,
20221221_141107,652,,,
20221221_141107,682,,,
20221221_141107,692,,,
20221221_141107,700,,,
20221221_141107,696,,,
20221221_141107,681,,,
20221221_141107,699,,,
20221221_141107,648,,,
20221221_141107,695,,,
20221221_141107,653,,,
20221221_141107,681,,,
20221221_141107,685,,,
20221221_141107,672,,,
20221221_141107,680,,,
20221221_141107,687,,,
20221221_141107,677,,,
20221221_141107,686,,,
20221221_141108,694,,,
20221221_141108,704,,,
20221221_141108,678,,,
20221221_141108,702,,,
20221221_141108,677,,,
20221221_141108,668,,,
20221221_141108,659,,,
20221221_141108,674,,,
20221221_141108,694,,,
20221221_141108,663,,,
20221221_141108,679,,,
20221221_141108,692,,,
20221221_141108,668,,,
20221221_141108,688,,,
20221221_141108,695,,,
20221221_141108,671,,,
20221221_141108,657,,,
20221221_141108,660,,,
20221221_141109,656,,,
20221221_141109,688,,,
20221221_141109,666,,,
20221221_141109,683,,,
20221221_141109,669,,,
20221221_141109,687,,,
20221221_141109,701,,,
20221221_141109,696,,,
20221221_141109,676,,,
20221221_141109,682,,,
20221221_141109,688,,,
20221221_141109,658,,,
20221221_141109,672,,,
20221221_141109,676,,,
20221221_141109,677,,,
20221221_141109,677,,,
20221221_141109,656,,,
20221221_141110,684,,,
20221221_141110,668,,,
20221221_141110,715,,,
20221221_141110,679,,,
20221221_141110,682,,,
20221221_141110,693,,,
20221221_141110,692,,,
20221221_141110,647,,,
20221221_141110,663,,,
20221221_141110,665,,,
20221221_141110,659,,,
20221221_141110,659,,,
20221221_141110,672,,,
20221221_141110,663,,,
20221221_141110,657,,,
20221221_141110,638,,,
20221221_141110,654,,,
20221221_141110,662,,,
20221221_141111,675,,,
20221221_141111,666,,,
20221221_141111,706,,,
20221221_141111,668,,,
20221221_141111,702,,,
20221221_141111,683,,,
20221221_141111,688,,,
20221221_141111,667,,,
20221221_141111,701,,,
20221221_141111,674,,,
20221221_141111,681,,,
20221221_141111,657,,,
20221221_141111,680,,,
20221221_141111,705,,,
20221221_141111,667,,,
20221221_141111,683,,,
20221221_141111,668,,,
20221221_141111,682,,,
20221221_141112,697,,,
20221221_141112,702,,,
20221221_141112,684,,,
20221221_141112,699,,,
20221221_141112,693,,,
20221221_141112,682,,,
20221221_141112,656,,,
20221221_141112,687,,,
20221221_141112,678,,,
20221221_141112,696,,,
20221221_141112,687,,,
20221221_141112,680,,,
20221221_141112,685,,,
20221221_141112,684,,,
20221221_141112,662,,,
20221221_141112,694,,,
20221221_141112,694,,,
20221221_141112,668,,,
20221221_141113,685,,,
20221221_141113,684,,,
20221221_141113,695,,,
20221221_141113,671,,,
20221221_141113,696,,,
20221221_141113,657,,,
20221221_141113,697,,,
20221221_141113,675,,,
20221221_141113,695,,,
20221221_141113,705,,,
20221221_141113,697,,,
20221221_141113,698,,,
20221221_141113,700,,,
20221221_141113,658,,,
20221221_141113,681,,,
20221221_141113,738,,,
20221221_141113,712,,,
20221221_141114,662,,,
20221221_141114,688,,,
20221221_141114,707,,,
20221221_141114,686,,,
20221221_141114,693,,,
20221221_141114,694,,,
20221221_141114,695,,,
20221221_141114,673,,,
20221221_141114,697,,,
20221221_141114,663,,,
20221221_141114,669,,,
20221221_141114,688,,,
20221221_141114,695,,,
20221221_141114,709,,,
20221221_141114,672,,,
20221221_141114,683,,,
20221221_141114,691,,,
20221221_141114,663,,,
20221221_141115,677,,,
20221221_141115,665,,,
20221221_141115,678,,,
20221221_141115,666,,,
20221221_141115,654,,,
20221221_141115,686,,,
20221221_141115,657,,,
20221221_141115,673,,,
20221221_141115,680,,,
20221221_141115,675,,,
20221221_141115,698,,,
20221221_141115,660,,,
20221221_141115,674,,,
20221221_141115,701,,,
20221221_141115,693,,,
20221221_141115,692,,,
20221221_141115,684,,,
20221221_141115,673,,,
