Time,CameraA Max
20221220_181606,2282
20221220_181606,2282
20221220_181606,2274
20221220_181606,2314
20221220_181606,2373
20221220_181606,2304
20221220_181607,2339
20221220_181607,2363
20221220_181607,2306
20221220_181607,2333
20221220_181607,2293
20221220_181607,2283
20221220_181607,2257
20221220_181607,2264
20221220_181607,2232
20221220_181607,2238
20221220_181607,2250
20221220_181607,2317
20221220_181607,2287
20221220_181607,2298
20221220_181607,2334
20221220_181607,2242
20221220_181607,2274
20221220_181607,2292
20221220_181608,2233
20221220_181608,2257
20221220_181608,2390
20221220_181608,2416
20221220_181608,2414
20221220_181608,2375
20221220_181608,2314
20221220_181608,2374
20221220_181608,2360
20221220_181608,2354
20221220_181608,2313
20221220_181608,2307
20221220_181608,2280
20221220_181608,2285
20221220_181608,2317
20221220_181608,2258
20221220_181608,2260
20221220_181608,2329
20221220_181609,2263
20221220_181609,2293
20221220_181609,2267
20221220_181609,2285
20221220_181609,2254
20221220_181609,2293
20221220_181609,2267
20221220_181609,2221
20221220_181609,2265
20221220_181609,2313
20221220_181609,2266
20221220_181609,2267
20221220_181609,2326
20221220_181609,2284
20221220_181609,2279
20221220_181609,2251
20221220_181609,2281
20221220_181610,2288
20221220_181610,2248
20221220_181610,2240
20221220_181610,2277
20221220_181610,2302
20221220_181610,2329
20221220_181610,2295
20221220_181610,2297
20221220_181610,2274
20221220_181610,2265
20221220_181610,2292
20221220_181610,2267
20221220_181610,2343
20221220_181610,2335
20221220_181610,2293
20221220_181610,2271
20221220_181610,2229
20221220_181610,2217
20221220_181611,2330
20221220_181611,2281
20221220_181611,2274
20221220_181611,2261
20221220_181611,2273
20221220_181611,2249
20221220_181611,2259
20221220_181611,2295
20221220_181611,2266
20221220_181611,2283
20221220_181611,2291
20221220_181611,2332
20221220_181611,2325
20221220_181611,2329
20221220_181611,2328
20221220_181611,2268
20221220_181611,2298
20221220_181611,2253
20221220_181612,2254
20221220_181612,2348
20221220_181612,2285
20221220_181612,2265
20221220_181612,2310
20221220_181612,2320
20221220_181612,2368
20221220_181612,2288
20221220_181612,2313
20221220_181612,2312
20221220_181612,2321
20221220_181612,2310
20221220_181612,2323
20221220_181612,2290
20221220_181612,2293
20221220_181612,2283
20221220_181612,2239
20221220_181612,2246
20221220_181613,2294
20221220_181613,2294
20221220_181613,2276
20221220_181613,2297
20221220_181613,2317
20221220_181613,2266
20221220_181613,2302
20221220_181613,2282
20221220_181613,2298
20221220_181613,2295
20221220_181613,2307
20221220_181613,2266
20221220_181613,2315
20221220_181613,2319
20221220_181613,2313
20221220_181613,2334
20221220_181613,2351
