Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,CameraA Max1,CameraA Max2,CameraA Max3,CameraA Max4,CameraB Max1,CameraB Max2,CameraB Max3,CameraB Max4
20221022_132440,175,175,91,91,"175: ([217],[1774])","108: ([891],[778])","92: ([295],[242])","84: ([562],[591])","91: ([821],[1363])","43: ([1341],[719])","41: ([99],[637])","39: ([1011],[1279])"
20221022_132441,167,171,90,90,"167: ([217],[1774])","108: ([891],[778])","99: ([295],[242])","79: ([562],[591])","90: ([821],[1363])","42: ([99],[637])","41: ([1341],[719])","39: ([1011],[1279])"
20221022_132441,178,173,89,90,"178: ([217],[1774])","122: ([891],[778])","95: ([295],[242])","92: ([562],[591])","89: ([821],[1363])","43: ([99],[637])","42: ([1011 1341],[1279  719])","42: ([1011 1341],[1279  719])"
20221022_132441,180,175,85,88,"180: ([217],[1774])","105: ([891],[778])","102: ([562],[591])","99: ([295],[242])","85: ([821],[1363])","43: ([1341],[719])","41: ([99],[637])","39: ([252],[1034])"
20221022_132441,186,177,83,87,"186: ([217],[1774])","99: ([891],[778])","93: ([295],[242])","80: ([562],[591])","83: ([821],[1363])","46: ([252],[1034])","44: ([1341],[719])","41: ([810],[577])"
20221022_132441,178,177,90,88,"178: ([217],[1774])","109: ([891],[778])","97: ([295],[242])","88: ([562],[591])","90: ([821],[1363])","45: ([492],[1243])","43: ([252],[1034])","42: ([  99 1341],[637 719])"
20221022_132442,177,177,90,88,"177: ([217],[1774])","105: ([891],[778])","102: ([295],[242])","86: ([562],[591])","90: ([821],[1363])","45: ([492],[1243])","41: ([  99 1341],[637 719])","41: ([  99 1341],[637 719])"
20221022_132442,177,177,90,88,"177: ([217],[1774])","105: ([891],[778])","95: ([295],[242])","92: ([562],[591])","90: ([821],[1363])","43: ([99],[637])","42: ([1011],[1279])","39: ([ 492 1341],[1243  719])"
20221022_132442,167,176,87,88,"167: ([217],[1774])","106: ([891],[778])","94: ([295],[242])","89: ([562],[591])","87: ([821],[1363])","43: ([1341],[719])","42: ([99],[637])","41: ([1011],[1279])"
20221022_132442,175,176,82,87,"175: ([217],[1774])","107: ([891],[778])","94: ([295],[242])","86: ([562],[591])","82: ([821],[1363])","42: ([1341],[719])","41: ([99],[637])","38: ([492 810],[1243  577])"
20221022_132443,169,175,92,88,"169: ([217],[1774])","104: ([891],[778])","93: ([295 562],[242 591])","93: ([295 562],[242 591])","92: ([821],[1363])","43: ([158],[95])","39: ([  99 1341],[637 719])","39: ([  99 1341],[637 719])"
20221022_132443,173,175,92,88,"173: ([217],[1774])","105: ([891],[778])","93: ([295],[242])","83: ([562],[591])","92: ([821],[1363])","45: ([1011],[1279])","44: ([492],[1243])","42: ([  99 1341],[637 719])"
20221022_132443,180,175,90,88,"180: ([217],[1774])","107: ([891],[778])","93: ([295],[242])","86: ([562],[591])","90: ([821],[1363])","45: ([99],[637])","43: ([1341],[719])","39: ([1011],[1279])"
20221022_132443,166,174,84,88,"166: ([217],[1774])","105: ([891],[778])","90: ([295],[242])","80: ([562],[591])","84: ([821],[1363])","46: ([99],[637])","43: ([1011 1341],[1279  719])","43: ([1011 1341],[1279  719])"
20221022_132444,176,174,96,88,"176: ([217],[1774])","109: ([891],[778])","99: ([295],[242])","90: ([562],[591])","96: ([821],[1363])","41: ([1341],[719])","39: ([99],[637])","38: ([810],[577])"
20221022_132444,180,175,96,89,"180: ([217],[1774])","100: ([891],[778])","93: ([562],[591])","88: ([295],[242])","96: ([821],[1363])","43: ([99],[637])","38: ([1341],[719])","37: ([158],[95])"
20221022_132444,172,175,91,89,"172: ([217],[1774])","110: ([891],[778])","94: ([295],[242])","92: ([562],[591])","91: ([821],[1363])","43: ([1341],[719])","42: ([1011],[1279])","41: ([810],[577])"
20221022_132444,170,174,90,89,"170: ([217],[1774])","113: ([891],[778])","94: ([295],[242])","89: ([562],[591])","90: ([821],[1363])","47: ([252],[1034])","44: ([99],[637])","39: ([ 810 1011],[ 577 1279])"
20221022_132445,186,175,90,89,"186: ([217],[1774])","107: ([891],[778])","89: ([562],[591])","88: ([295],[242])","90: ([821],[1363])","46: ([99],[637])","39: ([ 810 1011],[ 577 1279])","39: ([ 810 1011],[ 577 1279])"
20221022_132445,180,175,83,89,"180: ([217],[1774])","108: ([891],[778])","96: ([295],[242])","87: ([562],[591])","83: ([821],[1363])","43: ([99],[637])","41: ([1341],[719])","39: ([492],[1243])"
20221022_132445,172,175,91,89,"172: ([217],[1774])","105: ([891],[778])","99: ([295],[242])","84: ([562],[591])","91: ([821],[1363])","43: ([1011],[1279])","41: ([1341],[719])","38: ([99],[637])"
20221022_132445,163,174,89,89,"163: ([217],[1774])","114: ([891],[778])","96: ([295],[242])","87: ([562],[591])","89: ([821],[1363])","46: ([1341],[719])","43: ([99],[637])","41: ([252],[1034])"
20221022_132445,181,175,82,88,"181: ([217],[1774])","105: ([891],[778])","91: ([562],[591])","89: ([295],[242])","82: ([821],[1363])","43: ([252],[1034])","42: ([  99 1341],[637 719])","42: ([  99 1341],[637 719])"
20221022_132446,185,175,88,88,"185: ([217],[1774])","114: ([891],[778])","98: ([295],[242])","95: ([562],[591])","88: ([821],[1363])","43: ([1341],[719])","42: ([  99 1011],[ 637 1279])","42: ([  99 1011],[ 637 1279])"
20221022_132446,175,175,97,89,"175: ([217],[1774])","105: ([891],[778])","102: ([295],[242])","89: ([562],[591])","97: ([821],[1363])","46: ([99],[637])","43: ([1341],[719])","41: ([158 810],[ 95 577])"
20221022_132446,185,175,88,89,"185: ([217],[1774])","112: ([891],[778])","91: ([295],[242])","88: ([562],[591])","88: ([821],[1363])","47: ([1011],[1279])","45: ([99],[637])","43: ([252],[1034])"
20221022_132446,179,176,99,89,"179: ([217],[1774])","110: ([891],[778])","96: ([295],[242])","88: ([562],[591])","99: ([821],[1363])","43: ([1011 1341],[1279  719])","43: ([1011 1341],[1279  719])","41: ([99],[637])"
20221022_132447,168,175,97,89,"168: ([217],[1774])","106: ([891],[778])","94: ([295],[242])","86: ([562],[591])","97: ([821],[1363])","43: ([  99 1341],[637 719])","43: ([  99 1341],[637 719])","38: ([ 158 1011],[  95 1279])"
20221022_132447,170,175,89,89,"170: ([217],[1774])","108: ([891],[778])","97: ([295],[242])","94: ([562],[591])","89: ([821],[1363])","42: ([252],[1034])","41: ([99],[637])","39: ([1011],[1279])"
