Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean
20221022_104435,255,255,255,15
20221022_104435,255,255,255,15
20221022_104435,255,255,255,16
20221022_104435,255,255,255,16
20221022_104435,255,255,255,16
20221022_104435,255,255,255,16
20221022_104435,255,255,255,16
20221022_104435,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104436,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104437,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104438,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104439,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104440,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104441,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104442,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104443,255,255,255,16
20221022_104444,255,255,255,16
20221022_104444,255,255,255,16
20221022_104444,255,255,255,16
