Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean
20221022_120957,144,144,66,66
20221022_120957,145,144,77,71
20221022_120957,152,147,78,73
20221022_120957,145,146,67,72
20221022_120958,149,147,70,71
20221022_120958,141,146,71,71
20221022_120958,152,146,69,71
20221022_120958,140,146,77,71
20221022_120958,144,145,73,72
20221022_120958,136,144,75,72
20221022_120958,146,144,71,72
20221022_120958,140,144,74,72
20221022_120958,144,144,75,72
20221022_120958,143,144,77,72
20221022_120958,143,144,70,72
20221022_120959,148,144,84,73
20221022_120959,145,144,72,73
20221022_120959,152,144,77,73
20221022_120959,145,144,67,73
20221022_120959,144,144,71,73
20221022_120959,144,144,77,73
20221022_120959,153,145,78,73
20221022_120959,139,144,79,73
20221022_120959,139,144,72,73
20221022_120959,144,144,72,73
20221022_120959,148,144,71,73
20221022_121000,140,144,76,73
20221022_121000,153,144,72,73
20221022_121000,148,145,63,73
20221022_121000,152,145,74,73
20221022_121000,143,145,68,73
20221022_121000,137,144,74,73
20221022_121000,138,144,72,73
20221022_121000,153,144,72,72
20221022_121000,137,144,74,73
20221022_121000,149,144,79,73
20221022_121000,148,144,75,73
20221022_121001,153,145,73,73
20221022_121001,158,145,74,73
20221022_121001,152,145,76,73
20221022_121001,148,145,79,73
20221022_121001,149,145,74,73
20221022_121001,150,145,69,73
20221022_121001,145,145,73,73
20221022_121001,141,145,68,73
20221022_121001,149,145,83,73
20221022_121001,151,145,78,73
20221022_121001,153,146,75,73
20221022_121002,145,146,74,73
20221022_121002,141,145,70,73
20221022_121002,143,145,75,73
20221022_121002,143,145,73,73
20221022_121002,151,146,72,73
20221022_121002,136,145,72,73
20221022_121002,145,145,75,73
20221022_121002,148,145,71,73
20221022_121002,146,145,73,73
20221022_121002,135,145,71,73
20221022_121003,146,145,83,73
20221022_121003,145,145,78,73
20221022_121003,148,145,75,73
20221022_121003,153,145,82,74
20221022_121003,151,146,69,74
20221022_121003,148,146,82,74
20221022_121003,155,146,82,74
20221022_121003,156,146,75,74
20221022_121003,155,146,83,74
20221022_121003,153,147,66,74
20221022_121003,145,146,83,74
20221022_121004,149,146,74,74
20221022_121004,147,147,71,74
20221022_121004,144,147,70,74
20221022_121004,136,146,79,74
20221022_121004,154,146,85,74
20221022_121004,148,147,87,74
20221022_121004,145,147,69,74
20221022_121004,152,147,82,74
20221022_121004,128,147,75,74
20221022_121004,139,146,75,74
20221022_121004,149,146,75,75
20221022_121005,152,146,76,75
20221022_121005,155,147,74,75
20221022_121005,157,147,70,75
20221022_121005,145,147,75,75
20221022_121005,153,147,78,75
20221022_121005,153,147,70,75
20221022_121005,148,147,73,75
20221022_121005,146,147,68,75
20221022_121005,153,147,72,75
20221022_121005,145,147,72,75
20221022_121005,144,147,79,75
20221022_121006,149,147,71,74
20221022_121006,135,147,70,74
20221022_121006,151,147,73,74
20221022_121006,150,147,79,75
20221022_121006,157,147,72,75
20221022_121006,137,147,76,75
20221022_121006,148,147,75,74
20221022_121006,151,147,79,75
20221022_121006,155,147,75,75
20221022_121006,149,147,79,75
20221022_121006,154,147,71,75
20221022_121007,149,147,80,75
20221022_121007,151,147,70,75
20221022_121007,144,148,79,75
20221022_121007,166,148,70,75
20221022_121007,152,148,67,75
20221022_121007,148,148,77,75
20221022_121007,143,148,82,75
20221022_121007,157,148,77,75
20221022_121007,145,148,71,75
20221022_121007,146,148,76,75
20221022_121008,157,149,82,75
20221022_121008,147,148,73,75
20221022_121008,154,149,70,75
20221022_121008,138,148,76,75
20221022_121008,150,148,82,75
20221022_121008,154,148,79,75
20221022_121008,153,148,75,75
20221022_121008,136,148,72,75
20221022_121008,163,148,76,75
20221022_121008,155,148,66,74
20221022_121008,154,149,74,75
20221022_121009,153,149,79,75
20221022_121009,139,149,77,74
20221022_121009,152,149,77,74
20221022_121009,164,149,78,74
20221022_121009,157,149,83,74
20221022_121009,150,150,74,74
20221022_121009,145,150,76,74
20221022_121009,151,150,82,75
20221022_121009,154,150,73,74
20221022_121009,154,150,79,75
20221022_121009,159,150,80,75
20221022_121010,152,150,75,75
20221022_121010,152,150,89,75
20221022_121010,156,150,76,75
20221022_121010,145,150,78,75
20221022_121010,144,150,75,75
20221022_121010,144,150,78,75
20221022_121010,145,150,87,76
20221022_121010,164,150,74,76
20221022_121010,151,150,77,76
20221022_121010,145,150,77,76
20221022_121010,152,150,68,76
20221022_121011,145,150,70,76
20221022_121011,149,150,79,76
20221022_121011,152,150,84,76
20221022_121011,145,150,79,76
20221022_121011,144,150,84,76
20221022_121011,143,150,79,76
20221022_121011,156,150,75,76
20221022_121011,150,150,78,76
20221022_121011,145,150,84,76
20221022_121011,152,150,70,76
20221022_121011,138,150,80,76
20221022_121012,145,149,79,77
20221022_121012,148,149,71,77
20221022_121012,141,149,76,77
20221022_121012,150,149,82,77
20221022_121012,141,149,74,77
20221022_121012,143,149,80,77
20221022_121012,151,149,75,77
20221022_121012,159,149,77,77
20221022_121012,147,149,79,77
20221022_121012,148,149,76,77
20221022_121012,145,149,85,77
20221022_121013,141,149,84,77
20221022_121013,152,149,73,77
20221022_121013,151,149,83,77
20221022_121013,158,149,78,77
20221022_121013,148,149,78,77
20221022_121013,161,149,78,77
20221022_121013,156,149,76,78
20221022_121013,150,149,70,77
20221022_121013,149,149,78,77
20221022_121013,157,149,78,77
20221022_121014,154,149,67,77
20221022_121014,147,149,82,77
20221022_121014,149,149,78,77
20221022_121014,155,149,79,77
20221022_121014,154,149,72,77
20221022_121014,149,149,68,77
20221022_121014,155,149,78,77
20221022_121014,153,149,80,77
20221022_121014,158,149,73,77
20221022_121014,147,149,73,77
20221022_121014,150,149,79,77
20221022_121015,151,149,77,77
20221022_121015,141,149,75,77
20221022_121015,158,149,77,77
20221022_121015,139,149,79,76
20221022_121015,147,149,76,77
20221022_121015,163,149,80,77
20221022_121015,144,149,86,77
20221022_121015,156,149,82,77
20221022_121015,149,149,71,77
20221022_121015,146,149,75,77
20221022_121015,149,149,77,77
20221022_121016,149,149,76,77
20221022_121016,154,149,78,77
20221022_121016,152,150,76,77
20221022_121016,151,149,68,76
20221022_121016,155,150,65,76
20221022_121016,146,150,73,76
20221022_121016,153,150,79,76
20221022_121016,152,150,84,76
20221022_121016,151,150,74,76
20221022_121016,155,150,76,76
20221022_121016,160,150,77,76
20221022_121017,151,150,72,76
20221022_121017,147,151,79,76
20221022_121017,158,151,73,76
20221022_121017,148,151,72,76
20221022_121017,158,151,82,76
20221022_121017,146,151,78,76
20221022_121017,155,151,72,76
20221022_121017,150,151,72,76
20221022_121017,151,151,83,76
20221022_121017,146,151,76,76
20221022_121017,158,151,78,76
20221022_121018,148,151,77,76
20221022_121018,150,151,79,76
20221022_121018,158,151,77,76
20221022_121018,163,151,77,76
20221022_121018,151,151,76,76
20221022_121018,148,151,78,76
20221022_121018,141,151,72,76
20221022_121018,143,151,78,76
20221022_121018,146,151,82,76
20221022_121018,146,151,71,76
20221022_121019,155,151,76,76
20221022_121019,150,150,78,76
20221022_121019,149,150,83,76
20221022_121019,161,151,75,76
20221022_121019,156,151,76,76
20221022_121019,149,150,88,76
20221022_121019,159,151,74,76
20221022_121019,146,151,84,76
20221022_121019,164,151,76,76
20221022_121019,154,151,77,76
20221022_121019,150,151,79,76
20221022_121020,160,151,76,76
20221022_121020,135,151,77,76
