Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,CameraA Max1,CameraA Max2,CameraA Max3,CameraA Max4,CameraB Max1,CameraB Max2,CameraB Max3,CameraB Max4
20221022_133902,3769,3910,159,151,"3769: ([673],[578])","3733: ([672],[578])","3589: ([673],[579])","3551: ([672],[579])","159: ([217],[57])","93: ([891],[1053])","80: ([295],[1589])","74: ([562],[1240])"
20221022_133902,3775,3906,145,150,"3775: ([673],[578])","3715: ([672],[578])","3630: ([672],[579])","3547: ([673],[579])","145: ([217],[57])","96: ([891],[1053])","83: ([295],[1589])","66: ([562],[1240])"
20221022_133902,3855,3904,155,151,"3855: ([673],[578])","3777: ([672],[578])","3572: ([673],[579])","3570: ([672],[579])","155: ([217],[57])","93: ([891],[1053])","83: ([295],[1589])","80: ([562],[1240])"
20221022_133902,3817,3902,154,151,"3817: ([673],[578])","3758: ([672],[578])","3581: ([673],[579])","3551: ([672],[579])","154: ([217],[57])","89: ([891],[1053])","85: ([295],[1589])","79: ([562],[1240])"
20221022_133902,3785,3899,153,151,"3785: ([673],[578])","3777: ([672],[578])","3564: ([673],[579])","3527: ([672],[579])","153: ([217],[57])","95: ([891],[1053])","86: ([295],[1589])","73: ([562],[1240])"
20221022_133903,3796,3896,151,151,"3796: ([673],[578])","3782: ([672],[578])","3601: ([672],[579])","3572: ([673],[579])","151: ([217],[57])","100: ([891],[1053])","83: ([295],[1589])","72: ([562],[1240])"
20221022_133903,3791,3894,164,151,"3791: ([673],[578])","3733: ([672],[578])","3582: ([673],[579])","3578: ([672],[579])","164: ([217],[57])","94: ([891],[1053])","83: ([295],[1589])","77: ([562],[1240])"
20221022_133903,3795,3892,156,151,"3795: ([672],[578])","3770: ([673],[578])","3595: ([672],[579])","3584: ([673],[579])","156: ([217],[57])","95: ([891],[1053])","87: ([295],[1589])","80: ([562],[1240])"
20221022_133903,3808,3890,151,151,"3808: ([673],[578])","3776: ([672],[578])","3616: ([673],[579])","3534: ([672],[579])","151: ([217],[57])","95: ([891],[1053])","92: ([295],[1589])","75: ([562],[1240])"
20221022_133904,3774,3887,150,151,"3774: ([672],[578])","3764: ([673],[578])","3604: ([672],[579])","3578: ([673],[579])","150: ([217],[57])","93: ([891],[1053])","85: ([295],[1589])","75: ([562],[1240])"
20221022_133904,3758,3884,150,151,"3758: ([673],[578])","3736: ([672],[578])","3587: ([673],[579])","3586: ([672],[579])","150: ([217],[57])","93: ([891],[1053])","88: ([295],[1589])","76: ([562],[1240])"
20221022_133904,3787,3882,160,151,"3787: ([672],[578])","3784: ([673],[578])","3626: ([672],[579])","3600: ([673],[579])","160: ([217],[57])","88: ([295],[1589])","85: ([562],[1240])","84: ([891],[1053])"
20221022_133904,3801,3880,161,151,"3801: ([672],[578])","3770: ([673],[578])","3633: ([673],[579])","3598: ([672],[579])","161: ([217],[57])","93: ([891],[1053])","84: ([295],[1589])","80: ([562],[1240])"
20221022_133904,3831,3879,158,152,"3831: ([673],[578])","3770: ([672],[578])","3624: ([672],[579])","3592: ([673],[579])","158: ([217],[57])","95: ([891],[1053])","87: ([295],[1589])","73: ([562],[1240])"
