Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,CameraA Max1,CameraA Max2,CameraA Max3,CameraA Max4,CameraB Max1,CameraB Max2,CameraB Max3,CameraB Max4
20221022_133911,3867,3823,149,154,"3867: ([673],[578])","3712: ([672],[578])","3624: ([673],[579])","3619: ([672],[579])","149: ([217],[57])","95: ([891],[1053])","89: ([295],[1589])","84: ([562],[1240])"
20221022_133912,3824,3822,150,154,"3824: ([673],[578])","3812: ([672],[578])","3667: ([673],[579])","3626: ([672],[579])","150: ([217],[57])","95: ([891],[1053])","91: ([295],[1589])","82: ([562],[1240])"
20221022_133912,3839,3823,146,153,"3839: ([672],[578])","3794: ([673],[578])","3658: ([672],[579])","3612: ([673],[579])","146: ([217],[57])","90: ([891],[1053])","85: ([295],[1589])","82: ([562],[1240])"
20221022_133912,3807,3821,156,153,"3807: ([673],[578])","3776: ([672],[578])","3645: ([672],[579])","3608: ([673],[579])","156: ([217],[57])","96: ([891],[1053])","82: ([295],[1589])","74: ([562],[1240])"
20221022_133912,3824,3820,158,153,"3824: ([673],[578])","3800: ([672],[578])","3634: ([673],[579])","3618: ([672],[579])","158: ([217],[57])","92: ([891],[1053])","82: ([295],[1589])","79: ([562],[1240])"
20221022_133912,3795,3821,154,153,"3795: ([672],[578])","3750: ([673],[578])","3621: ([672],[579])","3593: ([673],[579])","154: ([217],[57])","90: ([891],[1053])","84: ([295],[1589])","73: ([562],[1240])"
20221022_133913,3837,3822,167,154,"3837: ([672],[578])","3811: ([673],[578])","3667: ([673],[579])","3647: ([672],[579])","167: ([217],[57])","92: ([891],[1053])","89: ([295],[1589])","82: ([562],[1240])"
20221022_133913,3816,3822,146,154,"3816: ([673],[578])","3782: ([672],[578])","3667: ([673],[579])","3633: ([672],[579])","146: ([217],[57])","91: ([891],[1053])","83: ([295],[1589])","78: ([562],[1240])"
20221022_133913,3880,3824,167,154,"3880: ([673],[578])","3832: ([672],[578])","3670: ([672],[579])","3640: ([673],[579])","167: ([217],[57])","90: ([891],[1053])","83: ([295],[1589])","70: ([562],[1240])"
20221022_133913,3877,3826,164,154,"3877: ([673],[578])","3765: ([672],[578])","3711: ([672],[579])","3618: ([673],[579])","164: ([217],[57])","97: ([891],[1053])","87: ([295],[1589])","77: ([562],[1240])"
20221022_133914,3826,3826,158,154,"3826: ([673],[578])","3788: ([672],[578])","3681: ([672],[579])","3632: ([673],[579])","158: ([217],[57])","98: ([891],[1053])","89: ([562],[1240])","86: ([295],[1589])"
20221022_133914,3833,3826,157,154,"3833: ([673],[578])","3825: ([672],[578])","3624: ([672],[579])","3620: ([673],[579])","157: ([217],[57])","102: ([891],[1053])","90: ([295],[1589])","74: ([562],[1240])"
20221022_133914,3847,3827,146,154,"3847: ([673],[578])","3778: ([672],[578])","3592: ([673],[579])","3588: ([672],[579])","146: ([217],[57])","95: ([891],[1053])","84: ([295],[1589])","72: ([562],[1240])"
20221022_133914,3812,3828,149,154,"3812: ([672],[578])","3792: ([673],[578])","3688: ([672],[579])","3635: ([673],[579])","149: ([217],[57])","100: ([891],[1053])","88: ([295],[1589])","80: ([562],[1240])"
20221022_133914,3844,3829,156,154,"3844: ([672],[578])","3819: ([673],[578])","3671: ([672],[579])","3615: ([673],[579])","156: ([217],[57])","97: ([891],[1053])","92: ([295],[1589])","69: ([562],[1240])"
20221022_133915,3831,3829,149,154,"3831: ([673],[578])","3784: ([672],[578])","3659: ([673],[579])","3566: ([672],[579])","149: ([217],[57])","87: ([891],[1053])","84: ([562],[1240])","83: ([295],[1589])"
20221022_133915,3795,3829,143,154,"3795: ([673],[578])","3767: ([672],[578])","3639: ([673],[579])","3575: ([672],[579])","143: ([217],[57])","103: ([891],[1053])","86: ([295],[1589])","80: ([562],[1240])"
20221022_133915,3859,3831,164,154,"3859: ([673],[578])","3819: ([672],[578])","3622: ([673],[579])","3621: ([672],[579])","164: ([217],[57])","98: ([891],[1053])","89: ([295],[1589])","78: ([562],[1240])"
20221022_133915,3862,3833,157,154,"3862: ([672],[578])","3823: ([673],[578])","3671: ([673],[579])","3635: ([672],[579])","157: ([217],[57])","100: ([891],[1053])","89: ([295],[1589])","76: ([562],[1240])"
20221022_133916,3925,3835,163,154,"3925: ([673],[578])","3841: ([672],[578])","3691: ([673],[579])","3666: ([672],[579])","163: ([217],[57])","92: ([295 891],[1589 1053])","92: ([295 891],[1589 1053])","80: ([562],[1240])"
20221022_133916,3826,3836,163,154,"3826: ([672],[578])","3816: ([673],[578])","3674: ([672],[579])","3654: ([673],[579])","163: ([217],[57])","98: ([891],[1053])","95: ([295],[1589])","77: ([562],[1240])"
20221022_133916,3843,3836,145,154,"3843: ([673],[578])","3760: ([672],[578])","3613: ([673],[579])","3581: ([672],[579])","145: ([217],[57])","92: ([891],[1053])","90: ([295],[1589])","76: ([562],[1240])"
20221022_133916,3850,3837,163,154,"3850: ([673],[578])","3778: ([672],[578])","3658: ([672],[579])","3570: ([673],[579])","163: ([217],[57])","93: ([891],[1053])","80: ([295 562],[1589 1240])","80: ([295 562],[1589 1240])"
20221022_133916,3789,3838,152,154,"3789: ([672],[578])","3785: ([673],[578])","3629: ([672],[579])","3602: ([673],[579])","152: ([217],[57])","93: ([295 891],[1589 1053])","93: ([295 891],[1589 1053])","80: ([562],[1240])"
20221022_133917,3809,3836,157,154,"3809: ([672],[578])","3804: ([673],[578])","3646: ([673],[579])","3613: ([672],[579])","157: ([217],[57])","92: ([891],[1053])","83: ([295],[1589])","78: ([562],[1240])"
20221022_133917,3829,3837,168,154,"3829: ([673],[578])","3771: ([672],[578])","3650: ([673],[579])","3570: ([672],[579])","168: ([217],[57])","90: ([295],[1589])","88: ([891],[1053])","71: ([562],[1240])"
20221022_133917,3825,3838,147,154,"3825: ([672],[578])","3781: ([673],[578])","3622: ([673],[579])","3621: ([672],[579])","147: ([217],[57])","93: ([891],[1053])","88: ([295],[1589])","82: ([562],[1240])"
20221022_133917,3834,3838,156,154,"3834: ([672],[578])","3819: ([673],[578])","3664: ([672],[579])","3579: ([673],[579])","156: ([217],[57])","99: ([891],[1053])","83: ([295],[1589])","82: ([562],[1240])"
20221022_133917,3839,3839,163,154,"3839: ([673],[578])","3805: ([672],[578])","3625: ([673],[579])","3583: ([672],[579])","163: ([217],[57])","93: ([891],[1053])","84: ([295],[1589])","78: ([562],[1240])"
20221022_133918,3839,3839,154,154,"3839: ([673],[578])","3745: ([672],[578])","3690: ([672],[579])","3631: ([673],[579])","154: ([217],[57])","96: ([891],[1053])","88: ([295],[1589])","72: ([562],[1240])"
20221022_133918,3849,3838,156,154,"3849: ([673],[578])","3715: ([672],[578])","3647: ([672],[579])","3613: ([673],[579])","156: ([217],[57])","94: ([891],[1053])","88: ([295],[1589])","74: ([562],[1240])"
20221022_133918,3790,3837,156,155,"3790: ([673],[578])","3776: ([672],[578])","3603: ([672],[579])","3591: ([673],[579])","156: ([217],[57])","94: ([891],[1053])","89: ([295],[1589])","77: ([562],[1240])"
20221022_133918,3870,3838,166,155,"3870: ([673],[578])","3798: ([672],[578])","3614: ([672],[579])","3595: ([673],[579])","166: ([217],[57])","96: ([891],[1053])","89: ([295],[1589])","74: ([562],[1240])"
20221022_133919,3798,3837,156,155,"3798: ([673],[578])","3754: ([672],[578])","3628: ([673],[579])","3612: ([672],[579])","156: ([217],[57])","99: ([891],[1053])","86: ([295],[1589])","77: ([562],[1240])"
20221022_133919,3817,3836,151,155,"3817: ([673],[578])","3763: ([672],[578])","3610: ([672],[579])","3597: ([673],[579])","151: ([217],[57])","94: ([891],[1053])","84: ([295],[1589])","74: ([562],[1240])"
20221022_133919,3853,3836,152,155,"3853: ([673],[578])","3761: ([672],[578])","3655: ([672],[579])","3611: ([673],[579])","152: ([217],[57])","88: ([295],[1589])","87: ([891],[1053])","84: ([562],[1240])"
20221022_133919,3841,3836,165,155,"3841: ([673],[578])","3761: ([672],[578])","3626: ([673],[579])","3562: ([672],[579])","165: ([217],[57])","94: ([891],[1053])","91: ([295],[1589])","83: ([562],[1240])"
20221022_133919,3862,3837,161,155,"3862: ([673],[578])","3819: ([672],[578])","3597: ([672],[579])","3566: ([673],[579])","161: ([217],[57])","95: ([891],[1053])","85: ([295],[1589])","80: ([562],[1240])"
20221022_133920,3847,3837,153,155,"3847: ([673],[578])","3752: ([672],[578])","3652: ([672],[579])","3605: ([673],[579])","153: ([217],[57])","94: ([891],[1053])","85: ([562],[1240])","83: ([295],[1589])"
20221022_133920,3813,3835,146,155,"3813: ([673],[578])","3776: ([672],[578])","3609: ([672],[579])","3606: ([673],[579])","146: ([217],[57])","90: ([891],[1053])","80: ([295],[1589])","78: ([562],[1240])"
20221022_133920,3861,3837,157,155,"3861: ([673],[578])","3762: ([672],[578])","3690: ([673],[579])","3624: ([672],[579])","157: ([217],[57])","93: ([891],[1053])","89: ([295],[1589])","75: ([562],[1240])"
20221022_133920,3801,3837,163,155,"3801: ([673],[578])","3783: ([672],[578])","3600: ([673],[579])","3585: ([672],[579])","163: ([217],[57])","100: ([891],[1053])","90: ([295],[1589])","75: ([562],[1240])"
20221022_133921,3811,3836,167,155,"3811: ([673],[578])","3749: ([672],[578])","3610: ([673],[579])","3595: ([672],[579])","167: ([217],[57])","94: ([891],[1053])","86: ([295],[1589])","80: ([562],[1240])"
20221022_133921,3819,3835,168,156,"3819: ([673],[578])","3787: ([672],[578])","3618: ([673],[579])","3595: ([672],[579])","168: ([217],[57])","94: ([891],[1053])","82: ([295],[1589])","77: ([562],[1240])"
20221022_133921,3805,3833,158,156,"3805: ([673],[578])","3780: ([672],[578])","3646: ([673],[579])","3614: ([672],[579])","158: ([217],[57])","92: ([891],[1053])","91: ([295],[1589])","78: ([562],[1240])"
20221022_133921,3827,3832,156,156,"3827: ([673],[578])","3808: ([672],[578])","3633: ([673],[579])","3587: ([672],[579])","156: ([217],[57])","93: ([891],[1053])","79: ([295],[1589])","78: ([562],[1240])"
20221022_133921,3821,3832,168,156,"3821: ([673],[578])","3746: ([672],[578])","3572: ([672],[579])","3570: ([673],[579])","168: ([217],[57])","94: ([891],[1053])","87: ([295],[1589])","79: ([562],[1240])"
20221022_133922,3788,3831,159,156,"3788: ([673],[578])","3764: ([672],[578])","3625: ([673],[579])","3618: ([672],[579])","159: ([217],[57])","89: ([891],[1053])","88: ([295],[1589])","83: ([562],[1240])"
20221022_133922,3837,3832,148,156,"3837: ([672],[578])","3776: ([673],[578])","3628: ([673],[579])","3603: ([672],[579])","148: ([217],[57])","100: ([891],[1053])","88: ([295],[1589])","70: ([562],[1240])"
20221022_133922,3838,3832,164,156,"3838: ([673],[578])","3821: ([672],[578])","3661: ([673],[579])","3602: ([672],[579])","164: ([217],[57])","93: ([891],[1053])","89: ([295],[1589])","75: ([562],[1240])"
20221022_133922,3831,3832,160,156,"3831: ([672],[578])","3825: ([673],[578])","3641: ([673],[579])","3636: ([672],[579])","160: ([217],[57])","95: ([891],[1053])","89: ([295],[1589])","76: ([562],[1240])"
20221022_133923,3863,3832,152,156,"3863: ([672],[578])","3823: ([673],[578])","3624: ([672],[579])","3603: ([673],[579])","152: ([217],[57])","93: ([891],[1053])","91: ([295],[1589])","78: ([562],[1240])"
20221022_133923,3861,3833,160,157,"3861: ([673],[578])","3806: ([672],[578])","3649: ([673],[579])","3585: ([672],[579])","160: ([217],[57])","104: ([891],[1053])","89: ([295],[1589])","75: ([562],[1240])"
20221022_133923,3796,3832,155,157,"3796: ([673],[578])","3735: ([672],[578])","3581: ([672],[579])","3578: ([673],[579])","155: ([217],[57])","87: ([891],[1053])","86: ([295],[1589])","85: ([562],[1240])"
20221022_133923,3833,3832,159,157,"3833: ([673],[578])","3755: ([672],[578])","3629: ([672],[579])","3598: ([673],[579])","159: ([217],[57])","98: ([891],[1053])","82: ([295],[1589])","78: ([562],[1240])"
20221022_133924,3784,3832,155,157,"3784: ([673],[578])","3756: ([672],[578])","3631: ([672],[579])","3605: ([673],[579])","155: ([217],[57])","89: ([891],[1053])","85: ([295],[1589])","78: ([562],[1240])"
20221022_133924,3833,3832,165,157,"3833: ([672],[578])","3800: ([673],[578])","3659: ([672],[579])","3590: ([673],[579])","165: ([217],[57])","107: ([891],[1053])","85: ([295],[1589])","80: ([562],[1240])"
20221022_133924,3792,3831,156,157,"3792: ([673],[578])","3750: ([672],[578])","3608: ([673],[579])","3592: ([672],[579])","156: ([217],[57])","90: ([295],[1589])","88: ([891],[1053])","78: ([562],[1240])"
20221022_133924,3817,3832,151,157,"3817: ([672],[578])","3816: ([673],[578])","3638: ([672],[579])","3598: ([673],[579])","151: ([217],[57])","90: ([891],[1053])","80: ([295],[1589])","79: ([562],[1240])"
