Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,CameraA Max1,CameraA Max2,CameraA Max3,CameraA Max4,CameraA Max5,CameraB Max1,CameraB Max2,CameraB Max3,CameraB Max4,CameraB Max5
20221022_130318,77,77,159,159
20221022_130318,87,82,164,161
20221022_130318,93,85,165,162
20221022_130318,83,85,159,161
20221022_130318,90,86,173,164
20221022_130318,85,85,163,163
20221022_130318,94,87,167,164
20221022_130319,85,86,167,164
20221022_130319,85,86,165,164
20221022_130319,93,87,169,165
20221022_130319,90,87,167,165
20221022_130319,88,87,167,165
20221022_130319,82,87,165,165
20221022_130319,84,86,175,166
20221022_130319,80,86,175,166
20221022_130319,85,86,172,167
20221022_130320,85,86,173,167
20221022_130320,82,86,157,166
20221022_130320,80,85,173,167
20221022_130320,92,86,164,166
20221022_130320,78,85,171,167
20221022_130320,82,85,161,166
20221022_130320,91,85,172,167
20221022_130320,87,85,175,167
20221022_130320,80,85,180,167
20221022_130321,96,85,173,168
20221022_130321,85,85,160,167
20221022_130321,87,85,175,168
20221022_130321,79,85,180,168
20221022_130321,89,85,170,168
20221022_130321,88,85,178,168
20221022_130321,88,85,183,169
20221022_130321,82,85,170,169
20221022_130321,94,86,172,169
20221022_130322,87,86,160,169
20221022_130322,88,86,172,169
20221022_130322,87,86,173,169
20221022_130322,93,86,161,169
20221022_130322,88,86,161,168
20221022_130322,88,86,171,168
20221022_130322,80,86,171,168
20221022_130322,91,86,179,169
20221022_130323,82,86,171,169
20221022_130323,94,86,172,169
20221022_130323,86,86,161,169
20221022_130323,84,86,170,169
20221022_130323,92,86,172,169
20221022_130323,87,86,169,169
20221022_130323,90,86,174,169
20221022_130323,90,86,173,169
20221022_130323,83,86,165,169
20221022_130324,80,86,167,169
20221022_130324,87,86,176,169
20221022_130324,87,86,175,169
20221022_130324,94,86,171,170
20221022_130324,85,86,165,169
20221022_130324,87,86,164,169
20221022_130324,80,86,166,169
20221022_130324,93,86,172,170
20221022_130324,80,86,165,170
20221022_130325,85,86,168,170
20221022_130325,85,86,179,170
20221022_130325,94,86,164,170
20221022_130325,82,86,164,170
20221022_130325,93,86,166,170
20221022_130325,85,86,167,169
20221022_130325,82,86,155,169
20221022_130325,83,86,163,169
20221022_130325,84,86,163,169
20221022_130326,79,86,187,169
20221022_130326,92,86,160,169
20221022_130326,84,86,165,169
20221022_130326,90,86,175,169
20221022_130326,89,86,164,169
20221022_130326,85,86,169,169
20221022_130326,99,87,168,169
20221022_130326,92,87,165,169
20221022_130326,88,87,167,169
20221022_130327,88,87,176,169
20221022_130327,90,87,173,169
20221022_130327,89,87,159,168
20221022_130327,96,87,163,168
20221022_130327,87,87,163,168
20221022_130327,89,87,158,168
20221022_130327,96,87,175,168
20221022_130327,86,87,173,168
20221022_130327,89,87,166,168
20221022_130328,91,87,169,168
20221022_130328,86,87,173,168
20221022_130328,88,87,173,168
20221022_130328,89,87,168,168
20221022_130328,80,87,165,168
20221022_130328,89,87,175,168
20221022_130328,85,87,172,168
20221022_130328,99,87,164,168
20221022_130328,89,87,177,168
20221022_130329,91,87,159,168
20221022_130329,87,87,161,168
20221022_130329,86,87,165,168
20221022_130329,86,87,177,168
20221022_130329,89,87,163,167
20221022_130329,74,87,165,167
20221022_130329,91,87,167,167
20221022_130329,84,87,172,167
20221022_130329,84,87,158,167
20221022_130330,84,87,168,167
20221022_130330,94,87,161,167
20221022_130330,92,87,161,167
20221022_130330,87,87,165,167
20221022_130330,93,87,166,167
20221022_130330,88,87,171,167
20221022_130330,88,88,172,167
20221022_130330,90,88,163,167
20221022_130331,86,87,159,166
20221022_130331,83,88,168,167
20221022_130331,86,87,166,167
20221022_130331,94,88,168,167
20221022_130331,86,88,164,167
20221022_130331,84,88,157,167
20221022_130331,87,88,174,167
20221022_130331,85,88,177,167
20221022_130331,92,88,175,167
20221022_130332,92,88,174,167
20221022_130332,84,88,171,167
20221022_130332,83,88,166,167
20221022_130332,89,88,166,167
20221022_130332,95,88,165,167
20221022_130332,88,88,175,167
20221022_130332,87,88,164,167
20221022_130332,83,88,175,167
20221022_130333,88,88,173,167
20221022_130333,86,87,166,167
20221022_130333,80,87,167,167
20221022_130333,91,87,180,168
20221022_130333,89,87,170,168
20221022_130333,82,87,165,168
20221022_130333,84,87,189,168
20221022_130333,88,87,165,168
20221022_130333,83,87,174,168
20221022_130334,89,87,179,168
20221022_130334,98,87,172,168
20221022_130334,86,87,175,168
20221022_130334,82,87,174,168
20221022_130334,90,87,174,168
20221022_130334,97,87,170,168
20221022_130334,80,87,174,169
20221022_130334,86,87,181,169
20221022_130334,86,87,177,169
20221022_130335,90,87,171,169
20221022_130335,93,87,171,169
20221022_130335,87,87,172,169
20221022_130335,91,87,164,169
20221022_130335,79,87,170,169
20221022_130335,87,87,169,169
20221022_130335,79,87,166,169
20221022_130335,84,87,168,169
20221022_130335,86,87,172,170
20221022_130336,79,87,164,170
20221022_130336,84,86,170,170
