Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean
20221101_204301,144,144,184,184
20221101_204301,156,150,195,189
20221101_204301,158,152,185,188
20221101_204301,146,151,187,187
20221101_204301,150,150,194,189
20221101_204301,152,151,184,188
20221101_204301,154,151,189,188
20221101_204301,149,151,198,189
20221101_204301,151,151,191,189
20221101_204301,152,151,194,190
20221101_204302,150,151,194,190
20221101_204302,159,151,181,189
20221101_204302,149,151,188,189
20221101_204302,153,151,187,189
20221101_204302,148,151,191,189
20221101_204302,140,150,175,188
20221101_204302,150,150,184,188
20221101_204302,148,150,175,187
20221101_204302,137,149,181,187
20221101_204302,151,149,187,187
20221101_204302,147,149,183,187
20221101_204303,147,149,185,186
20221101_204303,151,149,184,186
20221101_204303,156,149,180,186
20221101_204303,139,149,183,186
20221101_204303,148,149,174,185
20221101_204303,143,149,185,185
20221101_204303,145,149,181,185
20221101_204303,151,149,177,185
20221101_204303,151,149,193,185
20221101_204304,148,149,188,185
20221101_204304,144,148,174,185
20221101_204304,140,148,172,184
20221101_204304,139,148,175,184
20221101_204304,144,148,184,184
20221101_204304,134,147,183,184
20221101_204304,152,148,184,184
20221101_204304,149,148,186,184
20221101_204304,145,147,195,184
20221101_204305,155,148,193,185
20221101_204305,147,148,192,185
20221101_204305,151,148,195,185
20221101_204305,146,148,194,185
20221101_204305,141,147,193,185
20221101_204305,150,148,184,185
20221101_204305,141,147,176,185
20221101_204305,143,147,172,185
20221101_204306,144,147,174,185
20221101_204306,134,147,175,184
20221101_204306,140,147,181,184
20221101_204306,145,147,181,184
20221101_204306,152,147,186,184
20221101_204306,150,147,191,184
20221101_204306,153,147,188,184
20221101_204306,143,147,191,185
20221101_204306,148,147,189,185
20221101_204307,138,147,185,185
20221101_204307,144,147,179,184
20221101_204307,148,147,176,184
20221101_204307,135,146,176,184
20221101_204307,139,146,172,184
20221101_204307,137,146,179,184
20221101_204307,136,146,183,184
20221101_204307,139,146,172,184
20221101_204307,145,146,174,184
20221101_204308,143,146,177,183
20221101_204308,154,146,176,183
20221101_204308,144,146,177,183
20221101_204308,141,146,172,183
20221101_204308,146,146,175,183
20221101_204308,135,146,173,183
20221101_204308,141,146,178,183
20221101_204308,141,146,179,183
20221101_204309,136,145,173,182
20221101_204309,136,145,172,182
20221101_204309,146,145,171,182
20221101_204309,138,145,171,182
20221101_204309,132,145,177,182
20221101_204309,148,145,184,182
20221101_204309,140,145,188,182
20221101_204309,143,145,168,182
20221101_204309,143,145,172,182
20221101_204310,138,145,171,182
20221101_204310,133,145,169,181
20221101_204310,132,144,166,181
20221101_204310,135,144,172,181
20221101_204310,135,144,174,181
20221101_204310,140,144,166,181
20221101_204310,135,144,169,181
20221101_204310,141,144,174,181
20221101_204310,140,144,173,181
20221101_204311,140,144,179,181
20221101_204311,158,144,186,181
20221101_204311,144,144,187,181
20221101_204311,145,144,183,181
20221101_204311,149,144,176,181
20221101_204311,141,144,178,181
20221101_204311,144,144,177,181
20221101_204311,135,144,177,181
20221101_204311,141,144,178,180
20221101_204312,153,144,174,180
20221101_204312,146,144,172,180
20221101_204312,133,144,180,180
20221101_204312,132,144,181,180
20221101_204312,139,144,169,180
20221101_204312,139,143,167,180
20221101_204312,137,143,168,180
20221101_204312,140,143,170,179
20221101_204312,145,143,171,179
20221101_204313,143,143,169,179
20221101_204313,138,143,180,179
20221101_204313,149,143,187,179
20221101_204313,140,143,174,179
20221101_204313,138,143,175,178
20221101_204313,141,142,167,178
20221101_204313,134,142,169,178
20221101_204313,144,142,172,178
20221101_204313,137,142,166,178
20221101_204313,147,142,174,178
20221101_204314,154,142,181,178
20221101_204314,139,142,172,178
20221101_204314,136,142,177,178
20221101_204314,136,142,170,177
20221101_204314,134,142,167,177
20221101_204314,131,142,170,177
20221101_204314,132,142,155,177
20221101_204314,128,141,149,177
20221101_204314,125,141,143,176
20221101_204314,120,141,155,176
20221101_204315,127,141,151,176
20221101_204315,132,141,151,175
20221101_204315,127,140,155,175
20221101_204315,129,140,156,175
20221101_204315,127,140,152,175
20221101_204315,123,140,152,174
20221101_204315,125,140,166,174
20221101_204315,118,140,144,174
20221101_204315,117,139,150,173
20221101_204316,122,139,144,173
20221101_204316,115,139,146,173
20221101_204316,127,138,149,172
20221101_204316,119,138,144,172
20221101_204316,115,138,149,171
20221101_204316,122,137,147,171
20221101_204316,120,137,149,170
20221101_204316,129,137,147,170
20221101_204316,119,137,153,170
20221101_204317,122,137,145,169
20221101_204317,127,136,159,169
20221101_204317,131,136,150,169
20221101_204317,129,136,149,169
20221101_204317,116,136,145,168
20221101_204317,116,136,141,168
20221101_204317,124,135,148,168
20221101_204317,114,135,149,167
20221101_204317,131,135,170,167
20221101_204317,133,135,164,167
20221101_204318,133,135,161,166
20221101_204318,126,135,169,166
20221101_204318,143,134,163,166
20221101_204318,127,134,170,166
20221101_204318,135,134,155,166
20221101_204318,134,134,164,166
20221101_204318,134,134,159,166
20221101_204318,133,134,165,166
20221101_204318,130,134,165,165
20221101_204319,120,134,154,165
20221101_204319,122,134,152,165
20221101_204319,127,133,153,165
20221101_204319,130,133,145,164
20221101_204319,125,133,158,164
20221101_204319,124,133,167,164
20221101_204319,128,133,155,164
20221101_204319,122,133,156,164
20221101_204319,123,133,154,164
20221101_204320,119,132,150,163
20221101_204320,120,132,152,163
20221101_204320,122,132,143,163
20221101_204320,117,132,152,163
20221101_204320,125,132,146,162
20221101_204320,119,131,140,162
20221101_204320,126,131,138,162
20221101_204320,117,131,146,161
20221101_204320,115,131,146,161
20221101_204320,134,131,139,161
20221101_204321,115,131,146,161
20221101_204321,107,130,140,160
20221101_204321,114,130,136,160
20221101_204321,110,130,145,160
20221101_204321,110,130,145,159
20221101_204321,113,129,141,159
20221101_204321,118,129,153,159
20221101_204321,119,129,154,159
20221101_204321,118,128,141,158
20221101_204322,129,128,148,158
20221101_204322,125,128,149,157
20221101_204322,126,128,151,157
20221101_204322,113,128,151,157
20221101_204322,119,127,133,156
20221101_204322,113,127,151,156
20221101_204322,125,127,148,156
20221101_204322,118,127,150,156
20221101_204322,115,126,132,155
20221101_204323,119,126,145,155
20221101_204323,111,126,139,155
20221101_204323,109,126,135,154
20221101_204323,108,125,143,154
20221101_204323,117,125,144,154
20221101_204323,119,125,151,154
20221101_204323,117,125,149,153
20221101_204323,122,124,141,153
20221101_204323,130,124,146,153
20221101_204324,124,124,149,152
20221101_204324,114,124,140,152
20221101_204324,112,124,139,152
20221101_204324,117,123,148,151
20221101_204324,117,123,148,151
20221101_204324,113,123,147,151
20221101_204324,118,123,143,151
20221101_204324,119,122,156,151
20221101_204324,123,122,145,150
20221101_204325,114,122,147,150
20221101_204325,110,122,140,150
20221101_204325,110,121,138,149
20221101_204325,116,121,139,149
20221101_204325,114,121,138,149
20221101_204325,117,121,130,148
20221101_204325,120,121,137,148
20221101_204325,119,121,146,148
20221101_204325,111,121,141,148
20221101_204325,115,121,148,148
20221101_204326,120,120,154,148
20221101_204326,119,120,150,148
20221101_204326,126,120,145,148
20221101_204326,125,120,150,148
20221101_204326,117,120,148,148
20221101_204326,126,120,154,148
20221101_204326,130,120,163,148
20221101_204326,132,120,152,148
20221101_204326,126,121,156,148
20221101_204326,126,121,151,148
20221101_204327,113,120,144,148
20221101_204327,112,120,136,148
20221101_204327,113,120,131,148
20221101_204327,117,120,137,148
20221101_204327,113,120,149,148
20221101_204327,123,120,141,148
20221101_204327,113,120,138,148
20221101_204327,114,120,138,148
20221101_204327,113,120,144,147
20221101_204328,117,120,137,147
20221101_204328,110,120,141,147
20221101_204328,126,120,133,147
20221101_204328,113,120,138,147
20221101_204328,113,120,139,147
20221101_204328,119,120,141,147
20221101_204328,114,119,134,147
20221101_204328,111,119,143,146
20221101_204328,115,119,138,146
20221101_204328,114,119,134,146
20221101_204329,119,119,130,145
20221101_204329,107,119,131,145
20221101_204329,112,118,130,145
20221101_204329,110,118,141,145
20221101_204329,113,118,141,144
20221101_204329,115,118,135,144
20221101_204329,113,117,143,144
20221101_204329,111,117,129,144
20221101_204329,109,117,132,143
20221101_204330,111,117,137,143
20221101_204330,109,117,137,143
20221101_204330,116,117,139,143
20221101_204330,112,117,140,143
20221101_204330,117,117,134,143
20221101_204330,113,116,132,142
20221101_204330,112,116,135,142
20221101_204330,116,116,137,142
20221101_204330,113,116,132,142
20221101_204331,107,116,133,142
20221101_204331,111,116,135,142
20221101_204331,107,116,127,141
20221101_204331,108,116,130,141
20221101_204331,111,116,125,141
20221101_204331,106,116,124,141
20221101_204331,111,115,126,141
20221101_204331,106,115,129,141
20221101_204331,99,115,125,140
20221101_204331,104,115,127,140
