Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,,,,,,,,,,,,
20221101_201132,350,218,502,292,198,281,1.419191919,0.000824572,0.000824572,,421.2765957,401.4285714,0.952886003,0.000553641,0.000553641,
20221101_201132,366,220,514,295,200,284,1.42,0.000808081,0.000808081,,425.5319149,405.7142857,0.953428571,0.000542569,0.000542569,
20221101_201132,355,222,491,297,202,286,1.415841584,-0.004158416,0.004158416,,429.787234,408.5714286,0.950636492,-0.002792079,0.002792079,
20221101_201132,356,224,517,301,204,290,1.421568627,0.005727043,0.005727043,,434.0425532,414.2857143,0.954481793,0.0038453,0.0038453,
20221101_201132,353,226,505,304,206,293,1.422330097,0.00076147,0.00076147,,438.2978723,418.5714286,0.954993065,0.000511272,0.000511272,
20221101_201132,359,230,502,310,210,299,1.423809524,0.001479427,0.001479427,,446.8085106,427.1428571,0.955986395,0.000993329,0.000993329,
20221101_201132,355,232,510,313,212,302,1.424528302,0.000718778,0.000718778,,451.0638298,431.4285714,0.956469003,0.000482608,0.000482608,
20221101_201132,349,234,512,316,214,305,1.425233645,0.000705343,0.000705343,,455.3191489,435.7142857,0.95694259,0.000473587,0.000473587,
20221101_201133,340,235,513,319,215,308,1.43255814,0.007324495,0.007324495,,457.4468085,440,0.961860465,0.004917875,0.004917875,
20221101_201133,351,237,513,322,217,311,1.433179724,0.000621584,0.000621584,,461.7021277,444.2857143,0.962277814,0.000417349,0.000417349,
20221101_201133,373,239,527,326,219,315,1.438356164,0.005176441,0.005176441,,465.9574468,450,0.965753425,0.00347561,0.00347561,
20221101_201133,362,241,524,329,221,318,1.438914027,0.000557863,0.000557863,,470.212766,454.2857143,0.96612799,0.000374565,0.000374565,
20221101_201133,348,243,509,332,223,321,1.439461883,0.000547856,0.000547856,,474.4680851,458.5714286,0.966495836,0.000367846,0.000367846,
20221101_201133,371,247,515,338,227,327,1.440528634,0.001066751,0.001066751,,482.9787234,467.1428571,0.967212083,0.000716247,0.000716247,
20221101_201133,353,249,513,341,229,330,1.441048035,0.000519401,0.000519401,,487.2340426,471.4285714,0.967560823,0.00034874,0.00034874,
20221101_201133,366,251,515,344,231,333,1.441558442,0.000510407,0.000510407,,491.4893617,475.7142857,0.967903525,0.000342702,0.000342702,
20221101_201133,358,253,515,347,233,336,1.442060086,0.000501644,0.000501644,,495.7446809,480,0.968240343,0.000336818,0.000336818,
20221101_201134,355,255,497,350,235,339,1.442553191,0.000493106,0.000493106,,500,484.2857143,0.968571429,0.000331085,0.000331085,
20221101_201134,393,258,527,353,238,342,1.43697479,-0.005578402,0.005578402,,506.3829787,488.5714286,0.96482593,-0.003745498,0.003745498,
20221101_201134,371,262,532,360,242,349,1.44214876,0.00517397,0.00517397,,514.893617,498.5714286,0.968299882,0.003473952,0.003473952,
20221101_201134,375,264,503,363,244,352,1.442622951,0.00047419,0.00047419,,519.1489362,502.8571429,0.968618267,0.000318385,0.000318385,
20221101_201134,358,266,515,366,246,355,1.443089431,0.00046648,0.00046648,,523.4042553,507.1428571,0.968931475,0.000313208,0.000313208,
20221101_201134,360,268,513,369,248,358,1.443548387,0.000458956,0.000458956,,527.6595745,511.4285714,0.969239631,0.000308156,0.000308156,
20221101_201134,358,270,521,372,250,361,1.444,0.000451613,0.000451613,,531.9148936,515.7142857,0.969542857,0.000303226,0.000303226,
20221101_201134,366,274,521,379,254,368,1.448818898,0.004818898,0.004818898,,540.4255319,525.7142857,0.972778403,0.003235546,0.003235546,
20221101_201135,363,276,529,382,256,371,1.44921875,0.000399852,0.000399852,,544.6808511,530,0.973046875,0.000268472,0.000268472,
20221101_201135,363,279,520,385,259,374,1.444015444,-0.005203306,0.005203306,,551.0638298,534.2857143,0.969553227,-0.003493648,0.003493648,
20221101_201135,354,281,519,389,261,378,1.448275862,0.004260418,0.004260418,,555.3191489,540,0.972413793,0.002860566,0.002860566,
20221101_201135,370,283,510,392,263,381,1.448669202,0.000393339,0.000393339,,559.5744681,544.2857143,0.972677892,0.000264099,0.000264099,
20221101_201135,363,285,518,395,265,384,1.449056604,0.000387402,0.000387402,,563.8297872,548.5714286,0.972938005,0.000260113,0.000260113,
20221101_201135,375,287,507,398,267,387,1.449438202,0.000381598,0.000381598,,568.0851064,552.8571429,0.973194222,0.000256216,0.000256216,
20221101_201135,371,289,503,401,269,390,1.449814126,0.000375924,0.000375924,,572.3404255,557.1428571,0.973446628,0.000252406,0.000252406,
20221101_201135,377,291,523,404,271,393,1.450184502,0.000370375,0.000370375,,576.5957447,561.4285714,0.973695308,0.000248681,0.000248681,
20221101_201135,364,293,529,408,273,397,1.454212454,0.004027952,0.004027952,,580.8510638,567.1428571,0.976399791,0.002704482,0.002704482,
20221101_201135,378,298,513,414,278,403,1.449640288,-0.004572166,0.004572166,,591.4893617,575.7142857,0.973329908,-0.003069883,0.003069883,
20221101_201136,373,302,513,420,282,409,1.45035461,0.000714322,0.000714322,,600,584.2857143,0.973809524,0.000479616,0.000479616,
20221101_201136,371,304,507,423,284,412,1.450704225,0.000349615,0.000349615,,604.2553191,588.5714286,0.974044266,0.000234742,0.000234742,
20221101_201136,378,306,513,426,286,415,1.451048951,0.000344726,0.000344726,,608.5106383,592.8571429,0.974275724,0.000231459,0.000231459,
20221101_201136,374,308,502,429,288,418,1.451388889,0.000339938,0.000339938,,612.7659574,597.1428571,0.974503968,0.000228244,0.000228244,
20221101_201136,362,310,535,432,290,421,1.451724138,0.000335249,0.000335249,,617.0212766,601.4285714,0.974729064,0.000225096,0.000225096,
20221101_201136,368,312,522,435,292,424,1.452054795,0.000330657,0.000330657,,621.2765957,605.7142857,0.974951076,0.000222012,0.000222012,
20221101_201136,370,314,526,438,294,427,1.452380952,0.000326158,0.000326158,,625.5319149,610,0.975170068,0.000218992,0.000218992,
20221101_201136,367,316,521,441,296,430,1.452702703,0.00032175,0.00032175,,629.787234,614.2857143,0.9753861,0.000216032,0.000216032,
20221101_201136,366,318,535,444,298,433,1.453020134,0.000317432,0.000317432,,634.0425532,618.5714286,0.975599233,0.000213133,0.000213133,
20221101_201137,376,320,522,447,300,436,1.453333333,0.000313199,0.000313199,,638.2978723,622.8571429,0.975809524,0.000210291,0.000210291,
20221101_201137,367,322,552,451,302,440,1.456953642,0.003620309,0.003620309,,642.5531915,628.5714286,0.978240303,0.002430779,0.002430779,
20221101_201137,358,324,518,454,304,443,1.457236842,0.0002832,0.0002832,,646.8085106,632.8571429,0.978430451,0.000190148,0.000190148,
20221101_201137,354,326,532,457,306,446,1.45751634,0.000279498,0.000279498,,651.0638298,637.1428571,0.978618114,0.000187663,0.000187663,
20221101_201137,366,328,535,460,308,449,1.457792208,0.000275868,0.000275868,,655.3191489,641.4285714,0.97880334,0.000185226,0.000185226,
20221101_201137,371,330,526,463,310,452,1.458064516,0.000272308,0.000272308,,659.5744681,645.7142857,0.978986175,0.000182836,0.000182836,
20221101_201137,367,334,510,469,314,458,1.458598726,0.00053421,0.00053421,,668.0851064,654.2857143,0.979344859,0.000358684,0.000358684,
20221101_201137,368,336,533,472,316,461,1.458860759,0.000262033,0.000262033,,672.3404255,658.5714286,0.979520796,0.000175937,0.000175937,
20221101_201137,359,338,519,475,318,464,1.459119497,0.000258737,0.000258737,,676.5957447,662.8571429,0.979694519,0.000173724,0.000173724,
20221101_201138,366,340,544,479,320,468,1.4625,0.003380503,0.003380503,,680.8510638,668.5714286,0.981964286,0.002269766,0.002269766,
20221101_201138,397,342,533,482,322,471,1.462732919,0.000232919,0.000232919,,685.106383,672.8571429,0.982120674,0.000156389,0.000156389,
20221101_201138,367,344,530,485,324,474,1.462962963,0.000230044,0.000230044,,689.3617021,677.1428571,0.982275132,0.000154458,0.000154458,
20221101_201138,372,346,516,488,326,477,1.463190184,0.000227221,0.000227221,,693.6170213,681.4285714,0.982427695,0.000152563,0.000152563,
20221101_201138,383,348,526,491,328,480,1.463414634,0.00022445,0.00022445,,697.8723404,685.7142857,0.982578397,0.000150702,0.000150702,
20221101_201138,363,349,525,493,329,482,1.465045593,0.001630959,0.001630959,,700,688.5714286,0.983673469,0.001095072,0.001095072,
20221101_201138,374,351,543,496,331,485,1.465256798,0.000211205,0.000211205,,704.2553191,692.8571429,0.983815278,0.000141809,0.000141809,
20221101_201138,369,353,520,498,333,487,1.462462462,-0.002794335,0.002794335,,708.5106383,695.7142857,0.981939082,-0.001876196,0.001876196,
20221101_201138,364,354,536,501,334,490,1.467065868,0.004603406,0.004603406,,710.6382979,700,0.98502994,0.003090858,0.003090858,
20221101_201138,385,355,521,503,335,492,1.468656716,0.001590848,0.001590848,,712.7659574,702.8571429,0.986098081,0.001068141,0.001068141,
20221101_201139,368,356,540,504,336,493,1.467261905,-0.001394812,0.001394812,,714.893617,704.2857143,0.985161565,-0.000936516,0.000936516,
20221101_201139,367,357,524,506,337,495,1.46884273,0.001580825,0.001580825,,717.0212766,707.1428571,0.986222976,0.001061411,0.001061411,
20221101_201139,366,357,532,507,337,496,1.471810089,0.002967359,0.002967359,,717.0212766,708.5714286,0.988215345,0.00199237,0.00199237,
