Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean,,,,,,,,,,,,
20221101_201151,451,420,623,607,400,596,1.49,-0.00122807,0.00122807,,851.0638298,851.4285714,1.000428571,-0.000824561,0.000824561,
20221101_201151,431,421,645,609,401,598,1.49127182,0.00127182,0.00127182,,853.1914894,854.2857143,1.001282508,0.000853937,0.000853937,
20221101_201151,455,422,636,610,402,599,1.490049751,-0.001222069,0.001222069,,855.3191489,855.7142857,1.000461976,-0.000820532,0.000820532,
20221101_201151,437,423,652,611,403,600,1.488833747,-0.001216004,0.001216004,,857.4468085,857.1428571,0.999645516,-0.00081646,0.00081646,
20221101_201151,441,423,633,612,403,601,1.491315136,0.00248139,0.00248139,,857.4468085,858.5714286,1.001311592,0.001666076,0.001666076,
20221101_201205,418,425,644,612,405,601,1.483950617,-0.007364519,0.007364519,,861.7021277,858.5714286,0.996366843,-0.004944749,0.004944749,
20221101_201151,464,425,624,613,405,602,1.486419753,0.002469136,0.002469136,,861.7021277,860,0.998024691,0.001657848,0.001657848,
20221101_201151,434,425,622,614,405,603,1.488888889,0.002469136,0.002469136,,861.7021277,861.4285714,0.99968254,0.001657848,0.001657848,
20221101_201204,450,426,621,612,406,601,1.480295567,-0.008593322,0.008593322,,863.8297872,858.5714286,0.993912738,-0.005769802,0.005769802,
20221101_201204,444,426,634,613,406,602,1.482758621,0.002463054,0.002463054,,863.8297872,860,0.995566502,0.001653765,0.001653765,
20221101_201203,438,426,612,614,406,603,1.485221675,0.002463054,0.002463054,,863.8297872,861.4285714,0.997220267,0.001653765,0.001653765,
20221101_201151,431,426,619,615,406,604,1.487684729,0.002463054,0.002463054,,863.8297872,862.8571429,0.998874032,0.001653765,0.001653765,
20221101_201202,412,427,616,615,407,604,1.484029484,-0.003655245,0.003655245,,865.9574468,862.8571429,0.996419796,-0.002454236,0.002454236,
20221101_201207,427,427,654,616,407,605,1.486486486,0.002457002,0.002457002,,865.9574468,864.2857143,0.998069498,0.001649702,0.001649702,
20221101_201151,429,427,646,617,407,606,1.488943489,0.002457002,0.002457002,,865.9574468,865.7142857,0.9997192,0.001649702,0.001649702,
20221101_201151,442,427,638,618,407,607,1.491400491,0.002457002,0.002457002,,865.9574468,867.1428571,1.001368901,0.001649702,0.001649702,
20221101_201202,438,428,614,615,408,604,1.480392157,-0.011008335,0.011008335,,868.0851064,862.8571429,0.993977591,-0.00739131,0.00739131,
20221101_201202,415,428,608,616,408,605,1.482843137,0.00245098,0.00245098,,868.0851064,864.2857143,0.995623249,0.001645658,0.001645658,
20221101_201208,432,428,623,617,408,606,1.485294118,0.00245098,0.00245098,,868.0851064,865.7142857,0.997268908,0.001645658,0.001645658,
20221101_201208,430,428,641,618,408,607,1.487745098,0.00245098,0.00245098,,868.0851064,867.1428571,0.998914566,0.001645658,0.001645658,
20221101_201152,450,428,642,619,408,608,1.490196078,0.00245098,0.00245098,,868.0851064,868.5714286,1.000560224,0.001645658,0.001645658,
20221101_201201,415,429,596,616,409,605,1.479217604,-0.010978475,0.010978475,,870.212766,864.2857143,0.993188963,-0.007371261,0.007371261,
20221101_201201,425,429,588,617,409,606,1.481662592,0.002444988,0.002444988,,870.212766,865.7142857,0.994830597,0.001641635,0.001641635,
20221101_201159,422,429,597,618,409,607,1.484107579,0.002444988,0.002444988,,870.212766,867.1428571,0.996472232,0.001641635,0.001641635,
20221101_201208,449,429,645,619,409,608,1.486552567,0.002444988,0.002444988,,870.212766,868.5714286,0.998113867,0.001641635,0.001641635,
20221101_201152,430,429,623,620,409,609,1.488997555,0.002444988,0.002444988,,870.212766,870,0.999755501,0.001641635,0.001641635,
20221101_201159,411,430,588,618,410,607,1.480487805,-0.00850975,0.00850975,,872.3404255,867.1428571,0.994041812,-0.005713689,0.005713689,
20221101_201159,420,430,602,619,410,608,1.482926829,0.002439024,0.002439024,,872.3404255,868.5714286,0.995679443,0.001637631,0.001637631,
20221101_201158,422,430,596,620,410,609,1.485365854,0.002439024,0.002439024,,872.3404255,870,0.997317073,0.001637631,0.001637631,
20221101_201152,452,430,618,621,410,610,1.487804878,0.002439024,0.002439024,,872.3404255,871.4285714,0.998954704,0.001637631,0.001637631,
20221101_201209,439,430,640,622,410,611,1.490243902,0.002439024,0.002439024,,872.3404255,872.8571429,1.000592334,0.001637631,0.001637631,
20221101_201158,403,431,579,620,411,609,1.481751825,-0.008492078,0.008492078,,874.4680851,870,0.994890511,-0.005701824,0.005701824,
20221101_201158,412,431,583,621,411,610,1.484184915,0.00243309,0.00243309,,874.4680851,871.4285714,0.996524157,0.001633646,0.001633646,
20221101_201152,442,431,647,623,411,612,1.489051095,0.00486618,0.00486618,,874.4680851,874.2857143,0.999791449,0.003267292,0.003267292,
20221101_201152,437,431,635,624,411,613,1.491484185,0.00243309,0.00243309,,874.4680851,875.7142857,1.001425096,0.001633646,0.001633646,
20221101_201158,409,432,590,621,412,610,1.480582524,-0.010901661,0.010901661,,876.5957447,871.4285714,0.994105409,-0.007319686,0.007319686,
20221101_201158,412,432,581,622,412,611,1.483009709,0.002427184,0.002427184,,876.5957447,872.8571429,0.99573509,0.001629681,0.001629681,
20221101_201158,414,432,581,623,412,612,1.485436893,0.002427184,0.002427184,,876.5957447,874.2857143,0.997364771,0.001629681,0.001629681,
20221101_201209,442,432,636,624,412,613,1.487864078,0.002427184,0.002427184,,876.5957447,875.7142857,0.998994452,0.001629681,0.001629681,
20221101_201152,429,432,610,625,412,614,1.490291262,0.002427184,0.002427184,,876.5957447,877.1428571,1.000624133,0.001629681,0.001629681,
20221101_201158,423,433,616,623,413,612,1.481840194,-0.008451068,0.008451068,,878.7234043,874.2857143,0.994949844,-0.005674289,0.005674289,
20221101_201157,421,433,594,624,413,613,1.484261501,0.002421308,0.002421308,,878.7234043,875.7142857,0.996575579,0.001625735,0.001625735,
20221101_201157,418,433,606,625,413,614,1.486682809,0.002421308,0.002421308,,878.7234043,877.1428571,0.998201314,0.001625735,0.001625735,
20221101_201152,431,433,611,626,413,615,1.489104116,0.002421308,0.002421308,,878.7234043,878.5714286,0.999827049,0.001625735,0.001625735,
20221101_201152,435,433,631,627,413,616,1.491525424,0.002421308,0.002421308,,878.7234043,880,1.001452785,0.001625735,0.001625735,
20221101_201157,418,434,603,625,414,614,1.483091787,-0.008433636,0.008433636,,880.8510638,877.1428571,0.9957902,-0.005662584,0.005662584,
20221101_201157,400,434,615,626,414,615,1.485507246,0.002415459,0.002415459,,880.8510638,878.5714286,0.997412008,0.001621808,0.001621808,
20221101_201153,450,434,625,627,414,616,1.487922705,0.002415459,0.002415459,,880.8510638,880,0.999033816,0.001621808,0.001621808,
20221101_201153,438,434,657,628,414,617,1.490338164,0.002415459,0.002415459,,880.8510638,881.4285714,1.000655625,0.001621808,0.001621808,
20221101_201157,413,435,594,627,415,616,1.484337349,-0.006000815,0.006000815,,882.9787234,880,0.996626506,-0.004029119,0.004029119,
20221101_201156,421,435,599,628,415,617,1.486746988,0.002409639,0.002409639,,882.9787234,881.4285714,0.998244406,0.0016179,0.0016179,
20221101_201153,432,435,625,629,415,618,1.489156627,0.002409639,0.002409639,,882.9787234,882.8571429,0.999862306,0.0016179,0.0016179,
20221101_201153,431,435,665,630,415,619,1.491566265,0.002409639,0.002409639,,882.9787234,884.2857143,1.001480207,0.0016179,0.0016179,
20221101_201156,416,436,615,629,416,618,1.485576923,-0.005989342,0.005989342,,885.106383,882.8571429,0.997458791,-0.004021415,0.004021415,
20221101_201154,439,436,647,630,416,619,1.487980769,0.002403846,0.002403846,,885.106383,884.2857143,0.999072802,0.001614011,0.001614011,
20221101_201154,450,436,653,631,416,620,1.490384615,0.002403846,0.002403846,,885.106383,885.7142857,1.000686813,0.001614011,0.001614011,
20221101_201156,434,437,642,630,417,619,1.48441247,-0.005972145,0.005972145,,887.2340426,884.2857143,0.996676944,-0.004009869,0.004009869,
20221101_201154,453,437,659,631,417,620,1.486810552,0.002398082,0.002398082,,887.2340426,885.7142857,0.998287085,0.00161014,0.00161014,
20221101_201154,443,437,648,632,417,621,1.489208633,0.002398082,0.002398082,,887.2340426,887.1428571,0.999897225,0.00161014,0.00161014,
20221101_201212,443,437,635,633,417,622,1.491606715,0.002398082,0.002398082,,887.2340426,888.5714286,1.001507366,0.00161014,0.00161014,
20221101_201212,438,438,653,634,418,623,1.490430622,-0.001176093,0.001176093,,889.3617021,890,1.000717703,-0.000789662,0.000789662,
20221101_201212,454,438,656,635,418,624,1.492822967,0.002392344,0.002392344,,889.3617021,891.4285714,1.002323992,0.001606288,0.001606288,
20221101_201212,449,439,679,635,419,624,1.489260143,-0.003562823,0.003562823,,891.4893617,891.4285714,0.99993181,-0.002392181,0.002392181,
20221101_201212,450,439,669,636,419,625,1.491646778,0.002386635,0.002386635,,891.4893617,892.8571429,1.001534265,0.001602455,0.001602455,
20221101_201213,446,439,668,637,419,626,1.494033413,0.002386635,0.002386635,,891.4893617,894.2857143,1.00313672,0.001602455,0.001602455,
20221101_201213,456,440,660,637,420,626,1.49047619,-0.003557222,0.003557222,,893.6170213,894.2857143,1.000748299,-0.002388421,0.002388421,
20221101_201213,439,440,651,638,420,627,1.492857143,0.002380952,0.002380952,,893.6170213,895.7142857,1.002346939,0.001598639,0.001598639,
20221101_201213,453,440,658,639,420,628,1.495238095,0.002380952,0.002380952,,893.6170213,897.1428571,1.003945578,0.001598639,0.001598639,
20221101_201213,454,441,651,639,421,628,1.491686461,-0.003551634,0.003551634,,895.7446809,897.1428571,1.001560909,-0.002384669,0.002384669,
20221101_201214,445,441,667,640,421,629,1.494061758,0.002375297,0.002375297,,895.7446809,898.5714286,1.003155752,0.001594842,0.001594842,
20221101_201214,449,441,657,641,421,630,1.496437055,0.002375297,0.002375297,,895.7446809,900,1.004750594,0.001594842,0.001594842,
20221101_201214,458,442,668,642,422,631,1.495260664,-0.001176391,0.001176391,,897.8723404,901.4285714,1.003960731,-0.000789863,0.000789863,
20221101_201214,441,442,656,643,422,632,1.497630332,0.002369668,0.002369668,,897.8723404,902.8571429,1.005551794,0.001591063,0.001591063,
20221101_201215,461,443,683,644,423,633,1.496453901,-0.001176431,0.001176431,,900,904.2857143,1.004761905,-0.000789889,0.000789889,
20221101_201215,463,443,674,645,423,634,1.498817967,0.002364066,0.002364066,,900,905.7142857,1.006349206,0.001587302,0.001587302,
20221101_201215,445,444,644,645,424,634,1.495283019,-0.003534948,0.003534948,,902.1276596,905.7142857,1.003975741,-0.002373465,0.002373465,
20221101_201216,450,444,661,646,424,635,1.497641509,0.002358491,0.002358491,,902.1276596,907.1428571,1.005559299,0.001583558,0.001583558,
20221101_201216,451,445,655,646,425,635,1.494117647,-0.003523862,0.003523862,,904.2553191,907.1428571,1.003193277,-0.002366022,0.002366022,
20221101_201216,452,445,652,647,425,636,1.496470588,0.002352941,0.002352941,,904.2553191,908.5714286,1.004773109,0.001579832,0.001579832,
20221101_201216,461,446,658,647,426,636,1.492957746,-0.003512842,0.003512842,,906.3829787,908.5714286,1.002414487,-0.002358622,0.002358622,
20221101_201217,453,446,663,648,426,637,1.495305164,0.002347418,0.002347418,,906.3829787,910,1.00399061,0.001576123,0.001576123,
20221101_201217,456,447,671,649,427,638,1.494145199,-0.001159965,0.001159965,,908.5106383,911.4285714,1.003211777,-0.000778834,0.000778834,
20221101_201217,449,447,674,650,427,639,1.496487119,0.00234192,0.00234192,,908.5106383,912.8571429,1.004784209,0.001572432,0.001572432,
20221101_201217,455,447,655,651,427,640,1.49882904,0.00234192,0.00234192,,908.5106383,914.2857143,1.006356641,0.001572432,0.001572432,
20221101_201218,480,448,666,651,428,640,1.495327103,-0.003501937,0.003501937,,910.6382979,914.2857143,1.00400534,-0.002351301,0.002351301,
20221101_201218,460,448,668,652,428,641,1.497663551,0.002336449,0.002336449,,910.6382979,915.7142857,1.005574099,0.001568758,0.001568758,
20221101_201218,459,449,646,652,429,641,1.494172494,-0.003491057,0.003491057,,912.7659574,915.7142857,1.003230103,-0.002343996,0.002343996,
20221101_201218,448,449,659,653,429,642,1.496503497,0.002331002,0.002331002,,912.7659574,917.1428571,1.004795205,0.001565102,0.001565102,
20221101_201218,465,450,660,653,430,642,1.493023256,-0.003480241,0.003480241,,914.893617,917.1428571,1.002458472,-0.002336733,0.002336733,
20221101_201219,469,450,676,654,430,643,1.495348837,0.002325581,0.002325581,,914.893617,918.5714286,1.004019934,0.001561462,0.001561462,
20221101_201219,450,451,640,654,431,643,1.49187935,-0.003469487,0.003469487,,917.0212766,918.5714286,1.001690421,-0.002329513,0.002329513,
20221101_201220,454,451,665,655,431,644,1.494199536,0.002320186,0.002320186,,917.0212766,920,1.00324826,0.001557839,0.001557839,
20221101_201220,460,451,674,656,431,645,1.496519722,0.002320186,0.002320186,,917.0212766,921.4285714,1.004806099,0.001557839,0.001557839,
20221101_201220,480,452,666,656,432,645,1.493055556,-0.003464166,0.003464166,,919.1489362,921.4285714,1.002480159,-0.00232594,0.00232594,
20221101_201221,466,452,658,657,432,646,1.49537037,0.002314815,0.002314815,,919.1489362,922.8571429,1.004034392,0.001554233,0.001554233,
20221101_201221,445,452,657,658,432,647,1.497685185,0.002314815,0.002314815,,919.1489362,924.2857143,1.005588624,0.001554233,0.001554233,
20221101_201221,468,453,673,657,433,646,1.491916859,-0.005768326,0.005768326,,921.2765957,922.8571429,1.001715605,-0.003873019,0.003873019,
