Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean
20221101_214908,18,18,10,10
20221101_214908,16,17,11,10
20221101_214908,16,16,14,11
20221101_214908,19,17,12,11
20221101_214908,19,17,12,11
20221101_214908,19,17,15,12
20221101_214908,15,17,12,12
20221101_214908,16,17,10,12
20221101_214909,14,16,12,12
20221101_214909,22,17,10,11
20221101_214909,22,17,11,11
20221101_214909,14,17,9,11
20221101_214909,17,17,11,11
20221101_214909,18,17,10,11
20221101_214909,17,17,11,11
20221101_214909,18,17,13,11
20221101_214909,19,17,10,11
20221101_214909,24,17,10,11
20221101_214909,21,18,13,11
20221101_214910,24,18,10,11
20221101_214910,16,18,10,11
20221101_214910,17,18,12,11
20221101_214910,19,18,11,11
20221101_214910,19,18,13,11
20221101_214910,15,18,11,11
20221101_214910,16,18,11,11
20221101_214910,19,18,13,11
20221101_214910,16,18,11,11
20221101_214910,17,18,10,11
20221101_214911,15,17,13,11
20221101_214911,19,17,10,11
20221101_214911,15,17,11,11
20221101_214911,21,17,11,11
20221101_214911,18,17,12,11
20221101_214911,21,18,9,11
20221101_214911,16,17,9,11
20221101_214911,18,17,10,11
20221101_214911,14,17,12,11
20221101_214911,23,18,11,11
20221101_214911,17,17,11,11
20221101_214912,17,17,9,11
20221101_214912,18,17,11,11
20221101_214912,19,17,11,11
20221101_214912,18,17,11,11
20221101_214912,18,17,12,11
20221101_214912,21,18,11,11
20221101_214912,21,18,10,11
20221101_214912,17,18,62,12
20221101_214912,38,18,134,14
20221101_214912,97,20,191,18
20221101_214913,152,22,235,22
20221101_214913,194,25,261,27
20221101_214913,233,29,309,32
20221101_214913,265,34,348,38
20221101_214913,305,39,377,44
20221101_214913,307,43,379,50
20221101_214913,303,48,397,56
20221101_214913,327,53,422,62
20221101_214913,326,57,410,68
20221101_214913,322,62,420,74
20221101_214913,326,66,422,80
20221101_214914,319,70,403,85
20221101_214914,307,74,387,90
20221101_214914,226,76,211,92
20221101_214914,92,77,55,91
20221101_214914,19,76,9,90
20221101_214914,18,75,10,89
20221101_214914,21,74,11,87
20221101_214914,21,73,10,86
20221101_214914,18,72,12,85
20221101_214914,21,72,12,84
20221101_214915,21,71,11,83
20221101_214915,16,70,12,82
20221101_214915,22,70,11,81
20221101_214915,21,69,11,80
20221101_214915,17,68,10,79
20221101_214915,21,68,12,78
20221101_214915,17,67,10,78
20221101_214915,19,66,9,77
20221101_214915,14,66,12,76
20221101_214915,21,65,10,75
20221101_214915,19,65,9,74
20221101_214916,17,64,10,73
20221101_214916,21,63,12,73
20221101_214916,17,63,10,72
20221101_214916,16,62,11,71
20221101_214916,19,62,11,71
20221101_214916,19,61,11,70
20221101_214916,23,61,11,69
20221101_214916,21,60,12,69
20221101_214916,19,60,10,68
20221101_214916,17,60,13,67
20221101_214916,19,59,12,67
20221101_214917,18,59,11,66
20221101_214917,15,58,11,66
20221101_214917,21,58,10,65
20221101_214917,19,57,11,64
20221101_214917,21,57,13,64
20221101_214917,14,57,9,63
20221101_214917,22,56,14,63
