Time,CameraA Max,CameraA Mean,CameraB Max,CameraB Mean
20221109_151200,849,357,438,180
20221109_151202,865,365,439,184
20221109_151203,16,365,10,184
20221109_151204,813,373,412,188
20221109_151205,839,381,436,192
20221109_151207,837,390,436,197
20221109_151208,840,398,437,201
20221109_151209,841,406,439,205
20221109_151211,834,414,427,209
20221109_151212,825,422,428,213
20221109_151213,820,430,423,217
20221109_151214,830,438,429,222
20221109_151216,834,446,423,226
20221109_151217,826,454,421,230
20221109_151218,824,462,429,234
20221109_151220,831,470,432,238
20221109_151221,839,479,429,242
20221109_151222,823,487,428,246
20221109_151224,815,495,427,250
20221109_151225,798,502,414,254
20221109_151226,813,510,425,258
20221109_151227,814,518,427,263
20221109_151229,798,526,414,267
20221109_151230,805,534,417,271
20221109_151231,790,541,420,275
20221109_151233,823,549,429,279
20221109_151234,819,556,422,283
20221109_151240,813,556,419,282
20221109_151241,823,564,410,286
20221109_151242,817,571,413,289
20221109_151244,807,576,420,293
20221109_151245,821,583,432,296
20221109_151246,805,591,422,300
20221109_151258,810,599,418,304
20221109_151300,808,606,420,308
20221109_151301,802,614,421,312
20221109_151307,800,621,407,316
20221109_151308,814,628,422,320
20221109_151310,824,636,420,324
20221109_151315,808,644,417,328
20221109_151317,816,651,410,331
20221109_151318,793,657,401,335
20221109_151325,807,662,405,337
20221109_151326,780,667,384,340
20221109_151328,825,672,414,343
20221109_151329,808,677,407,345
20221109_151337,847,683,434,348
20221109_151339,843,688,443,351
20221109_151340,830,693,443,354
20221109_151341,837,697,432,357
20221109_151343,830,698,425,359
20221109_151344,49,692,22,356
20221109_151345,27,685,16,353
20221109_151347,150,681,77,352
20221109_151348,856,687,450,355
20221109_151349,876,692,445,358
20221109_151351,886,698,448,361
